,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACP5,525.6734779301617,6.67302931027685,1.0253323408444188,6.50816232401412,7.607568924762113e-11,1.3435677735944865e-07
GPNMB,333.0291806823842,7.089470336983108,1.0917858139429006,6.493462588032747,8.388560501110217e-11,1.3435677735944865e-07
RHOB,172.62930524967106,5.1745436545379615,0.7784969841782629,6.646838407472979,2.99455475637033e-11,1.3435677735944865e-07
ATF3,76.9874355095547,6.275684617022958,0.9876565601431544,6.354116269033173,2.0962823876219005e-10,2.518159218130808e-07
LYZ,850.9493293825417,4.622065782182761,0.7592293600239016,6.087838570991581,1.1444517600598193e-09,1.0998181414174863e-06
TYMP,96.70133788713973,3.8805634928516213,0.6464548132696172,6.00283796051365,1.938981056794441e-09,1.5528006629828816e-06
PLAUR,77.50680896754554,7.021116515954193,1.2191997780681683,5.758790841546254,8.471859732333067e-09,5.815326573408627e-06
CTSL,51.42043560718116,5.549269113098671,0.9839814422394669,5.639607491447152,1.7043822807826952e-08,1.0236946073951063e-05
APOC1,274.72760769726597,5.727077434868007,1.023151763034442,5.5974857707157355,2.1748269623923894e-08,1.1611159504772701e-05
ANPEP,57.31873799126866,4.590252058956346,0.8602306818323845,5.336071074771028,9.498218249273564e-08,4.563893868775948e-05
CD36,86.48024473533295,4.954681484557151,0.9375533281089476,5.284692972666186,1.2591575668630311e-07,5.50022918979715e-05
FABP5,77.0409577514376,4.985607274216104,0.9569311450503996,5.209995828857177,1.888448769935611e-07,7.561663616283842e-05
CD9,270.4014761741657,4.9641523034734005,0.9671377831900427,5.1328284239909,2.854200785654407e-07,0.00010549565211591867
CTSB,606.1232673016689,4.334637630830878,0.8514111524852247,5.091121508308056,3.5595182022709487e-07,0.0001221677497279422
IFI6,158.68368499743977,4.468782602458379,0.8809414708371571,5.072734966389655,3.921384804753951e-07,0.00012561502657895156
AC005480.1,27.264691120814724,-7.725558278430747,1.5459156814600117,-4.997399516081295,5.810860037509017e-07,0.0001501215593581544
GRN,507.0589428360583,4.002098887027659,0.797178336793138,5.020330711854472,5.158259380013311e-07,0.0001501215593581544
CD68,348.46502384076297,4.651591439811451,0.9315696416729254,4.993283627682478,5.936128257658551e-07,0.0001501215593581544
IL1RN,89.80089971221005,8.54455490507602,1.7076308582152528,5.003748242173631,5.622617875270199e-07,0.0001501215593581544
SLC16A3,119.51586868043546,4.053106049815016,0.8159450675306272,4.96737612751471,6.786488061811829e-07,0.0001568360911069048
IFIT3,50.852609857817306,4.491235661767262,0.905797335038345,4.958322891927183,7.110431712483235e-07,0.0001568360911069048
CD163,44.14787340976219,4.570489519359063,0.9221374988427438,4.956407829737861,7.180840799899908e-07,0.0001568360911069048
NOSIP,49.47887012204492,-3.4524668568153,0.6997066642785568,-4.934163175900316,8.049512440891822e-07,0.0001681648142542835
TIMP2,130.48196496215576,4.431714934909518,0.9009968084047051,4.918679948218977,8.712979608500781e-07,0.00017444111257852604
C5AR1,57.03272854286665,4.787766650838716,0.9776100446650702,4.897419658243188,9.710331511097138e-07,0.00018663257164328698
PLBD1,40.56950391674733,5.8613670571965395,1.1988991734631935,4.888957459420991,1.0137139682423696e-06,0.00018734213913094563
CORO1C,38.111101392668054,6.0074584547195835,1.2317057930662787,4.877348542596583,1.0752134877816988e-06,0.0001913481781033727
CREG1,63.675289263416744,4.071229807355741,0.8417043627259925,4.836888089982593,1.3188763193153389e-06,0.00022632859693965011
TTYH3,67.71133430291115,4.688733499129055,0.9883013930926707,4.7442344328350075,2.092963531942543e-06,0.0003467824058959972
GM2A,134.9201389540583,4.521896034156565,0.9631521463514939,4.694892755299263,2.6674663234947445e-06,0.00042723918947974157
SLC15A3,54.01863048605588,4.326988329912445,0.9242238932933485,4.681753373085606,2.8443155497187473e-06,0.0004408689102064058
HMOX1,75.1165796615063,3.864647275335063,0.8312243142561218,4.64934339510221,3.329934075866789e-06,0.000484858582864846
LHFPL2,39.060710187141844,6.584684292031244,1.4151828438504683,4.652885894316988,3.2732139701664982e-06,0.000484858582864846
TGFBI,168.11168439353207,3.6202767677923195,0.7815528487055784,4.632158623422953,3.618727185262367e-06,0.0005114112977995786
SDC2,55.698300804475096,7.1144522384282585,1.5464724277078474,4.600439109653682,4.21601250168678e-06,0.000539831283465523
PTAFR,51.212558448111125,4.913710746368484,1.0649035031301957,4.614230990812819,3.945534308055963e-06,0.000539831283465523
LGALS3,299.10860868574065,4.307385726865928,0.9356506746282459,4.603625951081951,4.1519790059499654e-06,0.000539831283465523
LGMN,98.01073402620388,4.480981688466584,0.9745869925611612,4.597826281972849,4.269217226158143e-06,0.000539831283465523
MMP14,37.34269661113693,5.7325135994009,1.2522905752581523,4.5776225683237906,4.702902401017853e-06,0.0005794216932536098
CD83,48.652382217485126,4.519785086751205,0.9902170190141337,4.564438905777576,5.0083201941942596e-06,0.0005869506959293516
ANXA2,443.69571678573584,3.628071577002321,0.7943165931991071,4.567538445080539,4.934851870223702e-06,0.0005869506959293516
VSIG4,108.52899401051704,5.012250016268208,1.1034320295172773,4.542418456405454,5.561251088512296e-06,0.0006362336066738472
FBP1,66.90623869931817,5.228802659455186,1.155126317123743,4.52660681515323,5.993830969202605e-06,0.0006697757629539191
ADAM9,34.46184921718901,5.619165359457704,1.243511077964456,4.518789948100744,6.2194058686548766e-06,0.0006791873908837883
MAFB,108.29636575109001,3.2071460153208244,0.7249828008063537,4.423754621149238,9.700018781698287e-06,0.0010308581905016593
S100A8,63.142609814246406,4.177435539982739,0.9451150181214478,4.420028737122381,9.868777682221921e-06,0.0010308581905016593
MPP1,44.38069586965568,4.587056232173037,1.051859420245493,4.360902363837238,1.2952715855621358e-05,0.00129849585424397
PLD3,284.7859593989367,4.259911109461612,0.9769124861643945,4.360586203772561,1.2971446618878368e-05,0.00129849585424397
FPR3,30.714093867390705,6.998577200264174,1.6104718021191329,4.345668884767261,1.3885189121018608e-05,0.0013615986474794777
IFI27,74.68393909630296,4.425704566452964,1.0242521537125673,4.320913117352288,1.5538485105469618e-05,0.0014932484186356303
JUN,465.543581318178,3.098319555540469,0.7186809110109965,4.311119869848695,1.6242981757878445e-05,0.0015303436734628614
SLC37A2,50.83085549752611,4.824091747346983,1.1214990283069328,4.301467612174089,1.696705768679477e-05,0.0015678213881740169
KLF4,68.38031059537691,3.0223739001930188,0.7072563667358105,4.2733781445363785,1.9253352459750225e-05,0.0017455161994169778
FAM20C,35.09756547333068,6.450723014692696,1.5113957281825197,4.268056932018595,1.9718300934413548e-05,0.0017545636294417982
FGFBP2,75.96755432910152,-3.4889922917407286,0.8251011326672633,-4.228563207108973,2.3518844572611074e-05,0.0020180008602035037
LEF1,30.492450390282766,-3.3393694572000463,0.7891779038228507,-4.231453314929158,2.321861904531575e-05,0.0020180008602035037
CTSZ,134.7664520161158,3.4719870435084106,0.8248852819947873,4.209054421618776,2.564416226098595e-05,0.0021617578888427627
CPVL,41.33600387609578,3.56578473580958,0.8487250233474004,4.201342764404428,2.653365029102347e-05,0.0021981756835925477
CEBPA,33.24658372046905,4.496809043931454,1.074820798431816,4.183775612169381,2.867071148463825e-05,0.002334962181079437
TIPIN,27.302738704834944,-3.9682227755397532,0.9493656388401466,-4.17986770659594,2.9167873059110237e-05,0.002335860500817078
SPP1,3413.226163427696,11.161365083130269,2.701721392483735,4.131205058442185,3.608664890395215e-05,0.002832356025969173
IDH1,25.610754217918533,3.9292151866954304,0.9517770715585541,4.128293593226891,3.654652936734417e-05,0.002832356025969173
ST14,32.76334202940082,4.44772555138895,1.079256973365305,4.121099665003963,3.77068248310682e-05,0.002875893544655281
NPL,27.11880093403433,4.964031315453806,1.217501377618244,4.077228499868123,4.5575698999024417e-05,0.00342173802641113
EMILIN2,44.09112656104405,3.868214416167998,0.952902860011191,4.0594005732363625,4.9198851184102455e-05,0.0035283653722330195
SLC43A2,33.43356771366846,4.10305581432125,1.0100745709988237,4.06213158129889,4.8626653664018114e-05,0.0035283653722330195
CD276,46.30250802530465,5.407347691097292,1.3316950065217046,4.060500087944995,4.896771882020618e-05,0.0035283653722330195
RGS2,147.6616119528651,2.78287258975321,0.693972456378151,4.01006201928683,6.0702801423005815e-05,0.004289367071140337
TUBA1B,373.213574302341,2.620406153739672,0.6546771809322987,4.002592774057071,6.265208763698629e-05,0.00436294610283651
CTSS,256.93948299440916,2.6590438221450814,0.665303518946559,3.996737949553324,6.422132519001494e-05,0.004374707988576849
SAT1,219.00000814660194,2.3116002789714254,0.5785955640301236,3.995191845008815,6.464188703204084e-05,0.004374707988576849
CCL2,21.243668562512017,6.4343783486996315,1.6200611684604287,3.971688522609507,7.136499165240607e-05,0.00469738061492892
KCTD12,52.928286638624535,2.92558290154123,0.7364985029179512,3.9722862842901825,7.118609391789902e-05,0.00469738061492892
PLA2G15,24.774209952688615,4.833779878619033,1.2193534074561145,3.9642156646804674,7.363765821417374e-05,0.0047642590491682076
SLC11A1,19.11159490971619,5.532235030332449,1.3963685827221695,3.96187303179477,7.436408505465465e-05,0.0047642590491682076
RAB20,23.20091864859433,5.8556667208591024,1.479644768026151,3.9574814491930876,7.574416780492151e-05,0.004788825346087472
LILRB4,54.67044450724761,9.121886328522264,2.3206572800076066,3.930733937797297,8.468694749584202e-05,0.005284685489837934
OLR1,28.06627832925156,6.626208226874092,1.6871181869356413,3.9275305536889826,8.582252096465586e-05,0.0052868873491688645
SIRPA,56.44714736076446,3.9290000363233974,1.0075155046413597,3.899691883870297,9.631517952463499e-05,0.005784930470198389
C15ORF48,19.46018335938209,6.331621702478516,1.6235617957688526,3.899834129491892,9.625861152334757e-05,0.005784930470198389
NUPR1,26.405175150424192,4.3740180036809395,1.126633894070925,3.8823774313020816,0.00010344015834603965,0.006136172356206426
SGK1,173.52693815191998,3.299414734579506,0.851943495556446,3.872809349198091,0.00010758798704866554,0.006304393631327291
CCR7,44.88848273975289,-3.2988910440583328,0.8530089143928058,-3.8673582284970256,0.00011002075135747782,0.006369273617743143
SORT1,27.40589931847049,4.655225196606751,1.2051131939713156,3.862894556208432,0.00011205138177282374,0.006409605826409738
DCN,13.777952891453358,-5.842441047218292,1.5160820878378365,-3.853644267739157,0.00011637264055181258,0.006578476915899523
LDLRAP1,40.4513261579349,-2.7347304857035657,0.7119717839557465,-3.8410658221724505,0.00012250125791372866,0.0068444016776217
SLC9A3R1,59.107244391965175,-2.6449720805014008,0.6942658227998645,-3.809739718764559,0.0001391131668608832,0.007683204215707399
PLSCR1,25.525122371986605,3.3825929492327385,0.8955945319041608,3.77692452190487,0.00015877682204130188,0.008669575339868812
HLA-DQA2,25.706569662372964,3.7568249623770957,0.9961396027563991,3.7713840027860113,0.00016234462100375724,0.00876478543733768
CTD-2192J16.22,91.77711411253968,-2.4725445139479914,0.6573415511323334,-3.7614304309362434,0.00016894441319549036,0.009014632575367198
EMP1,58.97694428471031,3.9938747580447305,1.062537492719432,3.7588083106817307,0.0001707245711463923,0.009014632575367198
BCAT1,19.334911011476073,4.478071471479548,1.1954998223704831,3.745773431066058,0.00017983884685550486,0.009392670208051096
MYOF,23.928299134843627,6.662709868657415,1.7808607151520606,3.74128634090764,0.00018308078472983763,0.009459173877708277
ARSB,16.302020288248876,4.779620706764855,1.2794262605545161,3.735753168528306,0.0001871541797945842,0.009566764190563586
PSAP,810.6556627580424,2.5184427990434632,0.6784212257729532,3.7122110915295994,0.00020545652012783153,0.010391774518044532
HBEGF,17.898052748981314,3.9706334032703263,1.0727206308708772,3.7014608361235757,0.00021436174667833346,0.01061864116277724
BLVRB,35.929161863328716,2.9713742258766995,0.8021947921105478,3.7040557419465574,0.00021217960188531034,0.01061864116277724
APBA2,14.038792190938304,-4.264065249987103,1.153714371921859,-3.6959453342719626,0.00021907011014802883,0.010741141625115087
BRI3,176.9974365855912,2.8072295414761173,0.7617578062389834,3.6851995719429698,0.00022852350201282712,0.011066301259452616
