,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SGK1,195.0352952768214,4.5572693599923495,0.5254416324271078,8.673217116317025,4.200798962619509e-18,1.7727371622254328e-14
ATF3,94.16005956187598,4.892770211604269,0.6381448861636355,7.667177654620657,1.7582217804145755e-14,3.709847956674754e-11
IL1RN,99.72361380987591,4.911488629840224,0.6973335689308079,7.0432413534469624,1.8781847803075195e-12,2.6419799242992444e-09
PLAUR,155.81789191162898,3.4371998821633096,0.4983694411521621,6.896891338716461,5.3152806426200185e-12,5.60762107796412e-09
HBEGF,63.74045288870222,4.921011212057948,0.7187405216546539,6.846714584463674,7.556526550184276e-12,6.377708408355529e-09
RHOB,242.54367189251843,3.8871630540893154,0.5893352804748974,6.595843118295866,4.22845878633481e-11,2.9740160130554834e-08
FOS,849.7454986496568,2.827550517634569,0.4347963887319193,6.503160078861512,7.865002251735151e-11,4.7414727860460485e-08
CXCL8,48.02375643275984,4.653498801169596,0.7323194367926611,6.354465780057023,2.0915219843322012e-10,1.1032778467352361e-07
FPR3,52.161696031786974,4.828808134723277,0.7791980748130892,6.197151007953391,5.749433496058159e-10,2.6958454837072704e-07
VSIG4,99.35512530738478,5.037120967934242,0.8283350470460324,6.081018768790931,1.1942131129367035e-09,5.039579336592889e-07
CD83,63.58535002381855,3.715270117074869,0.6488542188710689,5.725893442658057,1.0289079077741408e-08,3.947264882551704e-06
ZNF331,76.21746245002473,3.2602343687413318,0.5715097163312426,5.704600071666542,1.1661656595810557e-08,4.101015902860046e-06
CDKN1A,70.96479141853538,3.3023295525153467,0.5843462318486157,5.651323432116985,1.5921718257478506e-08,5.168434695889177e-06
GPR183,114.37861524299328,2.753851165752442,0.5005480660150162,5.50167177285593,3.7620683663412905e-08,9.922455316225154e-06
MARCO,61.18668149970639,4.808356054649571,0.8705264253834468,5.52350384140447,3.323050230588693e-08,9.922455316225154e-06
LILRB4,51.60463144226227,4.138967187080049,0.7519742073849189,5.504134512104885,3.709862256244092e-08,9.922455316225154e-06
KLF4,168.68135397623456,2.633805966848047,0.48271283838030377,5.456258374410608,4.862722122831264e-08,1.2070992563734079e-05
RGS1,234.7280942453287,2.5328839526462756,0.4701606780315666,5.387273055779067,7.153471423017437e-08,1.6200934904876027e-05
TREM2,54.92071323422674,5.8336923777340575,1.083570580320721,5.383767780043798,7.294259791294893e-08,1.6200934904876027e-05
EREG,43.22440015344439,6.502377485293275,1.2354349209878062,5.263229470714835,1.4154672781636266e-07,2.986635956925252e-05
FOSB,223.7679608129643,2.1981284296973382,0.42043153818621914,5.228267220818565,1.7110608667994891e-07,3.4384175513780215e-05
IER3,58.63831724134759,3.5183475861329985,0.6777387833111442,5.191303305594885,2.0882712013584432e-07,3.831523682492448e-05
JUN,282.84563718492836,2.556326623271068,0.49214675201419966,5.194236501224154,2.0556169042427225e-07,3.831523682492448e-05
VEGFA,43.3505815797659,4.310756780542445,0.8348495617954996,5.16351325773156,2.4235740748690723e-07,4.261451081644786e-05
NR4A1,106.1074063672389,2.5484429731422007,0.497252660157799,5.1250464348113765,2.9746442610290787e-07,5.021199512617085e-05
FN1,475.0159952916662,6.83414995980666,1.3404968161762938,5.098221702085621,3.428591268292964e-07,5.56486736622935e-05
IL1B,78.43677578515572,3.00436171033037,0.6100820686161863,4.924520593016263,8.456742327291485e-07,0.00011895817540390022
GADD45B,134.96045938012543,2.857652150122515,0.579824077750702,4.928481344217609,8.287124587348976e-07,0.00011895817540390022
TIPIN,22.50159099850307,-4.301632197866591,0.8717378830738463,-4.934547736641375,8.033669579248045e-07,0.00011895817540390022
ZFP36,754.7241698389358,2.2253659329182063,0.45017420324249163,4.943343969710958,7.679381553792126e-07,0.00011895817540390022
C15ORF48,26.185709029335563,4.594648785611334,0.9353611244875331,4.9121656495277755,9.007590114365397e-07,0.000122619452524587
C12ORF57,62.431611228455814,-2.521159183079787,0.5172235319687768,-4.87440927809909,1.0913452350155461e-06,0.00013955990581107893
SOCS3,129.70722710944457,3.04613312179642,0.6242742301697216,4.879479200940693,1.0636633937361588e-06,0.00013955990581107893
NLRP3,47.932885557025614,3.6008500599268354,0.7405672804096028,4.862286189494125,1.1603768901043987e-06,0.000144023249301193
