,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,14.871029100648565,-0.7014519966455013,0.7849181567978344,-0.8936625947183551,0.3715024445030337,0.8765466218362172
A2M,17.023225486697044,1.1796403779540385,0.9180312122042242,1.2849676157760277,0.1988036008301728,0.7308944662611904
A4GALT,0.648929524538,1.7431391441451207,3.4515664217487965,0.5050284222147255,0.6135388733877815,
AAAS,5.128835211587443,-0.6192342371079006,1.2348559030993875,-0.5014627500696018,0.6160454872109355,
AACS,4.132367663948479,0.88783531141756,1.3200439326687639,0.6725801236195241,0.5012144503917859,
AADAC,0.0,,,,,
AADAT,0.0,,,,,
AAED1,8.392675334329331,0.49804802937692827,0.9888375349665748,0.5036702307156692,0.6144931311082187,
AAGAB,8.413375793404043,0.3692471176683768,0.9497837281929338,0.3887696816736473,0.6974465304881201,
AAK1,68.57982243867434,-1.7747030085119615,0.4535729802144509,-3.912717657195708,9.126321678708343e-05,0.005887663756973684
AAMDC,1.5508585923571487,2.3435027646358275,2.3251921962088877,1.007874862326131,0.3135145408640213,
AAMP,12.155902922633079,1.1156297987932966,0.8266595270599316,1.34956383163103,0.17715593233794935,0.7051997071301396
AAR2,6.953819361983865,-0.891314479568351,1.1368495249900206,-0.7840215085423685,0.4330274898079486,
AARD,1.2168982141413018,-0.5788756964317932,2.5351949709456565,-0.2283357702527573,0.8193852183103546,
AARS,8.907643786672882,0.26764442526179133,0.9589851928003117,0.27909130117040565,0.7801747586692196,
AARS2,1.1310154153697458,1.4085867991806027,2.6239577001683885,0.5368176472853236,0.5913935805423142,
AARSD1,3.7608936381590423,0.659140198260555,1.363337454963945,0.4834754563960738,0.6287581825695835,
AASDH,2.3297104613118784,-1.5936821883409211,1.7340349528347598,-0.9190600141799948,0.35806418245023264,
AASDHPPT,6.624640413831959,0.7847297979295589,1.2443702417099174,0.6306240471093586,0.5282863717300519,
AASS,0.06661102209357453,-0.24917085145367796,4.883766974554289,-0.051020217129917056,0.9593094105868675,
AATF,14.708482185053933,0.18416905731392283,0.768338509189999,0.2396978091181168,0.8105645335098157,0.9709448445745501
AATK,0.0,,,,,
ABAT,6.962078953018498,0.5130492096665221,1.0206620406820044,0.5026631629444195,0.6152011129484681,
ABC13-47656900H15.1,0.0,,,,,
ABCA1,5.314159348914877,1.7400333456461616,1.2993904036500843,1.3391151271844695,0.18053319661354572,
ABCA10,0.5314141329435607,-0.6475122882003999,3.8488536383655405,-0.16823510297870753,0.8663983263051696,
ABCA12,0.0,,,,,
ABCA2,5.409144400850549,-0.3466155231491062,1.2735972744304398,-0.2721547306263785,0.7855030481611921,
ABCA3,0.6511916320375603,0.9705176469259779,3.3200900930233095,0.29231666001033546,0.7700445219825699,
ABCA5,3.8597060291325613,-0.20703478339964937,1.3446199131727925,-0.15397271851427954,0.8776312465121354,
ABCA6,1.3929352887449231,0.9134764364444459,2.6124953703898277,0.3496566718539831,0.7265963742704616,
ABCA7,11.512554860805608,-0.42953722960594753,0.9677368075906153,-0.4438574891817652,0.6571456211228826,0.9596159630002187
ABCA8,0.2664440883742981,-1.5793948470688048,4.71829081748997,-0.33473876625286303,0.7378221555252269,
ABCA9,0.06661102209357453,-0.24917085145367796,4.883766974554289,-0.051020217129917056,0.9593094105868675,
ABCB1,1.6306797514369737,-4.135474839432183,2.8286054761581263,-1.4620189610355543,0.14373601402925842,
ABCB10,2.0628837445692785,0.3646394390517776,2.0105323539394737,0.1813646213338952,0.8560813864220544,
ABCB4,1.2611872883628095,0.05379357333062632,2.6824955033750504,0.02005355582626124,0.9840006497676009,
ABCB5,0.0,,,,,
ABCB7,13.430846529490385,-1.364391340705878,0.9621270337492202,-1.4180989545518878,0.15616187645755908,0.6724898261631431
ABCB8,8.198733655790098,0.20407597930909188,1.079241505059042,0.18909204135725627,0.8500206790418889,
ABCB9,0.0,,,,,
ABCC1,5.961936511221762,-0.5540459763345993,1.1552004539775418,-0.47961024809757435,0.6315045579094679,
ABCC10,5.525563377120498,1.3118888736986485,1.3624748115631067,0.9628720197722972,0.3356117527004081,
ABCC11,0.0,,,,,
ABCC3,2.844334212714482,2.6927746871949556,1.8788681089576238,1.4331898414566622,0.15180359196569565,
ABCC4,1.3651409308106501,-0.20043212774347688,2.1287891375597083,-0.09415311465429495,0.9249875283413573,
ABCC5,7.1614906882344815,1.9070786733839737,1.1040205022967007,1.7273942552848123,0.08409688164915838,
ABCC6,0.06661102209357453,-0.24917085145367796,4.883766974554289,-0.051020217129917056,0.9593094105868675,
ABCC8,0.0,,,,,
ABCC9,0.06661102209357453,-0.24917085145367796,4.883766974554289,-0.051020217129917056,0.9593094105868675,
ABCD1,1.5619087054278533,-0.7202326075810903,2.110365752885414,-0.34128330911186683,0.7328903118591954,
ABCD2,3.4822295199202955,-0.8316330830174592,1.5663271985488734,-0.5309446734934611,0.5954571192106008,
ABCD3,9.294183846352821,0.2072739208778126,0.901711797053286,0.229867149964285,0.8181950033657259,0.9713758724169033
ABCD4,8.956324751370625,-0.05912954150917569,0.9669353457547926,-0.061151494532469486,0.9512385591457158,
ABCE1,10.628121201893816,-0.11864559234710399,0.9058547383658516,-0.1309763997714897,0.895793976809927,0.987061192870115
ABCF1,16.808368929632024,0.439288166974013,0.7413998104650462,0.5925118414832985,0.5535078936553495,0.935335918314721
ABCF2,7.436733678030687,0.2889360381079802,1.0466758903505051,0.27605110691068163,0.7825088130193575,
ABCF3,2.4961714666498307,0.15616547522229354,1.7753396444911127,0.08796371765080319,0.9299055134415996,
ABCG1,15.654579219117517,2.655698849817263,0.8948634645365829,2.9677140201411087,0.0030002333084128445,0.059464875238291394
ABCG2,0.26497004456926265,1.955136238117484,5.0305935519496465,0.38864921562978494,0.6975356545228942,
ABHD1,0.13322204418714906,-0.8566924601986694,4.791559448184288,-0.1787919923488175,0.8581010331514362,
ABHD10,7.863337161196573,1.0350846338240722,0.9835901409126506,1.0523536082454437,0.29263734474154046,
ABHD11,5.399211156676797,1.2441537616544263,1.2547935670886896,0.9915206726322726,0.3214314030786274,
ABHD12,12.208311576877849,0.9205609451920437,0.8110083436540578,1.1350819660428997,0.2563409768723799,0.788021363582417
ABHD13,6.986568611294596,1.0030169001464881,1.1228015229505093,0.893316298245437,0.3716878123507945,
ABHD14A,4.192355704274211,-1.6769640138314073,1.3483729688151498,-1.2436944766884483,0.21361202958144387,
ABHD14B,33.137622421499074,-1.1454628666161464,0.6021982092604771,-1.9021359562374314,0.057153382841445347,0.40466643677385844
ABHD15,11.231927451838395,1.218945647232164,0.8805688044586375,1.3842707589233259,0.1662755641013497,0.6915253267323033
ABHD16A,4.542662578515889,1.5556701553253949,1.378315057200153,1.1286752961151807,0.2590348342459069,
ABHD17A,37.173522315540175,-0.3853305154421662,0.5363342203716267,-0.7184522277455467,0.47247849364537664,0.9251619125243381
ABHD17B,4.2468480048182675,0.7778504824786309,1.3118907456476538,0.5929232179274364,0.5532325388890453,
ABHD17C,1.4580722670334623,2.308384556551383,2.7163905399371893,0.8497984817031351,0.39543713392232127,
ABHD18,9.121474278365296,0.7415752028282144,0.9294424647910985,0.7978710150658879,0.4249453451725195,0.9010591316393128
ABHD2,13.263270566587124,0.44511746005829006,0.8213660090922297,0.5419233997158368,0.5878712761652449,0.9445676693275128
ABHD3,12.053010202175566,-0.27538487030545566,0.8323568190851521,-0.330849539513754,0.7407581389609645,0.9616774942646208
ABHD4,5.498023547650315,0.4606202786599441,1.1516084259731887,0.39997994828032646,0.6891712857378142,
ABHD5,2.095031290283348,2.310007867849912,2.0198665645387637,1.143643797271035,0.25277139036169294,
ABHD6,3.9276049473424117,0.07860644132959912,1.3585841667354217,0.057859088346719545,0.9538608712688325,
ABHD8,1.250690830879731,-1.2043905257627285,2.523525644856071,-0.47726502332866955,0.6331734140276986,
ABI1,17.39244804833015,-0.20683334541893075,0.7198213685125416,-0.28733982410988546,0.7738521324741238,0.963132774280238
ABI2,7.267026020819104,-0.2986082118117778,1.1282256505457846,-0.2646706460425932,0.7912631923452645,
