,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RGS2,124.66525492964197,2.764589725953266,0.42002235029630985,6.582006228961275,4.641421368532405e-11,2.1986413022738002e-07
GZMB,95.69290507619704,2.6989298982676124,0.4369572200264123,6.176645617858136,6.547781809790449e-10,1.550842121648868e-06
IRF7,50.553651592597575,3.3261529264864853,0.5600856936725341,5.938650038847787,2.8737857553940586e-09,4.537707707767219e-06
RHOB,72.72785891088206,3.2711533143229676,0.5618621827087477,5.821985203831798,5.815269880016953e-09,6.886733355410076e-06
IFI27,46.1494946090011,5.431636682462082,0.9739053100121109,5.577171236898316,2.4446120327181843e-08,2.3160254397972078e-05
ZFP36,451.78656471913007,1.8441767511473441,0.3439258583012038,5.362134618945253,8.224420919367331e-08,5.565583127863292e-05
TGFBI,74.63223193092422,3.832636084555917,0.7129109415002137,5.376037680794618,7.61428634420927e-08,5.565583127863292e-05
FOS,482.28979781134586,2.078982970900222,0.3911430579344727,5.315147306662692,1.0657107847002675e-07,6.310339983906459e-05
TYMP,51.89566401021011,3.122945319506393,0.5914219525308143,5.280401422609826,1.2890116161057322e-07,6.332637151525302e-05
SGK1,69.43533665450198,3.4434201142660616,0.6529392865721036,5.273721745774915,1.3368455038052148e-07,6.332637151525302e-05
NOSIP,38.67185632476691,-3.068323483379641,0.5856393364693148,-5.239271497501961,1.6121172072164615e-07,6.94236291871307e-05
ATF3,38.89606782487976,3.685993045651279,0.7127305305224205,5.171650277068253,2.3203555351257933e-07,9.15960347490907e-05
CCL3,43.900057919069496,3.130680981446676,0.6103802277229057,5.129066832859323,2.911819619360274e-07,9.852349669221154e-05
RPL30,1403.1148199690442,-1.684426666582895,0.32798153077600667,-5.135736340389441,2.810414429996738e-07,9.852349669221154e-05
RGS1,365.86691355299723,2.801547328118236,0.5501234700924512,5.092579176175524,3.532251279190521e-07,0.00011154849539683665
PLAUR,23.145102690795742,4.707814036410348,0.9277111309765895,5.074655115385425,3.8819944808338595e-07,0.00011493129909818745
MT-ATP8,300.7270733609868,-2.035208465253561,0.40776117972775117,-4.99117759717196,6.001228637017933e-07,0.0001672224709032585
APOC1,46.810987296612446,4.502258739268217,0.9040512076774834,4.980092610942432,6.355385291657496e-07,0.00016725255625878646
AC090498.1,115.04296779115357,-2.5861626878801705,0.5206810441170998,-4.966884654434528,6.803702772045635e-07,0.00016962705279568514
CD163,24.560509925679387,5.595052532630111,1.1521976518840271,4.855983279848997,1.1979080989646512e-06,0.00028372453323977765
RPL13,1960.1356788369471,-1.6383827768206733,0.3419728096442392,-4.790973816091151,1.6597378735699876e-06,0.0003743894431952872
MAFB,38.6319770827319,4.013652342358438,0.8442632270753851,4.754029565236595,1.9940185886452176e-06,0.00042934845701874525
RPLP2,2542.9115329437604,-1.650019277258222,0.34795948725368925,-4.741986747598668,2.116324710247516e-06,0.0004358708761931515
MALAT1,3611.715779067856,-1.7387027044450907,0.370213507833603,-4.696486399482138,2.6467484980594612e-06,0.0005015059054123067
CD68,59.18486597184767,3.6636067813711106,0.7788139978161157,4.704084404805623,2.550077420260589e-06,0.0005015059054123067
RPL18,921.4361971950951,-1.578093899186408,0.3377793702830453,-4.671966490623835,2.9832963867553244e-06,0.0005435336532330758
CTSC,85.36681956515082,2.1380970966465767,0.4648770350297926,4.599274508170859,4.239648194266419e-06,0.0007438227220829641
ANPEP,21.788925017394227,4.502810516783105,0.997247703994722,4.515237787709097,6.324575885058494e-06,0.0010699827131257886
AC005480.1,25.769249767274694,-7.138184404150369,1.58908168040736,-4.4920185615131505,7.055127292782319e-06,0.0011036983715454142
