,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,1914.1943932247473,3.7811508841032238,0.3651808553314519,10.35418705252582,4.005749826142341e-25,3.970499227672289e-21
CCL22,79.08339364488631,7.0581986390532885,0.91448286263803,7.718240469474013,1.1794652496886039e-14,5.845429777456722e-11
CD14,140.63267636907463,2.883647784321388,0.3824648584982233,7.539641146755928,4.712664776540055e-14,7.78532221084417e-11
TIPIN,90.98490108425116,-3.557351239930981,0.4689533050389717,-7.585725917072601,3.3063068026959305e-14,7.78532221084417e-11
ATF3,260.05743866200834,3.1128555500135113,0.4122323725287904,7.551215667314213,4.312140889497326e-14,7.78532221084417e-11
PLAUR,136.84608526328518,3.3137432089080483,0.43494475271307986,7.6187681038516315,2.5610808759210108e-14,7.78532221084417e-11
TYMP,181.233214116057,2.705063745174204,0.37481800730243925,7.217005833424374,5.314469812563721e-13,7.525289254590228e-10
AC005480.1,76.68738609069248,-5.972276008323422,0.9035917181454057,-6.609485111905779,3.856590011983884e-11,4.7783150248480324e-08
CD163,70.31117811798336,3.344276769017647,0.5139364753413005,6.5071792516706335,7.65750203062608e-11,8.433462236396188e-08
SPP1,479.7536001146439,8.005644593050228,1.237383510397027,6.469816775303186,9.812182304745211e-11,9.725835100463454e-08
IRF7,190.76444108798086,3.032010990007903,0.4750241226525187,6.382856881198487,1.7381433870792203e-10,1.5662252047935666e-07
TNFSF9,85.01363623063041,3.078085324060469,0.4924895366229737,6.250052224798642,4.103154604797228e-10,3.38920570356251e-07
RHOB,357.1417004400738,3.216420103256781,0.5165441729960776,6.226805511328855,4.760414556745711e-10,3.6296330066510374e-07
MT-ATP8,1396.3535054655229,-1.9692439073327421,0.3173077700959251,-6.206100489557571,5.431545460339403e-10,3.8455341859202976e-07
NOSIP,149.2858177470137,-2.2260785390046403,0.3634785823361442,-6.124373339131074,9.104120190682794e-10,6.01600262200319e-07
CXCL13,87.79587587902613,8.967295955839596,1.4922160093097439,6.009381952675612,1.8623190634591043e-09,1.153706659812915e-06
HBEGF,65.80159217749902,3.9991036440518695,0.6724943631671583,5.946672363494345,2.7364836480524615e-09,1.595530936440941e-06
LILRB4,68.88846054848173,3.5175262537477274,0.5968384356785784,5.893598742092503,3.7787412293150415e-09,2.0808268369428163e-06
IFNG,107.49595545168559,2.5883547408384575,0.44954134729799233,5.7577679036555605,8.523343367433884e-09,4.446493655684456e-06
CD68,185.18784395601614,2.765660598654385,0.48144769759897843,5.744467389598029,9.2210763553348e-09,4.5699654417039265e-06
CD83,182.68301023081645,2.5707954078599897,0.45090946953008154,5.701355996225056,1.1885811975652431e-08,5.610103252507947e-06
CCL4,1777.757476523113,1.7133843670208935,0.303451660077159,5.646317329703286,1.6392115983692276e-08,7.3853933468344476e-06
SCML4,122.6814243357513,-2.5342625937715892,0.4508396384532553,-5.621206250777239,1.896287158984717e-08,8.17217318254631e-06
RP11-255M2.3,30.212064954759548,-4.869811547135489,0.8869335628514842,-5.490615927848174,4.0053448954263684e-08,1.65420744181109e-05
IFI6,275.1018608787534,3.090819725352789,0.5753158879011789,5.37238722300625,7.770102638830634e-08,3.0806902942435695e-05
VSIG4,111.48668493910452,3.6478240522822056,0.6818064240142705,5.350234206954107,8.784047677900805e-08,3.3487492532058764e-05
BASP1,119.33050726825634,2.1954265142725977,0.4115534140908113,5.3344874300767335,9.581482464665446e-08,3.517468673694959e-05
EREG,29.237928573190054,4.887522400935862,0.9219174397220158,5.301475154228115,1.1487068337009948e-07,4.0664221913015215e-05
CXCL8,66.80345987597805,4.005025210324143,0.7571057377245317,5.289915279682304,1.2237303015875617e-07,4.182625775633073e-05
