,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,28.863758728626,-0.7162925564067452,0.6062842327637752,-1.181446783040179,0.23742528243731087,0.9780587038726348
A2M,13.110502726607702,2.3013982541933973,2.8332737041088683,0.812275302190489,0.41663367901252435,0.9985445863526791
A4GALT,0.2668056728876179,-0.9906110956872337,4.673734814669858,-0.21195278186899189,0.8321438719423255,
AAAS,15.397575752751854,0.426032747219079,0.7280777032676982,0.5851473617541013,0.5584486351873869,0.9985445863526791
AACS,9.796132229948563,0.5970355467836471,0.8661130338547778,0.6893275166711702,0.49061718554240097,0.9985445863526791
AADAC,0.0,,,,,
AADAT,0.044330258552037496,0.9817150754646917,4.872760983391726,0.2014699836110904,0.8403310978134825,
AAED1,19.22795205341198,0.42355738301674806,0.630536363421139,0.6717414055529286,0.5017483368543916,0.9985445863526791
AAGAB,24.784352204424124,-0.08283463564882637,0.5958172087055897,-0.13902692711542228,0.8894288709120618,0.9985445863526791
AAK1,214.35309473192,-0.837117831843019,0.3003374923712573,-2.787257179360842,0.0053156274590658425,0.1353476189359236
AAMDC,5.785948862115681,0.0766597424822297,1.0883584084763955,0.07043611909935671,0.9438465437419806,0.9985445863526791
AAMP,24.865501083177417,-0.6054513160420788,0.6059999956895527,-0.999094588034032,0.3177488726022154,0.9985445863526791
AAR2,11.299158986022661,0.9147045826317083,0.8894142501115291,1.0284348182154803,0.3037453372607639,0.9985445863526791
AARD,0.31031180986426243,-1.2465560855906739,4.661977202684103,-0.26738785528015396,0.7891705492238361,
AARS,14.948591800012107,0.2144384196282938,0.7112746087580449,0.30148471066993976,0.763044907098063,0.9985445863526791
AARS2,3.1021345828015363,0.9296988022701036,1.4449994205463466,0.643390432584803,0.5199707899134587,
AARSD1,4.828003271598156,-0.6270472184529855,1.1880007574326004,-0.527817187430169,0.5976262266754442,
AASDH,8.139168225134831,0.48902000708880045,0.9409901277589406,0.5196866499050836,0.6032819932085238,0.9985445863526791
AASDHPPT,12.813105425969786,-0.1696679544540653,0.7539218280096506,-0.22504714434650044,0.8219425989098517,0.9985445863526791
AASS,0.4580572348172408,0.47976494585480245,3.9592413201954386,0.12117597970287902,0.9035516493209318,
AATF,43.45210192459572,0.29455218998311117,0.4676590046433933,0.6298439398332931,0.5287966941043298,0.9985445863526791
AATK,3.5221426671583393,2.354975746024736,1.4948911339826592,1.5753493297874184,0.1151758333627542,
ABAT,4.669206092333669,0.8930020581792845,1.2428109881147567,0.7185340866143258,0.47242803828003843,
ABC13-47656900H15.1,2.3650905425727955,0.7800568566473528,1.9040120884623644,0.40969112610903036,0.6820325404468357,
ABCA1,3.881588775261568,2.4941614630621576,1.4981184636205933,1.6648626417929375,0.09594016293873292,
ABCA10,0.5032116149446713,0.2519767137692397,3.528623728821979,0.07140934628735873,0.9430719713395371,
ABCA12,0.0,,,,,
ABCA2,27.38087672303584,0.05469390092498029,0.5637687657003397,0.09701477671796341,0.9227146596800709,0.9985445863526791
ABCA3,4.159651754969216,-0.06749459994199952,1.3074588562426752,-0.051622733380660944,0.9588293048702774,
ABCA5,8.955494243753176,-0.30921935897647884,0.9376219572407398,-0.3297910811372829,0.741557826934686,0.9985445863526791
ABCA6,0.8022708143221614,-0.9500529097476434,3.1980738214868,-0.29707035008527705,0.766412800291365,
ABCA7,24.02898145338911,-0.27516149046359606,0.576297760136133,-0.4774640984177997,0.6330316799981472,0.9985445863526791
ABCA8,0.6206236197285249,-2.236728255425402,4.009671424920007,-0.5578333031290774,0.5769582191860148,
ABCA9,0.22165129276018747,-0.7745150786963408,4.685338673760832,-0.16530610327783465,0.8687030551887465,
ABCB1,36.48857139171338,-0.780274354190201,0.5219215788561414,-1.4950030537159873,0.13491364517921886,0.8466632898547036
ABCB10,10.308214822877117,0.31351410370814264,0.913735369393724,0.3431125840254641,0.7315137644687947,0.9985445863526791
ABCB4,0.13299077565611248,-0.06562841014308907,4.737277061130078,-0.0138536144912397,0.9889467684481423,
ABCB5,0.044330258552037496,0.9817150754646917,4.872760983391726,0.2014699836110904,0.8403310978134825,
ABCB7,5.237369246092507,-1.7753772212276873,1.2557017094155571,-1.413852675293405,0.1574051635821181,
ABCB8,9.144220234999569,-0.44470427436343785,0.8959293119950613,-0.496360894112469,0.6196398104266759,0.9985445863526791
ABCB9,1.6492849037547095,-3.592597442624299,2.796151834321675,-1.2848363234523121,0.19884948629644394,
ABCC1,19.38266346618487,0.28696213880056426,0.6226133638603059,0.46089942082410745,0.6448707673171123,0.9985445863526791
ABCC10,24.00609996878389,-0.20552003873727698,0.599929593607299,-0.3425735968474427,0.7319192680586846,0.9985445863526791
ABCC11,0.0,,,,,
ABCC3,0.4137269762652034,0.8805819056970172,4.1391310553146035,0.2127455965827317,0.8315253998462622,
ABCC4,4.515013544499193,-0.8301902846949304,1.2536673349431058,-0.6622093928391349,0.5078370353500086,
ABCC5,9.589539382554236,-0.35128795811270924,0.8571844398024884,-0.4098160696823343,0.6819408771668105,0.9985445863526791
ABCC6,0.0,,,,,
ABCC8,0.08866051710407499,0.35223383950909415,4.781011611793471,0.07367349592714394,0.9412701886471389,
ABCC9,0.2668056728876179,-0.9906110956872337,4.673734814669858,-0.21195278186899189,0.8321438719423255,
ABCD1,7.533700954404061,-0.9684095888389177,1.0625459849495797,-0.9114048733475484,0.36208208681443543,0.9985445863526791
ABCD2,9.656589930949234,-0.3084154547431421,1.06984586932038,-0.28828026876344637,0.7731322095897322,0.9985445863526791
