,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HLA-DRA,456.66781621795405,2.7252828648173963,0.29021750277214176,9.390484167169943,5.972507493052527e-21,5.231319313164709e-17
CCL4,2000.9170807507521,2.538420943508343,0.3100344105075886,8.187545825485753,2.6660673075277614e-16,1.1676041773317832e-12
FOS,1145.5191159784893,2.6177581642665535,0.3226844857050149,8.11243886903073,4.961373372080092e-16,1.4485556455349842e-12
CD69,660.7588101493963,2.0052404495261307,0.25281390287997924,7.93168582377409,2.1619080244538507e-15,4.73403809654782e-12
CCL3,296.2697980514007,2.6174163137027446,0.3451311291985176,7.58383145496337,3.3549693407813426e-14,5.877235291180756e-11
CD74,1555.1077146008447,1.9492952788414564,0.2587191401426777,7.534406916188978,4.905592935045314e-14,7.16134808634365e-11
ATF3,72.57364365577061,4.165235286060405,0.5770657294205456,7.21795641935431,5.277462217673935e-13,6.603613080657999e-10
DUSP2,546.1990072499104,2.251205282137477,0.3181755184983558,7.075356686027087,1.490648437283207e-12,1.4507321846848456e-09
IFNG,111.0579592483243,2.971963068729773,0.4197993980853426,7.079483873213157,1.446923359365914e-12,1.4507321846848456e-09
RGCC,160.24005959761223,2.346942530747722,0.34545119957476333,6.793846811464875,1.0918232014744199e-11,9.563279421714443e-09
JUN,915.318058354138,2.8225106282255625,0.4219702280721569,6.688885709119064,2.2487626567596723e-11,1.7906283736870882e-08
FOSB,371.65861694795655,1.9215117410292732,0.2901649315767965,6.622136350480092,3.5404424161683537e-11,2.584227926934884e-08
ZFP36,1295.4788757364854,1.9449157866010984,0.2988470928241386,6.508063264800155,7.612585969827736e-11,5.129126193055472e-08
MT-ATP8,640.1331047651944,-1.9829150093484504,0.30718926264304847,-6.455027080984215,1.0819955249226145e-10,6.7694277162837e-08
TNFAIP3,483.30657458903215,2.403563036343238,0.37770517011919047,6.363595805651159,1.9708436353665834e-10,1.1508412934783935e-07
RGS2,223.72888148988963,2.635675992105849,0.4174455105936568,6.3138204273837,2.722298046145729e-10,1.4902880366369023e-07
NR4A1,107.06226303423304,3.535490969503404,0.5756782253219955,6.141435986268005,8.17787817377835e-10,4.213531466124975e-07
SGK1,40.15882613364296,3.154341444075166,0.5162030274244697,6.110660489174884,9.92196425876635e-10,4.828138052363026e-07
ZNF331,97.83802340121576,2.456226652423408,0.40368758443926017,6.084474101018527,1.1687429188663655e-09,5.387904855973945e-07
DUSP4,66.72824771002385,2.9348888754227938,0.492499143799938,5.95917558917625,2.53513589638577e-09,1.1102627658221479e-06
TIPIN,35.022943270541596,-4.138414473807959,0.6980244172922548,-5.928753165772498,3.0524352213906846e-09,1.2731561954362384e-06
NOSIP,78.81589214685967,-2.418369448282168,0.41096819578335053,-5.884565942316996,3.990999956329733e-09,1.588962209886006e-06
NR4A2,135.12465734140875,2.362938959476565,0.40864366207133723,5.782394733590816,7.364465248848313e-09,2.8045804832461904e-06
BTG2,353.91294487308335,1.9250090642126978,0.33415076355779333,5.760899791808365,8.366670417127187e-09,2.9337016650781676e-06
MALAT1,8346.022660494664,-1.5605227129458537,0.2708881396401462,-5.7607642587043,8.373392125465714e-09,2.9337016650781676e-06
CTD-2192J16.22,166.09098440223994,-1.8969276222594682,0.3343163733314708,-5.674049414201699,1.3946087500127453e-08,4.698222323600629e-06
PHLDA1,68.3327529203917,3.0839370399749506,0.5455903538100133,5.652477208291784,1.5815177482109392e-08,5.130560724659117e-06
IER5,141.52720506171607,2.3066277326129963,0.41141436936238396,5.606580383149577,2.0636315641498498e-08,6.455481739424476e-06
PMAIP1,48.31887764064203,3.1967393237289397,0.5755769333136478,5.553974001920171,2.7924703190917463e-08,8.434223284456762e-06
CD83,30.294367434858582,3.194613454212162,0.5915361340455769,5.400538141877943,6.644128231947066e-08,1.9162476184168835e-05
PLAUR,21.70172197381885,3.711194634904057,0.6876591022912177,5.396852339391267,6.782015774737229e-08,1.9162476184168835e-05
TNFSF9,36.589499289495464,3.370359883428728,0.6255421033482852,5.387902533480151,7.12846897146253e-08,1.9511956162825095e-05
