,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,30.03265393073395,-1.213145173500778,0.6318888357262553,-1.9198711939679416,0.05487417131178215,0.5253898273382602
A2M,7.758717374904236,2.77078811605138,1.061909414980164,2.6092509181709604,0.009074067909066204,0.17202769779000612
A4GALT,0.06917529748044574,0.9519222045394223,4.782144749329272,0.1990575891022403,0.8422176962696253,
AAAS,13.28313585687311,-0.136147224687501,0.7548961584810832,-0.1803522552842779,0.8568760343926054,0.9959909475665097
AACS,6.19394782332242,-0.4604387426114171,1.062995749253159,-0.43315200736683357,0.6649043422125591,0.9895840984242708
AADAC,0.03458764874022287,1.5819967455003006,4.873849490612976,0.3245887564946811,0.7454923378815358,
AADAT,0.0,,,,,
AAED1,16.63495876921235,0.4928382399441315,0.6577453282507554,0.749284287970259,0.4536858757950374,0.9584264655923016
AAGAB,21.372486698592706,0.22702162939601156,0.5854758272335387,0.3877557686176778,0.6981967809320012,0.9906614775908343
AAK1,217.59454706442156,-1.2040775044554075,0.2957629991329595,-4.07108904083745,4.6793857403981355e-05,0.0027321296988569973
AAMDC,4.556769954540226,0.06606808220814958,1.1415690618564023,0.057874800934698316,0.9538483554102238,0.9970112809645616
AAMP,21.71379303389837,0.4799329588925926,0.6292437938283981,0.7627138536760455,0.44563406666845207,0.9575710969612294
AAR2,13.901644665152698,-0.3756573541136295,0.7819811331322833,-0.4803918383668749,0.6309487966692531,0.9820720621779319
AARD,4.455354722973727,2.6524971296108286,4.233308415523418,0.6265778132026004,0.5309360155382687,0.9731718619729356
AARS,13.636768078948027,0.37785418473547994,0.7202964947551737,0.5245814570622217,0.599874179939085,0.9790016927637498
AARS2,2.64821182428121,-0.5543565602997508,1.5309772301381264,-0.36209327571105426,0.7172823284067498,
AARSD1,6.552400141569693,-0.09028951049857674,1.1418387502637402,-0.07907378382255971,0.9369739356835276,0.9970112809645616
AASDH,7.875204217403241,-0.5577635403210178,0.9301154774801175,-0.5996712814973459,0.5487253312867632,0.9748686797732711
AASDHPPT,15.725423374561435,0.7518722233660232,0.7360833107456881,1.0214498989310599,0.3070413344784926,0.9100217033097177
AASS,1.2942441367999689,-0.4655681187202627,2.2829786976963855,-0.203930119536393,0.8384081076475178,
AATF,42.17417068912566,-0.4285668325452295,0.4914401178547497,-0.87206318119901,0.38317391077401186,0.9368887474556947
AATK,1.0652072587360568,3.0556600962790026,2.5875972032467005,1.1808870764139858,0.23764758598041436,
ABAT,4.6063791481239305,0.573796068630296,1.1876982950920534,0.4831160160803494,0.6290133626266272,0.9820720621779319
ABC13-47656900H15.1,0.8219536449936916,3.3964720274135023,3.2705663443138446,1.038496599623657,0.2990389175342085,
ABCA1,2.662476550333066,2.572634586299575,1.6048253033533484,1.603062078423084,0.10892094920098518,
ABCA10,1.0783212508002822,2.295104641737363,2.5777693553483476,0.8903452269596918,0.37328054327862037,
ABCA12,0.0,,,,,
ABCA2,20.352020546894597,0.30315589171535473,0.5803952915382918,0.5223265869574235,0.6014429608142344,0.9790016927637498
ABCA3,2.763172320613597,-0.86671459899586,1.5721788641871213,-0.5512824391288238,0.5814400747198765,
ABCA5,8.947668397136843,-0.558710953815012,0.860925036743774,-0.6489658564562037,0.5163604456164838,0.9706283244974655
ABCA6,0.10376294622066859,0.5316472867095631,4.738272945424997,0.11220275674977546,0.9106626434044444,
