,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DUSP4,62.957575020677794,4.489858072715306,0.5148770179087984,8.720253413040485,2.775798329352274e-18,2.6417272700445594e-14
LYZ,240.62089166458867,4.23220414498602,0.5132907091110871,8.24523816594171,1.6483158038306846e-16,7.843510752528313e-13
HLA-DRA,534.4648090397147,2.8508263521520694,0.3557844515758431,8.012790720688239,1.1213436276269632e-15,2.760564552912324e-12
CCL4,1133.30251403396,2.7663156982616686,0.34541836960230154,8.00859462525596,1.1602667029157609e-15,2.760564552912324e-12
ATF3,100.84349062325646,5.43205592486633,0.685830595773218,7.920404773925447,2.367386258227056e-15,4.506083003909378e-12
TNF,48.28255129595849,3.7115220961990993,0.5033432955818575,7.373739014261894,1.6590782894250307e-13,2.6315746800763365e-10
RPL30,3228.2821731328345,-1.6734715772757973,0.23254364412523795,-7.196376334304531,6.183381725294866e-13,8.406749125661607e-10
APOE,53.694377202353984,7.5797802207427205,1.0596687198600756,7.152971564305113,8.491920078378419e-13,1.0102200423240928e-09
MT-ATP8,581.9175447187336,-2.1350604086436635,0.3037749242947563,-7.028428740787011,2.088722486488542e-12,1.9878371903911457e-09
TIGIT,81.03630270175253,2.770421039780271,0.3935397081594564,7.039749693206912,1.92585477589134e-12,1.9878371903911457e-09
DUSP2,348.8854802995435,2.2017347739515065,0.31515842724655857,6.986120578108541,2.82591228836558e-12,2.444927931670475e-09
NR4A1,95.01488113064288,3.688448733666857,0.5361409327723468,6.8796253152956455,6.001018799120911e-12,4.7593079926028095e-09
JUN,843.5504698938821,3.3641310099235153,0.49109369800662167,6.850283405343465,7.370382630442629e-12,5.395687037994039e-09
FN1,44.91957991320318,5.307579776998886,0.7893470425832307,6.724013001466641,1.7678664756288476e-11,1.2017703748971247e-08
CD74,1745.7911682520007,2.073557532457882,0.31280263454154716,6.6289644123264795,3.380500626151159e-11,2.1448149639387054e-08
TNFAIP3,521.8472731801103,2.1760975312680086,0.3316656500357887,6.561118195487518,5.3405766940377344e-11,3.17664177482232e-08
TIPIN,52.45636615393862,-3.8480661337784006,0.5906933896227683,-6.514489922150429,7.293707830378884e-11,4.083189260100932e-08
PLAUR,22.34221973821043,4.6975771605311865,0.7252240388438865,6.477415128185509,9.330722461220857e-11,4.933360314635494e-08
RPS8,2938.525853717617,-1.5003713670059402,0.23291600633836912,-6.441684238850778,1.1815490361024357e-10,5.918316935045727e-08
RPS14,3340.8147118768075,-1.682606403373971,0.2626389589251449,-6.406537743905439,1.4886127060658619e-10,7.083563561814404e-08
CTD-2192J16.22,197.77141375345855,-2.3388921933934737,0.36646796374610763,-6.382255544208714,1.7449844867230637e-10,7.90810350483019e-08
RPL37,3675.2110257959857,-1.4910354373524015,0.2349913457481716,-6.345065315512807,2.2233109897456034e-10,9.617841222458593e-08
RPL13,4412.047905859918,-1.529347784295496,0.2429640095265552,-6.294544559400445,3.083037076545051e-10,1.2757071242382285e-07
BTG2,313.9257981911379,1.7130569016251,0.27315542789522224,6.271363211871446,3.579006411907179e-10,1.4192251675883594e-07
HLA-DPA1,156.03756195332005,2.0954229952583034,0.33659386217417864,6.2253749421431115,4.804057230995e-10,1.8288085066951765e-07
RPL34,2744.6612469122506,-1.4922620160852305,0.24131190203019087,-6.183955302372659,6.25150754013986e-10,2.2882922022888865e-07
CCL3,99.87503956735911,2.7207992134809635,0.44051605917920655,6.176390523765477,6.558364811772748e-10,2.3117021449496755e-07
SGK1,39.13376960898431,3.33552333484081,0.5429715951636909,6.143089923212728,8.093143479298144e-10,2.75080166044573e-07
CD69,634.3618663241843,1.9551103431621968,0.3209924812383043,6.090829092382155,1.123274193879508e-09,3.6460234288990885e-07
RPS13,1433.5311152017098,-1.565196652414395,0.2571309023676599,-6.087158867339837,1.1493191432906657e-09,3.6460234288990885e-07
IER5,92.938402549717,2.360284163740462,0.38855401728955397,6.074532905888236,1.2434913617169288e-09,3.8175184804709717e-07
MALAT1,8387.072334861261,-1.7219993727820029,0.28645969458984516,-6.011314699080346,1.8402477561959513e-09,5.473011842411522e-07
RPL18,1932.8283938728734,-1.6048353692722943,0.26889076416532004,-5.968354377116522,2.39658404968224e-09,6.911603151765417e-07
