,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,456.6755674271165,4.857625306357835,0.4129225699955349,11.764010154277504,5.982386297157941e-32,6.228262373971132e-28
ATF3,95.16747433158817,5.492098268112512,0.4891738197213706,11.227293952977218,2.995113417006488e-29,1.5591062892227274e-25
IFNG,106.15636240313981,3.9690937701259776,0.3943269625179456,10.065489168637173,7.849613439120486e-24,2.724077517156113e-20
HLA-DRA,1154.1136593704116,2.319735627177265,0.24091539734664336,9.62883922209211,6.04079896254401e-22,1.5722689499761422e-18
DUSP4,134.36213803665493,4.777246348637172,0.5252862596873252,9.094557987259767,9.497198425535306e-20,1.9775066561649612e-16
CCL3,122.69527430671124,4.081963034762684,0.45249748244294963,9.020962973594742,1.8644309913045344e-19,3.235098508411918e-16
DUSP2,497.2020810232384,2.4694687025241544,0.29248182093444275,8.443152790264064,3.088909197979091e-17,4.594090522880045e-14
HLA-DPA1,385.7562437550994,2.3094055726126888,0.2857179879835388,8.082814767496338,6.328871652608936e-16,8.236235346913954e-13
RGS2,271.63888995598467,3.0739905684314395,0.38630754841390197,7.957366044366987,1.757402203214967e-15,2.0329238152967804e-12
NOSIP,183.45752487026917,-2.9089285653263968,0.37002403427620034,-7.861458434764969,3.796864267647627e-15,3.952915389047944e-12
TNFAIP3,673.2826427815011,2.2415091950079717,0.2888283032927748,7.760697859087012,8.446332033945682e-15,7.994069345946228e-12
TIPIN,85.12685380498837,-3.646946744374794,0.47257322942195923,-7.717209772622236,1.1890387332534053e-14,9.58205251761438e-12
TIGIT,127.25167541592764,3.2250774451034854,0.4179503366602396,7.716413081215477,1.1964910453269325e-14,9.58205251761438e-12
CD74,3509.089491115896,1.9173436754542184,0.25027035706549744,7.661089782808103,1.843619111359728e-14,1.3709941834547233e-11
IER5,166.93815698023667,2.9942561897917765,0.3951117202582976,7.57825201397299,3.502415767065668e-14,2.430910036728045e-11
NR4A1,107.93421356808419,3.9816231537166,0.5321799846653068,7.481722854009028,7.335451628876504e-14,4.77308668176458e-11
KLF4,43.834756542398814,4.251514771128431,0.5747654173200594,7.396956467826186,1.3934120405336322e-13,8.367213306636074e-11
JUN,1187.5172635117528,2.997138015688662,0.4054583747123997,7.391974620858667,1.4466414323258987e-13,8.367213306636074e-11
RPL30,5125.023512435463,-1.713722769764409,0.23353556824787888,-7.338166013090703,2.1654047737221776e-13,1.186527847327452e-10
SGK1,79.66859103857864,3.4061541592213063,0.4676693094865236,7.283253551448748,3.258639436387648e-13,1.69628475861159e-10
HLA-DPB1,455.00670046485595,2.2406386198517594,0.3095320861305349,7.2387927463740995,4.5269618436813335e-13,2.244295226407922e-10
ZFP36,1403.2797826864257,1.9132665992563247,0.265324676899656,7.211039024387126,5.552653710558208e-13,2.627667171846432e-10
CD163,25.86618672791626,6.133434645114419,0.9173506513311611,6.686030730140362,2.2930489525745415e-11,1.0379535932718936e-08
MT-ATP8,927.6547888657933,-1.9490246392923236,0.2952744616728726,-6.6007220138516445,4.091601411767552e-11,1.7749025957463326e-08
NR4A2,130.94997916024204,2.3720019692589123,0.36303736077329996,6.533768216599937,6.413517660745818e-11,2.6708452946409885e-08
PMAIP1,91.19158283082436,3.2916979523430596,0.5048031552253184,6.520755502952064,6.995413436865964e-11,2.8011249727389056e-08
CDKN1A,43.957630669070845,3.6592015222824643,0.5647573138321986,6.4792459214962745,9.218215333917585e-11,3.554475549682073e-08
