Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Coagulation,0.001891487829865611,0.03972124442717783,0,0,13.704918032786885,85.93520219923069,C1S;CRIP2;PRSS23
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.004978559520723919,0.05227487496760115,0,0,9.582027168234065,50.80979795186689,CXCL12;IGFBP3;COL6A3
MSigDB_Hallmark_2020,Estrogen Response Late,0.008892803884572625,0.06224962719200837,0,0,7.701178451178452,36.36891443914411,CXCL12;AGR2;PRSS23
MSigDB_Hallmark_2020,Myogenesis,0.03731045933407291,0.1958799115038828,0,0,7.012987012987013,23.062078616767447,IGFBP3;COL6A3
MSigDB_Hallmark_2020,Estrogen Response Early,0.07505102866161859,0.31472032080248014,0,0,4.676214833759591,12.10946521119845,CXCL12;PRSS23
MSigDB_Hallmark_2020,Hypoxia,0.08992009165785148,0.31472032080248014,0,0,4.1953125,10.105810859962588,CDKN1C;IGFBP3
MSigDB_Hallmark_2020,p53 Pathway,0.12450866354184248,0.35699785073185447,0,0,3.4317496229260933,7.149638456716841,RPL18;TM4SF1
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.14074142116608918,0.35699785073185447,0,0,6.931578947368421,13.591654634141438,EFHD1
MSigDB_Hallmark_2020,TGF-beta Signaling,0.15403650779815223,0.35699785073185447,0,0,6.2687074829931975,11.726028831412926,CDKN1C
MSigDB_Hallmark_2020,Myc Targets V1,0.1699989765389783,0.35699785073185447,0,0,2.807120743034056,4.9741137066734495,RPL34;RPL18
MSigDB_Hallmark_2020,Androgen Response,0.2534348539699703,0.4838301757608524,0,0,3.5455598455598456,4.8668073160546665,AZGP1
MSigDB_Hallmark_2020,Interferon Alpha Response,0.2877006383844895,0.48876668555452,0,0,3.046843853820598,3.7958640712728093,C1S
MSigDB_Hallmark_2020,Apical Junction,0.31776435491909555,0.48876668555452,0,0,2.6980854197349045,3.0932070601946577,ADAM23
MSigDB_Hallmark_2020,UV Response Up,0.34915423685758346,0.48876668555452,0,0,2.3979030144167757,2.5231731006797955,CDKN1C
MSigDB_Hallmark_2020,KRAS Signaling Up,0.3717706009450935,0.48876668555452,0,0,2.212832929782082,2.1895501191872913,IGFBP3
MSigDB_Hallmark_2020,Glycolysis,0.3888310469662151,0.48876668555452,0,0,2.0873142857142857,1.9716986910881222,IGFBP3
