Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Early,0.009196128076961126,0.2353041055557304,0,0,4.161509900990099,19.513206502599825,ABLIM1;CXCL12;BCL11B;KRT15;MAPT
MSigDB_Hallmark_2020,Myogenesis,0.017423475524894566,0.2353041055557304,0,0,4.273717567835215,17.308286110502237,ABLIM1;APOD;CLU;MYOM2
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.025682235416983064,0.2353041055557304,0,0,3.773109243697479,13.81695910920537,PDGFRB;CXCL12;FBLN1;DCN
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.0336148722222472,0.2353041055557304,0,0,7.458791208791209,25.306087494016772,LEF1;TCF7
MSigDB_Hallmark_2020,Apoptosis,0.052507707501616326,0.2940431620090514,0,0,2.967688483844242,8.745170507529952,PDGFRB;LEF1;CLU;DCN
MSigDB_Hallmark_2020,TGF-beta Signaling,0.08370772485192159,0.39063604930896745,0,0,4.342948717948718,10.772354289866824,CDKN1C;NOG
MSigDB_Hallmark_2020,Coagulation,0.15627739944787955,0.6251095977915182,0,0,2.929848320693391,5.4381578269715485,CRIP2;CLU
MSigDB_Hallmark_2020,Apical Surface,0.18424578447732384,0.6448602456706335,0,0,5.175238095238095,8.753835681942535,MAL
MSigDB_Hallmark_2020,Estrogen Response Late,0.35404894710705515,0.8189698248759739,0,0,1.6294669897032101,1.6919083386821734,CXCL12;MAPT
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.35404894710705515,0.8189698248759739,0,0,1.6294669897032101,1.6919083386821734,AKR1C3;FBLN1
MSigDB_Hallmark_2020,Hypoxia,0.39549268842133717,0.8189698248759739,0,0,1.4871333702268954,1.379499086866665,CDKN1C;DCN
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.41953043986211486,0.8189698248759739,0,0,1.8758441558441559,1.6293942377089774,KRT15
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.45248242426828034,0.8189698248759739,0,0,1.6903981264637002,1.34049646182444,CLU
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.4885905415902141,0.8189698248759739,0,0,1.515406162464986,1.0853800809127698,NR3C2
MSigDB_Hallmark_2020,p53 Pathway,0.4901522683256265,0.8189698248759739,0,0,1.2271062271062272,0.87497482342875,RPL36;RPL18
MSigDB_Hallmark_2020,Androgen Response,0.5625051465732668,0.8189698248759739,0,0,1.2249433106575964,0.7047772529689024,AZGP1
MSigDB_Hallmark_2020,Myc Targets V1,0.5640420400570278,0.8189698248759739,0,0,1.0656636110003985,0.6102272143174187,RPS3;RPL18
MSigDB_Hallmark_2020,UV Response Dn,0.6294640248581435,0.8189698248759739,0,0,1.017161716171617,0.47083050392173487,PDGFRB
MSigDB_Hallmark_2020,Unfolded Protein Response,0.6330700361950213,0.8189698248759739,0,0,1.0070961718020541,0.4604184080775375,RPS14
MSigDB_Hallmark_2020,Apical Junction,0.6800506777497813,0.8189698248759739,0,0,0.8844006568144499,0.3410142428606233,LDLRAP1
MSigDB_Hallmark_2020,UV Response Up,0.6893146586076301,0.8189698248759739,0,0,0.8618647458983594,0.3206631766641293,CDKN1C
MSigDB_Hallmark_2020,KRAS Signaling Up,0.7291522073330552,0.8189698248759739,0,0,0.7701396348012889,0.24326614709272165,APOD
MSigDB_Hallmark_2020,Glycolysis,0.7639235615865597,0.8189698248759739,0,0,0.6958859734369939,0.18739342545661666,DCN
MSigDB_Hallmark_2020,Inflammatory Response,0.7839019737611281,0.8189698248759739,0,0,0.6551892551892552,0.15951977965258796,CCR7
MSigDB_Hallmark_2020,Complement,0.7860156793379531,0.8189698248759739,0,0,0.6509554140127388,0.15673609320474122,CLU
MSigDB_Hallmark_2020,Allograft Rejection,0.8079569883722354,0.8189698248759739,0,0,0.6077097505668935,0.129591949424616,APBB1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.8135439309837273,0.8189698248759739,0,0,0.5968810916179337,0.12316960737058193,CDKN1C
MSigDB_Hallmark_2020,E2F Targets,0.8189698248759739,0.8189698248759739,0,0,0.5864258347016967,0.11711395386076388,TIPIN
KEGG_2021_Human,Ribosome,3.697012531120287e-07,2.95761002489623e-05,0,0,9.589565527065528,142.026937084255,RPS14;RPL30;RPL36;RPS3;RPLP2;RPL13;RPS20;RPL37;RPL18;RPS27A
KEGG_2021_Human,Coronavirus disease,5.90333679531225e-06,0.00023613347181248998,0,0,6.896862139917696,83.03817056508736,RPS14;RPL30;RPL36;RPS3;RPLP2;RPL13;RPS20;RPL37;RPL18;RPS27A
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.0029270518871085936,0.0780547169895625,0,0,11.71628910463862,68.35001338876215,DSP;LEF1;TCF7
KEGG_2021_Human,Basal cell carcinoma,0.027633372006096234,0.504758148363127,0,0,8.356153846153846,29.987989234323553,LEF1;TCF7
KEGG_2021_Human,Prostate cancer,0.035677450887391396,0.504758148363127,0,0,4.375404530744337,14.58425772344098,PDGFRB;TCF7;LEF1
KEGG_2021_Human,Thyroid cancer,0.03785686112723453,0.504758148363127,0,0,6.96025641025641,22.78748305882253,LEF1;TCF7
KEGG_2021_Human,Cushing syndrome,0.04734695707826539,0.5411080808944616,0,0,3.886012225818051,11.853319384548833,KMT2A;LEF1;TCF7
KEGG_2021_Human,Endometrial cancer,0.08085133036464374,0.629405362551784,0,0,4.435761047463175,11.15657440554237,LEF1;TCF7
KEGG_2021_Human,TGF-beta signaling pathway,0.09543090652100444,0.629405362551784,0,0,4.007396449704142,9.414788010788307,NOG;DCN
KEGG_2021_Human,Melanogenesis,0.09543090652100444,0.629405362551784,0,0,4.007396449704142,9.414788010788307,TCF7;LEF1
KEGG_2021_Human,Steroid hormone biosynthesis,0.10113356245758101,0.629405362551784,0,0,10.36,23.738005116385235,AKR1C3
KEGG_2021_Human,Adherens junction,0.10145958959200306,0.629405362551784,0,0,3.8582621082621085,8.828069049774712,LEF1;TCF7
KEGG_2021_Human,Acute myeloid leukemia,0.10759123351518886,0.629405362551784,0,0,3.71978021978022,8.292937938266185,LEF1;TCF7
KEGG_2021_Human,Mitophagy,0.12333137654071623,0.629405362551784,0,0,3.4133039092055486,7.143636946473848,TOMM7;RPS27A
KEGG_2021_Human,Transcriptional misregulation in cancer,0.12402287446719845,0.629405362551784,0,0,2.528343250861259,5.277383710284983,KMT2A;BCL11B;PAX5
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,0.12977675891747903,0.629405362551784,0,0,3.304334554334554,6.747251392335062,CXCL12;CCR7
KEGG_2021_Human,Folate biosynthesis,0.1353398209207681,0.629405362551784,0,0,7.397278911564626,14.794309802422525,AKR1C3
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,0.16014535404224112,0.629405362551784,0,0,6.090196078431372,11.155250239175604,NR3C2
KEGG_2021_Human,Colorectal cancer,0.1630573124917057,0.629405362551784,0,0,2.8490516332982088,5.167192550736121,LEF1;TCF7
KEGG_2021_Human,Gastric cancer,0.17332414420905434,0.629405362551784,0,0,2.73582995951417,4.7947930757016355,LEF1;TCF7
KEGG_2021_Human,Ovarian steroidogenesis,0.17628941515330784,0.629405362551784,0,0,5.44812030075188,9.45591139559882,AKR1C3
KEGG_2021_Human,Breast cancer,0.18022690455464888,0.629405362551784,0,0,2.665187376725838,4.566901555785626,LEF1;TCF7
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.1809540417336379,0.629405362551784,0,0,2.099237636020069,3.5886723348469665,LEF1;TCF7;RPS27A
KEGG_2021_Human,African trypanosomiasis,0.19212601990493777,0.6379766081151605,0,0,4.928344671201814,8.1298159425184,HBA2
KEGG_2021_Human,Wnt signaling pathway,0.20821386800168062,0.6379766081151605,0,0,2.415474060822898,3.7903365723690365,LEF1;TCF7
KEGG_2021_Human,Hippo signaling pathway,0.21528518131296676,0.6379766081151605,0,0,2.36013986013986,3.6246832200010854,LEF1;TCF7
KEGG_2021_Human,Arachidonic acid metabolism,0.2153171052388667,0.6379766081151605,0,0,4.311111111111111,6.6203294510848645,AKR1C3
KEGG_2021_Human,Cholesterol metabolism,0.2378485611832442,0.6625930503420802,0,0,3.8310405643738976,5.501838210076738,LDLRAP1
KEGG_2021_Human,Axon guidance,0.24018998074900402,0.6625930503420802,0,0,2.184817813765182,3.11626044808436,ABLIM1;CXCL12
KEGG_2021_Human,Protein digestion and absorption,0.25973897580743643,0.6752272761173029,0,0,3.446984126984127,4.646803783174512,COL18A1
KEGG_2021_Human,Cell cycle,0.2616505694954549,0.6752272761173029,0,0,2.053884234577304,2.753735777228409,CDKN1C;RBL2
KEGG_2021_Human,Intestinal immune network for IgA production,0.2810064184351338,0.6812276810548699,0,0,3.132756132756133,3.9766509890623247,CXCL12
KEGG_2021_Human,Malaria,0.2810064184351338,0.6812276810548699,0,0,3.132756132756133,3.9766509890623247,HBA2
KEGG_2021_Human,Hepatocellular carcinoma,0.293859408688906,0.6905062024447843,0,0,1.8842657342657343,2.307573243979483,LEF1;TCF7
KEGG_2021_Human,Complement and coagulation cascades,0.3151152581291679,0.6905062024447843,0,0,2.719298245614035,3.140291320702662,CLU
KEGG_2021_Human,Salmonella infection,0.327433455624643,0.6905062024447843,0,0,1.5103214252050146,1.6862292163001535,LEF1;TCF7;RPS3
KEGG_2021_Human,Human papillomavirus infection,0.3300810078312509,0.6905062024447843,0,0,1.502884480090052,1.6658229718316442,PDGFRB;RBL2;TCF7
KEGG_2021_Human,Staphylococcus aureus infection,0.3476205269664806,0.6905062024447843,0,0,2.4019933554817277,2.538051468189302,KRT15
KEGG_2021_Human,Lysine degradation,0.3601904861000852,0.6905062024447843,0,0,2.294814814814815,2.343286488642896,KMT2A
KEGG_2021_Human,Ras signaling pathway,0.3610293004932908,0.6905062024447843,0,0,1.6039057841383422,1.6340530525051085,PDGFRB;RASA3
KEGG_2021_Human,Melanoma,0.36638519668748437,0.6905062024447843,0,0,2.24472049689441,2.25385661942515,PDGFRB
KEGG_2021_Human,Gap junction,0.3725204896511044,0.6905062024447843,0,0,2.196757852077001,2.169217619298563,PDGFRB
KEGG_2021_Human,Regulation of actin cytoskeleton,0.38180075894634036,0.6905062024447843,0,0,1.5317663817663818,1.4748710331713057,PDGFRB;CXCL12
KEGG_2021_Human,Central carbon metabolism in cancer,0.3846150755344914,0.6905062024447843,0,0,2.1067055393586007,2.012982947130839,PDGFRB
