Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,6.247619783514554e-07,1.1870477588677654e-05,0,0,6.4107442348008385,91.5832196152893,RPL34;RPS5;RPS6;RPL22;RPLP0;RPL6;EEF1B2;FBL;RPS3;RACK1;RPL14;RPS2;RPL18
MSigDB_Hallmark_2020,p53 Pathway,0.040710626848659545,0.28994406805788386,0,0,2.7787589779818673,8.895546968197047,LDHB;RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.04578064232492903,0.28994406805788386,0,0,6.287310979618672,19.389400190384166,LEF1;TCF7
MSigDB_Hallmark_2020,Inflammatory Response,0.21039122161504775,0.8466319582614984,0,0,1.9423234811165846,3.0276676624679393,CCR7;CD48;IL7R
MSigDB_Hallmark_2020,Apical Surface,0.2378684405607765,0.8466319582614984,0,0,3.861178369652946,5.544797044589972,MAL
MSigDB_Hallmark_2020,Allograft Rejection,0.3160150699306521,0.8466319582614984,0,0,1.5437036228721082,1.7782931257103856,RPS9;RPS19;RPS3A
MSigDB_Hallmark_2020,Apical Junction,0.32063427207514655,0.8466319582614984,0,0,1.7645856558900037,2.0071352680096886,ADAM23;LDLRAP1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.35647661400484143,0.8466319582614984,0,0,1.622051282051282,1.6731242270641598,RPS14;EEF2
MSigDB_Hallmark_2020,Apoptosis,0.4714100001408972,0.8598079660673192,0,0,1.2735715727841712,0.9577603046832017,LEF1;DCN
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.6423026990913325,0.8598079660673192,0,0,0.982534105002067,0.4349635177641397,DCN
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.6575042177193636,0.8598079660673192,0,0,0.8935422602089269,0.37466593337942283,LDHB;SLC25A6
MSigDB_Hallmark_2020,Estrogen Response Early,0.6995144922777472,0.8598079660673192,0,0,0.8380120056497176,0.29947931722265386,BCL11B
MSigDB_Hallmark_2020,KRAS Signaling Up,0.7069097847020885,0.8598079660673192,0,0,0.8207367692839848,0.28467437390465256,IL7R
