Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,7.365739855599252e-14,3.4618977321316486e-12,0,0,7.538847716949558,227.9698682902683,CDKN1A;CD83;BCL2A1;SERPINE1;TNFAIP2;SLC2A3;SAT1;CXCL2;CCRL2;OLR1;CCL2;PHLDA1;IER3;DUSP4;JUN;EGR2;GADD45B;DUSP1;IFNGR2;PLAUR;FOS;SOD2;KLF4;RHOB;IL1B;SGK1;ATF3;HBEGF
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,5.7676450995301234e-12,1.355396598389579e-10,0,0,11.491881298992162,297.3956064484924,JUN;GADD45B;TPM4;LRP1;FUCA1;SERPINE1;FN1;PLAUR;CAPG;SAT1;RHOB;MMP14;VCAN;ANPEP;SPP1;TGFBI;VIM;MYL9
MSigDB_Hallmark_2020,Complement,1.0833478387371845e-11,1.6972449473549222e-10,0,0,7.087912087912088,178.95829727589944,LRP1;SRC;SERPINE1;ANXA5;FN1;PLAUR;LIPA;PLA2G7;CTSS;C2;LGALS3;MMP14;PLSCR1;CTSL;APOC1;TIMP2;OLR1;ADAM9;LAP3;CD36;CTSD;S100A9;LGMN;CTSB
MSigDB_Hallmark_2020,Inflammatory Response,2.1455812330338704e-09,2.5210579488147977e-08,0,0,6.399264289756649,127.7283895709942,MSR1;CDKN1A;CSF3R;IFNGR2;AQP9;SERPINE1;PTAFR;C5AR1;FPR1;PLAUR;ADM;MMP14;GNA15;RGS1;IL1B;CCRL2;OLR1;CCL2;CD14;HBEGF
MSigDB_Hallmark_2020,Coagulation,2.4612602805160594e-08,2.313584663685096e-07,0,0,9.61318005181347,168.42298387687106,GSN;LRP1;SERPINE1;FN1;MMP9;C2;MMP14;APOC1;ADAM9;OLR1;CD9;LGMN;CTSB
MSigDB_Hallmark_2020,Cholesterol Homeostasis,5.8197445836063594e-08,4.558799923824981e-07,0,0,11.735897435897435,195.51329573743854,LGALS3;PLSCR1;ALCAM;FABP5;ANXA5;PLAUR;CD9;ATF3;S100A11;CXCL16;LGMN
MSigDB_Hallmark_2020,Hypoxia,1.6892402861940238e-07,1.1342041921588446e-06,0,0,5.576719576719577,86.96234318950759,JUN;CDKN1A;ANXA2;DUSP1;SDC2;SERPINE1;PLAUR;ADM;SLC2A3;FOS;RBPJ;HMOX1;PLIN2;TGFBI;FBP1;ATF3;IER3
MSigDB_Hallmark_2020,KRAS Signaling Up,3.269194646706031e-07,1.9206518549397934e-06,0,0,6.633958333333333,99.06856161588476,FUCA1;PLAUR;EMP1;KLF4;MMP9;CTSS;MAFB;GPNMB;IL1B;EPB41L3;SPP1;IRF8;HBEGF;ENG
MSigDB_Hallmark_2020,Apoptosis,7.078046362672408e-07,3.696313100506702e-06,0,0,4.9547683572073815,70.16495888046205,JUN;CDKN1A;GSN;GADD45B;EMP1;SOD2;SAT1;RHOB;LGALS3;GNA15;IL1B;LMNA;TIMP2;HMOX1;CD14;ATF3;IER3
MSigDB_Hallmark_2020,p53 Pathway,1.2500094403161458e-05,5.8750443694858854e-05,0,0,4.32607585238156,48.84042024382578,CEBPA;JUN;ST14;CDKN1A;FUCA1;FOS;KLF4;SAT1;GM2A;HMOX1;NUPR1;CTSD;ATF3;IER3;HBEGF
MSigDB_Hallmark_2020,Estrogen Response Late,2.0901680932934826e-05,8.930718216799425e-05,0,0,5.110402999062793,55.068072370635754,ST14;RAB31;FABP5;ALDH3B1;MYOF;BLVRB;CD9;FOS;SGK1;KLF4;S100A9;GLA
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,2.3287100999784798e-05,9.120781224915712e-05,0,0,4.072937353312873,43.448511132682896,CD83;GADD45B;CTSZ;EMP1;CAPG;SLC2A3;RHOB;MYO1E;PLSCR1;ALCAM;MYO1C;SPP1;IRF8;PLIN2;PHLDA1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.0002079957413110809,0.0007519846032016001,0,0,4.196553173602354,35.578348232432525,ALDH2;IDH1;SERPINE1;AQP9;HMOX1;BLVRB;IRF8;CD36;PGD;BCAT1;FBP1
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.0006362845824443755,0.0021360982410632604,0,0,4.849548112706008,35.6920176651276,JUN;CSF3R;IFNGR2;IL1B;HMOX1;CD9;CD36;CD14
MSigDB_Hallmark_2020,Allograft Rejection,0.0023045155991851824,0.007220815544113571,0,0,2.723428091303739,16.53906499643129,SPI1;IGSF6;IFNGR2;CAPG;MMP9;CTSS;C2;HLA-DMB;IL1B;IRF8;CCL2;BCAT1;FCGR2B
