Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Early,0.05834616152686323,0.42071344369469427,0,0,5.467306015693112,15.534593948054344,ABLIM1;CXCL12
MSigDB_Hallmark_2020,Apical Surface,0.07011890728244904,0.42071344369469427,0,0,15.221153846153847,40.451172273986764,MAL
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.11265211401067543,0.4506084560427017,0,0,8.981534090909092,19.610738210031407,TCF7
MSigDB_Hallmark_2020,Myogenesis,0.2569516950696255,0.5598607805825959,0,0,3.509486607142857,4.768926129370564,ABLIM1
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.3095080273100485,0.5598607805825959,0,0,2.8013392857142856,3.28533017805709,CXCL12
MSigDB_Hallmark_2020,Estrogen Response Late,0.33441606371151167,0.5598607805825959,0,0,2.543831168831169,2.7864347231932145,CXCL12
MSigDB_Hallmark_2020,Unfolded Protein Response,0.3584518650129249,0.5598607805825959,0,0,2.3292410714285716,2.38971025595237,RPS14
MSigDB_Hallmark_2020,E2F Targets,0.4008760187210851,0.5598607805825959,0,0,2.0128865979381443,1.8399858383190881,TIPIN
MSigDB_Hallmark_2020,Inflammatory Response,0.45515332395626223,0.5598607805825959,0,0,1.6929347826086956,1.3325444192515172,CCR7
MSigDB_Hallmark_2020,p53 Pathway,0.4665506504854966,0.5598607805825959,0,0,1.6349789915966386,1.2464894900391361,RPL18
MSigDB_Hallmark_2020,Allograft Rejection,0.5376547989599368,0.5865325079562947,0,0,1.3268407534246576,0.8233558536357439,CD79A
MSigDB_Hallmark_2020,Myc Targets V1,0.6037801640322311,0.6037801640322311,0,0,1.1017857142857144,0.5559005989648144,RPL18
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,0.021448185379479862,0.3726421293303657,0,0,9.682027649769585,37.19946593770858,CXCL12;CCR7
KEGG_2021_Human,Ribosome,0.024024101033397145,0.3726421293303657,0,0,5.277118644067796,19.676780376573728,RPS14;RPL30;RPL18
KEGG_2021_Human,Cushing syndrome,0.03360024527914563,0.3726421293303657,0,0,7.516129032258065,25.50389372616635,KMT2A;TCF7
KEGG_2021_Human,Axon guidance,0.04167010506316145,0.3726421293303657,0,0,6.646218931782125,21.121493100048596,ABLIM1;CXCL12
KEGG_2021_Human,Coronavirus disease,0.046580266166295715,0.3726421293303657,0,0,4.02012987012987,12.328043024396454,RPS14;RPL30;RPL18
KEGG_2021_Human,Cytokine-cytokine receptor interaction,0.06957989451224295,0.4061482198978968,0,0,4.927616050354052,13.13347466042736,CXCL12;CCR7
KEGG_2021_Human,Basal cell carcinoma,0.07973828381153351,0.4061482198978968,0,0,13.1875,33.35125949799831,TCF7
KEGG_2021_Human,Chemokine signaling pathway,0.10199669081374525,0.4061482198978968,0,0,3.9098026933917946,8.925355880609299,CXCL12;CCR7
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.10336648428790346,0.4061482198978968,0,0,9.8828125,22.42879101565625,TCF7
KEGG_2021_Human,Primary immunodeficiency,0.11725989275598901,0.4061482198978968,0,0,8.589673913043478,18.410784969878897,CD79A
KEGG_2021_Human,Thyroid cancer,0.11725989275598901,0.4061482198978968,0,0,8.589673913043478,18.410784969878897,TCF7
KEGG_2021_Human,Intestinal immune network for IgA production,0.12184446596936903,0.4061482198978968,0,0,8.23046875,17.32521833775194,CXCL12
KEGG_2021_Human,Lysine degradation,0.1532961668138209,0.4173294663108455,0,0,6.36491935483871,11.93666472348453,KMT2A
KEGG_2021_Human,Melanogenesis,0.17077520806322258,0.4173294663108455,0,0,5.633928571428571,9.957445696172197,TCF7
KEGG_2021_Human,Endometrial cancer,0.17508999505866882,0.4173294663108455,0,0,5.4765625,9.542664695434913,TCF7
KEGG_2021_Human,Adherens junction,0.18365435161868918,0.4173294663108455,0,0,5.186677631578948,8.789861606224825,TCF7
KEGG_2021_Human,Acute myeloid leukemia,0.20883328445969748,0.4173294663108455,0,0,4.475142045454546,7.00905262166668,TCF7
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,0.22113870173725375,0.4173294663108455,0,0,4.1875,6.318791627005949,TCF7
KEGG_2021_Human,Breast cancer,0.2332584386861784,0.4173294663108455,0,0,3.934375,5.726908752620348,TCF7
KEGG_2021_Human,Prostate cancer,0.23725755917714833,0.4173294663108455,0,0,3.8566176470588234,5.548164780822694,TCF7
KEGG_2021_Human,Gastric cancer,0.24123645015961434,0.4173294663108455,0,0,3.7818509615384617,5.377707752762818,TCF7
KEGG_2021_Human,Rheumatoid arthritis,0.24913393977312498,0.4173294663108455,0,0,3.640625,5.0596118065962035,CXCL12
KEGG_2021_Human,Colorectal cancer,0.2569516950696255,0.4173294663108455,0,0,3.509486607142857,4.768926129370564,TCF7
KEGG_2021_Human,Hippo signaling pathway,0.2608309164442784,0.4173294663108455,0,0,3.4473684210526314,4.632859510032695,TCF7
KEGG_2021_Human,Leukocyte transendothelial migration,0.2608309164442784,0.4173294663108455,0,0,3.4473684210526314,4.632859510032695,CXCL12
KEGG_2021_Human,B cell receptor signaling pathway,0.27615234699927493,0.4202920402455999,0,0,3.2192622950819674,4.142555038821338,CD79A
KEGG_2021_Human,Wnt signaling pathway,0.28369712716577994,0.4202920402455999,0,0,3.1160714285714284,3.9257765551033232,TCF7
KEGG_2021_Human,NF-kappa B signaling pathway,0.3238497577617816,0.45281325117343635,0,0,2.6482263513513513,2.985810545032565,CXCL12
KEGG_2021_Human,Hepatocellular carcinoma,0.3482556889988078,0.45281325117343635,0,0,2.4166666666666665,2.549144298692706,TCF7
KEGG_2021_Human,Pathways in cancer,0.3504420414626291,0.45281325117343635,0,0,1.6700382722799343,1.751135240222297,CXCL12;TCF7
KEGG_2021_Human,Transcriptional misregulation in cancer,0.37180643317392614,0.45281325117343635,0,0,2.221946022727273,2.198353180026655,KMT2A
KEGG_2021_Human,Ras signaling pathway,0.3751027206281287,0.45281325117343635,0,0,2.196629213483146,2.153916568645763,RASA3
KEGG_2021_Human,Lysosome,0.37838223312504665,0.45281325117343635,0,0,2.171875,2.1107375778049504,CTSW
KEGG_2021_Human,Apoptosis,0.38489126349742087,0.45281325117343635,0,0,2.1239809782608696,2.0279651799854275,CTSW
KEGG_2021_Human,Regulation of actin cytoskeleton,0.43761340295257806,0.5001296033743748,0,0,1.7878440366972477,1.4775089961437957,CXCL12
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.4665506504854966,0.5183896116505518,0,0,1.6349789915966386,1.2464894900391361,TCF7
KEGG_2021_Human,Human cytomegalovirus infection,0.5072671331672685,0.5483969007213714,0,0,1.4484608208955223,0.9830957423638027,CXCL12
KEGG_2021_Human,Human papillomavirus infection,0.5425394622906851,0.5710941708323001,0,0,1.3084881756756757,0.8001332634183186,TCF7
KEGG_2021_Human,Endocytosis,0.5708134428778926,0.5854496850029667,0,0,1.2080078125,0.6773213344118606,ACAP1
KEGG_2021_Human,Salmonella infection,0.6037801640322311,0.6037801640322311,0,0,1.1017857142857144,0.5559005989648144,TCF7
