Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,p53 Pathway,0.046267874350259454,0.4588860843200108,0,0,4.0344827586206895,12.399205786823691,CYFIP2;RPL36;RPL18
MSigDB_Hallmark_2020,Allograft Rejection,0.09219447162596678,0.4588860843200108,0,0,2.978021978021978,7.099172912650778,CD7;LTB;ETS1
MSigDB_Hallmark_2020,Apical Surface,0.11109042289777153,0.4588860843200108,0,0,9.391891891891891,20.637844568537812,MAL
MSigDB_Hallmark_2020,KRAS Signaling Up,0.12430208910834252,0.4588860843200108,0,0,3.4646464646464645,7.223928105575255,IL7R;ETS1
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.1349664953882385,0.4588860843200108,0,0,7.508108108108108,15.036703693336863,TCF7
MSigDB_Hallmark_2020,Hypoxia,0.1840386719944279,0.49174668316930636,0,0,2.6777777777777776,4.532431756303249,CDKN1C;ETS1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.21036177535792516,0.49174668316930636,0,0,2.442652329749104,3.8079154243650564,CDKN1C;LTB
MSigDB_Hallmark_2020,TGF-beta Signaling,0.23141020384437946,0.49174668316930636,0,0,4.0096525096525095,5.8683805358078,CDKN1C
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.3358151405542178,0.5303959198650047,0,0,2.541769041769042,2.773564264808651,LTB
MSigDB_Hallmark_2020,Estrogen Response Early,0.35967652216318347,0.5303959198650047,0,0,2.3277027027027026,2.3801928665548986,FCMR
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.40492135177399446,0.5303959198650047,0,0,1.9913127413127414,1.8002710236226085,CYFIP2
MSigDB_Hallmark_2020,Myc Targets V1,0.4098157969320998,0.5303959198650047,0,0,1.462962962962963,1.3050324478719675,RPS3;RPL18
MSigDB_Hallmark_2020,Unfolded Protein Response,0.42636083310552636,0.5303959198650047,0,0,1.8567567567567567,1.5828280680274056,RPS14
MSigDB_Hallmark_2020,E2F Targets,0.4367966398888274,0.5303959198650047,0,0,1.7959895379250217,1.4875957690628336,TIPIN
MSigDB_Hallmark_2020,UV Response Up,0.5002612858644119,0.5669627906463335,0,0,1.48,1.0250846230797834,CDKN1C
MSigDB_Hallmark_2020,Inflammatory Response,0.5806645211653119,0.6169560537381439,0,0,1.1753881541115583,0.6389199671660971,IL7R
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.6796663275764032,0.6796663275764032,0,0,0.8918918918918919,0.3444069937142378,IL7R
KEGG_2021_Human,Ribosome,2.2013430062058785e-06,9.025506325444101e-05,0,0,11.724731182795699,152.73154158109054,RPS14;RPL30;RPS3;RPL36;RPLP2;RPL13;RPL18;RPL28
KEGG_2021_Human,Coronavirus disease,2.4005762825686114e-05,0.0004921181379265653,0,0,8.246310432569974,87.71779054124393,RPS14;RPL30;RPS3;RPL36;RPLP2;RPL13;RPL18;RPL28
KEGG_2021_Human,Hematopoietic cell lineage,0.06134576224826989,0.5152643620595448,0,0,5.347545219638243,14.926224286331705,CD7;IL7R
KEGG_2021_Human,Basal cell carcinoma,0.07825535520080039,0.5152643620595448,0,0,14.10135135135135,35.92711295240369,TCF7
KEGG_2021_Human,Cytokine-cytokine receptor interaction,0.10377632087619207,0.5152643620595448,0,0,3.8822975517890774,8.795412876280867,LTB;IL7R
KEGG_2021_Human,Ras signaling pathway,0.11833743378090512,0.5152643620595448,0,0,3.5746527777777777,7.629078032483262,RASA3;ETS1
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.1270780328894683,0.5152643620595448,0,0,8.046332046332047,16.599212470019864,TCF7
KEGG_2021_Human,Salmonella infection,0.13027505158139346,0.5152643620595448,0,0,2.5307612095933263,5.1579628508942035,CYFIP2;TCF7;RPS3
KEGG_2021_Human,Primary immunodeficiency,0.15821769336201114,0.5152643620595448,0,0,6.252252252252252,11.52779884135335,IL7R
KEGG_2021_Human,Thyroid cancer,0.15821769336201114,0.5152643620595448,0,0,6.252252252252252,11.52779884135335,TCF7
KEGG_2021_Human,Pathogenic Escherichia coli infection,0.1905725446061315,0.5152643620595448,0,0,2.6149425287356323,4.334848661625629,CYFIP2;RPS3
KEGG_2021_Human,Pathways in cancer,0.20279461884106437,0.5152643620595448,0,0,2.0228571428571427,3.2275930619641464,TCF7;IL7R;ETS1
KEGG_2021_Human,Endometrial cancer,0.21012912407712403,0.5152643620595448,0,0,4.494054054054054,7.0108729007447135,TCF7
KEGG_2021_Human,Melanogenesis,0.22437930103310777,0.5152643620595448,0,0,4.1591591591591595,6.215519612907933,TCF7
KEGG_2021_Human,Adherens junction,0.2383790347902136,0.5152643620595448,0,0,3.8704566635601116,5.549821835144413,TCF7
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,0.2383790347902136,0.5152643620595448,0,0,3.8704566635601116,5.549821835144413,TCF7
KEGG_2021_Human,Renal cell carcinoma,0.2589184072505361,0.5152643620595448,0,0,3.5050675675675675,4.736195550564176,ETS1
KEGG_2021_Human,Cushing syndrome,0.27231062208679596,0.5152643620595448,0,0,3.2972972972972974,4.289163467522897,TCF7
KEGG_2021_Human,Acute myeloid leukemia,0.27891806661298607,0.5152643620595448,0,0,3.2023166023166025,4.088836990733946,TCF7
KEGG_2021_Human,Breast cancer,0.2854670801090333,0.5152643620595448,0,0,3.1126126126126126,3.9020600755806805,TCF7
KEGG_2021_Human,Gastric cancer,0.2919581654694067,0.5152643620595448,0,0,3.0277574872169466,3.7276077525792655,TCF7
KEGG_2021_Human,Hippo signaling pathway,0.298391821342811,0.5152643620595448,0,0,2.9473684210526314,3.564393572958822,TCF7
KEGG_2021_Human,Prostate cancer,0.298391821342811,0.5152643620595448,0,0,2.9473684210526314,3.564393572958822,TCF7
KEGG_2021_Human,Colorectal cancer,0.31735313619924665,0.5152643620595448,0,0,2.72972972972973,3.133020357094254,TCF7
KEGG_2021_Human,Cell cycle,0.3235619777158294,0.5152643620595448,0,0,2.664092664092664,3.006067849256743,CDKN1C
KEGG_2021_Human,Wnt signaling pathway,0.3297158211432391,0.5152643620595448,0,0,2.6015084852294152,2.8864364740730766,TCF7
KEGG_2021_Human,Rheumatoid arthritis,0.341860406110381,0.5152643620595448,0,0,2.4846846846846846,2.6669432497854206,LTB
KEGG_2021_Human,NF-kappa B signaling pathway,0.3655101953988347,0.5152643620595448,0,0,2.279646993932708,2.2943760343318593,LTB
KEGG_2021_Human,JAK-STAT signaling pathway,0.3712921070003996,0.5152643620595448,0,0,2.2335135135135133,2.2128896423077893,IL7R
KEGG_2021_Human,FoxO signaling pathway,0.37702270394600845,0.5152643620595448,0,0,2.189189189189189,2.1354443114864177,IL7R
KEGG_2021_Human,Hepatocellular carcinoma,0.41573683713374654,0.5498454942736648,0,0,1.9217148182665424,1.6866945189612326,TCF7
KEGG_2021_Human,Apoptosis,0.4620839907815342,0.5640600407335316,0,0,1.6599435256151673,1.2814906875730185,CTSW
KEGG_2021_Human,Lysosome,0.4620839907815342,0.5640600407335316,0,0,1.6599435256151673,1.2814906875730185,CTSW
KEGG_2021_Human,RNA transport,0.4767220638715467,0.5640600407335316,0,0,1.5876447876447877,1.1761616045828032,CYFIP2
KEGG_2021_Human,Cellular senescence,0.4815146689188684,0.5640600407335316,0,0,1.5649029311001141,1.143660142895194,ETS1
KEGG_2021_Human,Regulation of actin cytoskeleton,0.5138864720403937,0.5852595931571151,0,0,1.4220374220374221,0.9467255510531483,CYFIP2
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.5883557792572667,0.6519618094472415,0,0,1.150337837837838,0.6101661615038945,TCF7
KEGG_2021_Human,PI3K-Akt signaling pathway,0.6106145294385519,0.658820939657385,0,0,1.0810810810810811,0.5332858417491879,IL7R
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,0.6451343429575369,0.6646281671772926,0,0,0.9821428571428571,0.4304699734296673,ETS1
KEGG_2021_Human,Human papillomavirus infection,0.6484177240754074,0.6646281671772926,0,0,0.9732121502033007,0.4216151179745499,TCF7
KEGG_2021_Human,Endocytosis,0.7136070698003367,0.7136070698003367,0,0,0.8102102102102102,0.273383390048268,ACAP1
