Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,1.443287475906603e-32,6.639122389170374e-31,0,0,17.516926700029437,1284.2674857054672,PPP1R15A;CDKN1A;CEBPB;CD83;PFKFB3;CEBPD;TNFAIP3;SLC2A3;TNF;ETS2;SOCS3;ZFP36;NFIL3;NAMPT;OLR1;CCL2;MAP3K8;IER5;PHLDA1;IER3;DUSP4;EGR1;JUN;EGR2;GADD45B;DUSP1;RIPK2;PLAUR;FOS;KLF4;RHOB;VEGFA;FOSL2;NR4A2;NR4A1;KLF6;NR4A3;GPR183;IL1B;MAFF;REL;FOSB;SGK1;ATF3;HBEGF
MSigDB_Hallmark_2020,Hypoxia,2.2134605233139315e-14,5.090959203622043e-13,0,0,10.115555555555556,318.0495971372736,PPP1R15A;CDKN1A;JUN;PFKFB3;ANXA2;HSPA5;DUSP1;SDC2;PLAUR;TNFAIP3;SLC2A3;FOS;VEGFA;FOSL2;ZFP36;LDHA;KLF6;NFIL3;MAFF;PLIN2;TGFBI;FBP1;ATF3;IER3
MSigDB_Hallmark_2020,Inflammatory Response,1.685702624930689e-12,2.5847440248937232e-11,0,0,8.40710080941869,227.9067393648038,MSR1;CDKN1A;CXCL8;CCL22;RIPK2;C5AR1;AQP9;PLAUR;OSM;HIF1A;EREG;MARCO;KLF6;RGS1;GPR183;IL1B;NAMPT;CLEC5A;NLRP3;OLR1;CCL2;TIMP1;HBEGF
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,6.249019185987279e-09,7.186372063885371e-08,0,0,9.746527777777779,184.120109629598,JUN;CXCL8;GADD45B;TPM4;PLAUR;FN1;TNFAIP3;RHOB;VEGFA;DAB2;SPP1;VIM;TGFBI;TIMP1
MSigDB_Hallmark_2020,Apoptosis,4.850446818970857e-08,4.462411073453188e-07,0,0,5.7940603700097375,97.58130457927776,JUN;CDKN1A;GPX1;ANXA1;GSN;GADD45B;IFNGR1;EMP1;TNF;EREG;RHOB;LGALS3;IL1B;PEA15;CTNNB1;TIMP1;ATF3;IER3
MSigDB_Hallmark_2020,Complement,1.0435718091004096e-06,7.3654712556650814e-06,0,0,4.8142131253131035,66.30548962998128,CPM;CEBPB;HSPA5;PLAUR;FN1;TNFAIP3;LIPA;PLA2G7;LGALS3;PLSCR1;CTSL;MAFF;OLR1;ADAM9;TIMP1;CTSD;CTSB
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,1.1208325823838168e-06,7.3654712556650814e-06,0,0,5.085082518827111,69.67294678073532,CD83;GADD45B;IFNGR1;EMP1;SLC2A3;RHOB;PLSCR1;KLF6;ALCAM;NFIL3;MAFF;SPP1;IRF8;PLIN2;MAP3K8;PHLDA1
MSigDB_Hallmark_2020,Cholesterol Homeostasis,1.8972997250057266e-06,1.0909473418782927e-05,0,0,10.454545454545455,137.73946101835045,LGALS3;PLSCR1;ALCAM;NFIL3;FABP5;PLAUR;CTNNB1;ATF3;CXCL16
MSigDB_Hallmark_2020,KRAS Signaling Up,2.7444169243233577e-06,1.4027019835430493e-05,0,0,5.859175607001694,75.03226251819217,PPP1R15A;PLAUR;EMP1;TNFAIP3;KLF4;EREG;MAFB;GPNMB;IL1B;SPP1;IRF8;HBEGF;ENG
MSigDB_Hallmark_2020,Allograft Rejection,2.5482134586436526e-05,0.00011721781909760802,0,0,3.8383641674780917,40.60042347782816,SRGN;CCL22;IFNGR1;RIPK2;HIF1A;TNF;EREG;IFNG;IL1B;NLRP3;IRF8;CCL2;HLA-DRA;TIMP1;FCGR2B;BCAT1
