Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,0.007506774268304024,0.10509483975625633,0,0,2.8492686029255885,13.938477918961697,EEF1B2;FBL;RPL34;RPS5;RPS6;RPS3;RPL14;RACK1;RPL18
MSigDB_Hallmark_2020,Estrogen Response Early,0.10869357131025968,0.6546698738032999,0,0,2.732472691161867,6.063965227120844,ABLIM1;FCMR;BCL11B
MSigDB_Hallmark_2020,p53 Pathway,0.14028640152927854,0.6546698738032999,0,0,2.0800732097918098,4.085407768383776,RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,Apical Surface,0.22209948281949957,0.7773481898682485,0,0,4.3373945641986875,6.52617344823169,MAL
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.31406804182871173,0.8427635136851596,0,0,2.8029108550636748,3.24617893796506,TCF7
MSigDB_Hallmark_2020,KRAS Signaling Up,0.3611843630079255,0.8427635136851596,0,0,1.6172316384180792,1.646934927871064,CD37;IL7R
MSigDB_Hallmark_2020,Inflammatory Response,0.5031914814791411,0.9261244699384384,0,0,1.2025316455696202,0.8258800978675774,CD48;IL7R
MSigDB_Hallmark_2020,Myogenesis,0.5771718416444489,0.9261244699384384,0,0,1.1853092783505155,0.651464040735677,ABLIM1
MSigDB_Hallmark_2020,Apical Junction,0.6919861961203763,0.9261244699384384,0,0,0.8592314901593252,0.31635981629678683,LDLRAP1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.7454342133836157,0.9261244699384384,0,0,0.7369523195876289,0.21650803815312542,RPS14
MSigDB_Hallmark_2020,E2F Targets,0.810885030569272,0.9261244699384384,0,0,0.6028284430346286,0.12637032215932026,TIPIN
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.8913638128896642,0.9261244699384384,0,0,0.4495440126883426,0.051698737066050396,CD48
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.9044517153130914,0.9261244699384384,0,0,0.4244611059044049,0.0426270831102676,IL7R
MSigDB_Hallmark_2020,Allograft Rejection,0.9261244699384384,0.9261244699384384,0,0,0.381696805813757,0.02929394604293711,RPS19
KEGG_2021_Human,Ribosome,1.067772342184045e-62,6.726965755759484e-61,0,0,88.80433130699087,12671.90752205502,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPS4X;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPL36AL;RPL36;RPLP2;RPL35;RPL38;RPL37;RPS13;RPS12;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL24;RPL27;RPL29;UBA52;RPL28;RPL10;RPL11;RPS15A;RPS3;RPL14;RPL13;RPL18;RPS27A;RPL19;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21
KEGG_2021_Human,Coronavirus disease,2.3326201223687564e-55,7.347753385461582e-54,0,0,56.117263056092845,7059.281654101975,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPS4X;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPL36AL;RPL36;RPLP2;RPL35;RPL38;RPL37;RPS13;RPS12;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL24;RPL27;RPL29;UBA52;RPL28;RPL10;RPL11;RPS15A;RPS3;RPL14;RPL13;RPL18;RPS27A;RPL19;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21
KEGG_2021_Human,Mitophagy,0.055151308475613246,0.9331096457427493,0,0,3.7246963562753037,10.792958798302015,TOMM7;RPS27A;UBA52
KEGG_2021_Human,Homologous recombination,0.1888095616402868,0.9331096457427493,0,0,5.303550973654066,8.8411063572956,ATM
KEGG_2021_Human,Basal cell carcinoma,0.20562711006768375,0.9331096457427493,0,0,4.772164948453608,7.548089852166797,TCF7
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.2540366121958374,0.9331096457427493,0,0,3.6685170499603488,5.026884096888255,TCF7
KEGG_2021_Human,Hematopoietic cell lineage,0.2847659637822974,0.9331096457427493,0,0,1.9515306122448979,2.4512934338514603,CD37;IL7R
KEGG_2021_Human,Cholesterol metabolism,0.3283128449581689,0.9331096457427493,0,0,2.6466208476517754,2.9477754129054463,LDLRAP1
KEGG_2021_Human,Protein export,0.3422647811836181,0.9331096457427493,0,0,2.506782419967444,2.6876984801758206,SEC62
KEGG_2021_Human,FoxO signaling pathway,0.34608348119738735,0.9331096457427493,0,0,1.6747076023391814,1.776990801041754,ATM;IL7R
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.347972618248685,0.9331096457427493,0,0,1.463265306122449,1.5446689287779438,TCF7;RPS27A;UBA52
KEGG_2021_Human,Thyroid cancer,0.36931377434846674,0.9331096457427493,0,0,2.2670594010800196,2.2582375005305657,TCF7
KEGG_2021_Human,Hepatocellular carcinoma,0.39099117342727185,0.9331096457427493,0,0,1.5132275132275133,1.421027005139812,SMARCD1;TCF7
KEGG_2021_Human,MicroRNAs in cancer,0.40566869066528,0.9331096457427493,0,0,1.466025641025641,1.3226754333459407,ATM;FOXP1
KEGG_2021_Human,Primary immunodeficiency,0.4078359197498383,0.9331096457427493,0,0,1.9823883161512028,1.7779849367148193,IL7R
KEGG_2021_Human,Ribosome biogenesis in eukaryotes,0.4201517031079195,0.9331096457427493,0,0,1.902680412371134,1.6498892178546425,FBL
KEGG_2021_Human,Ubiquitin mediated proteolysis,0.43451095242748616,0.9331096457427493,0,0,1.3798309178743962,1.1501361604026916,RPS27A;UBA52
KEGG_2021_Human,Transcriptional misregulation in cancer,0.44160702649101075,0.9331096457427493,0,0,1.3598214285714285,1.1114294742268487,BCL11B;ATM
KEGG_2021_Human,p53 signaling pathway,0.44402768806073556,0.9331096457427493,0,0,1.7609774723176785,1.4296818889204288,ATM
KEGG_2021_Human,Shigellosis,0.45998851959316633,0.9331096457427493,0,0,1.2099018733273863,0.9395538334967632,ATM;RPS27A;UBA52
