Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,4.988833677346248e-24,2.1950868180323494e-22,0,0,17.71931818181818,950.7271833970395,BTG3;CDKN1A;CD83;CEBPD;TNFAIP3;SLC2A3;SAT1;AREG;ZFP36;NAMPT;CCL4;IER5;JUNB;IER3;DUSP4;JUN;DUSP2;GADD45B;DUSP1;PLAUR;FOS;KLF4;RHOB;NR4A1;GPR183;FOSB;TNFSF9;CD69;SGK1;ATF3;HBEGF
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,1.3447177114889648e-14,2.9583789652757226e-13,0,0,22.156079854809438,707.6653498830967,JUN;CXCL8;TPM4;GADD45B;LRP1;PLAUR;FN1;TNFAIP3;SAT1;AREG;RHOB;VCAN;ANPEP;SPP1;TGFBI;VIM
MSigDB_Hallmark_2020,Inflammatory Response,2.8938252145156793e-11,4.244276981289663e-10,0,0,10.679065265486726,259.1366684085949,MSR1;CDKN1A;CXCL8;RGS16;C5AR1;PTAFR;PLAUR;GNA15;RGS1;AXL;GPR183;NAMPT;IRF7;TNFSF9;CD14;CD69;HBEGF
MSigDB_Hallmark_2020,Apoptosis,4.183318942161338e-10,4.601650836377472e-09,0,0,8.73530746539596,188.6367458873581,BTG3;JUN;CDKN1A;GSN;GPX1;GADD45B;SAT1;RHOB;DNAJA1;LGALS3;GNA15;PEA15;CTNNB1;CD14;CD69;ATF3;IER3
MSigDB_Hallmark_2020,Complement,3.611584664698126e-09,3.178194504934351e-08,0,0,8.044414834554741,156.37633882799062,SERPINA1;LRP1;PLAUR;FN1;GZMB;TNFAIP3;LGALS3;PLSCR1;CTSL;APOC1;IRF7;CD36;LAP3;CTSD;CTSC;HSPA1A
MSigDB_Hallmark_2020,Hypoxia,2.1050695090912898e-07,1.543717640000279e-06,0,0,7.416666666666667,114.02195812872188,JUN;CDKN1A;ANXA2;DUSP1;PLAUR;TNFAIP3;SLC2A3;FOS;ZFP36;LDHA;TGFBI;ATF3;IER3
MSigDB_Hallmark_2020,Interferon Gamma Response,2.869934150608412e-06,1.803958608953859e-05,0,0,4.919254658385094,62.77569817525414,CDKN1A;STAT1;FGL2;MX1;TNFAIP3;CSF2RB;PLSCR1;IFI27;IRF4;OAS3;NAMPT;IRF7;IRF8;CD69;LAP3
MSigDB_Hallmark_2020,Estrogen Response Late,3.4343210339802342e-06,1.8888765686891288e-05,0,0,7.7517006802721085,97.52950510971256,SLC7A5;BTG3;ZFP36;DUSP2;SERPINA1;FABP5;FOS;SGK1;KLF4;AREG
MSigDB_Hallmark_2020,Cholesterol Homeostasis,9.408205462943502e-06,4.5995671152168234e-05,0,0,11.860679970436069,137.2746598976666,LGALS3;PLSCR1;FABP5;PLAUR;CTNNB1;ATF3;CXCL16
MSigDB_Hallmark_2020,p53 Pathway,1.0729393102403253e-05,4.7209329650574316e-05,0,0,5.410169491525424,61.90599189061296,JUN;CDKN1A;RGS16;TNFSF9;FOS;KLF4;SAT1;IER5;CTSD;ATF3;HBEGF;IER3
