Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,1.1060276193578756e-39,5.087727049046228e-38,0,0,20.728455284552844,1859.343345929232,PPP1R15A;BTG3;BTG2;CDKN1A;CD83;PFKFB3;BCL2A1;TNFAIP3;SLC2A3;TNF;IFIT2;ZFP36;PLAU;ZC3H12A;NAMPT;CCL4;MAP3K8;JUNB;IER5;IER3;DUSP4;DUSP5;JUN;EGR2;DUSP2;RIPK2;TNFRSF9;PLAUR;G0S2;FOS;KLF4;RHOB;MARCKS;BCL6;GPR183;IL1B;MAFF;BHLHE40;BCL3;TNFSF9;CD69;TRIB1;SGK1;NFKBIE;ATF3;HBEGF;TLR2;BIRC3
MSigDB_Hallmark_2020,Inflammatory Response,5.7542014489488434e-21,1.3234663332582339e-19,0,0,12.9491341991342,603.4860688892092,CDKN1A;BTG2;CXCL8;C5AR1;FPR1;HIF1A;GNA15;RGS1;LAMP3;NAMPT;CLEC5A;CD14;TIMP1;IL10;MSR1;CCL22;RIPK2;TNFRSF9;OSM;PLAUR;CYBB;EREG;GPR183;IL1B;IRF7;LTA;TNFSF9;CD69;TLR2;HBEGF
MSigDB_Hallmark_2020,Allograft Rejection,3.3223047385726545e-20,5.094200599144737e-19,0,0,11.387171204430087,510.7265066982424,CD86;CD1D;CXCL13;HIF1A;TNF;CTSS;HLA-DMA;HLA-DMB;CCL4;TIMP1;CCR5;CCR1;IL10;SRGN;CD74;CCL22;RIPK2;STAT1;GZMA;GZMB;MMP9;EREG;IFNG;IRF4;IL1B;BCL3;IRF7;HLA-DRA;IRF8;FCGR2B;TLR2
MSigDB_Hallmark_2020,Interferon Gamma Response,6.992672844532084e-19,8.041573771211896e-18,0,0,10.07000987973972,420.9692498137075,CD86;CDKN1A;SAMD9L;CIITA;FGL2;FPR1;TNFAIP3;HIF1A;IFIT2;OASL;MT2A;HLA-DMA;NAMPT;EPSTI1;FCGR1A;CD74;RIPK2;STAT1;GZMA;PLSCR1;MTHFD2;IRF4;OAS3;PELI1;IRF7;PSME2;CMPK2;IRF8;LAP3;CD69;IDO1
MSigDB_Hallmark_2020,Apoptosis,4.117661088306756e-11,3.7882482012422155e-10,0,0,7.794980443285528,186.4025421824886,TOP2A;BTG3;JUN;CDKN1A;BTG2;TNF;EREG;RHOB;DNAJA1;GNA15;IL1B;PEA15;PMAIP1;HMOX1;CD14;TIMP1;CD69;ATF3;IER3;BIRC3
MSigDB_Hallmark_2020,KRAS Signaling Up,1.9603074230657433e-10,1.5029023576837365e-09,0,0,8.132673267326732,181.78760928984372,PPP1R15A;PLAUR;G0S2;F13A1;TNFAIP3;KLF4;CSF2RA;MMP9;CTSS;EREG;MAFB;PLAU;IL1B;SPP1;IRF8;TRIB1;HBEGF;BIRC3
MSigDB_Hallmark_2020,Hypoxia,1.1180751359285186e-09,7.3473508932445505e-09,0,0,7.195488721804511,148.3109473434756,PPP1R15A;JUN;CDKN1A;PFKFB3;ANXA2;PLAUR;TNFAIP3;SLC2A3;FOS;MT2A;LDHA;ZFP36;BHLHE40;MAFF;HMOX1;TGFBI;ATF3;IER3
MSigDB_Hallmark_2020,Complement,5.212057552594606e-09,2.996933092741898e-08,0,0,6.450168728908887,123.0194958703349,FCN1;DUSP5;SERPINA1;GZMA;PLAUR;TNFAIP3;GZMB;CTSS;GZMK;PLSCR1;CTSL;MAFF;IRF7;LAP3;TIMP1;CTSC;LGMN;CTSB
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,2.276631040929023e-08,1.1636114209192784e-07,0,0,5.8012158054711245,102.08970296793203,IL10;CD86;CD83;TNFRSF9;CTSZ;FGL2;SLC2A3;RHOB;PLSCR1;IRF4;BHLHE40;MAFF;IL3RA;SPP1;CTLA4;IRF8;MAP3K8;ICOS
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,3.2258919863753644e-08,1.4839103137326675e-07,0,0,9.726262626262626,167.7728875127271,CCR1;JUN;STAT1;IL1B;IL3RA;HMOX1;MAP3K8;CD14;CXCL13;TNF;CSF2RA;TLR2
MSigDB_Hallmark_2020,Interferon Alpha Response,9.360611167255978e-08,3.914437397216136e-07,0,0,7.7467906976744185,125.37537884466141,CD74;SAMD9L;RIPK2;IFIT2;OASL;PLSCR1;OAS1;LAMP3;EPSTI1;IRF7;CMPK2;PSME2;LAP3
MSigDB_Hallmark_2020,p53 Pathway,1.9679550269825348e-05,7.54382760343305e-05,0,0,4.2443257676902535,45.991219117607656,PPP1R15A;JUN;CDKN1A;BTG2;PCNA;VDR;FOS;KLF4;HMOX1;TNFSF9;IER5;ATF3;IER3;HBEGF
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,8.121161942679112e-05,0.0002873641918178762,0,0,5.00208507089241,47.11189926380967,JUN;CXCL8;TPM4;BASP1;SPP1;PLAUR;TNFAIP3;TIMP1;TGFBI;RHOB
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.00038323601746731266,0.0012592040573925986,0,0,5.86703793943613,46.15516329728075,PLSCR1;FABP5;PLAUR;FBXO6;ATF5;ATF3;LGMN
MSigDB_Hallmark_2020,mTORC1 Signaling,0.0006400864488728126,0.001962931776543292,0,0,3.2860593512767426,24.16537589880396,PPP1R15A;LDHA;CDKN1A;BTG2;MTHFD2;NAMPT;BHLHE40;FGL2;SLC2A3;HSPE1;CTSC;LGMN
MSigDB_Hallmark_2020,Coagulation,0.0008363219141302255,0.0024044255031243984,0,0,5.080542986425339,36.003252399233794,SERPINA1;PLAU;MAFF;TIMP1;MMP9;LGMN;CTSB
MSigDB_Hallmark_2020,Estrogen Response Late,0.001390202940318501,0.0037617256032147673,0,0,3.678274228651901,24.19681174432013,TOP2A;BTG3;DUSP2;ZFP36;SERPINA1;FABP5;FOS;SGK1;KLF4
MSigDB_Hallmark_2020,G2-M Checkpoint,0.0016864705007125814,0.0043098690573765966,0,0,3.294129819962751,21.033405614964295,TOP2A;MT2A;MARCKS;PTTG1;UBE2C;BCL3;NUSAP1;ATF5;KPNA2;HIF1A
MSigDB_Hallmark_2020,UV Response Up,0.004471613530945693,0.010826011706500098,0,0,3.3174025974025976,17.947167845557754,DNAJA1;BTG3;BTG2;HMOX1;FOS;JUNB;ATF3;RHOB
MSigDB_Hallmark_2020,Pancreas Beta Cells,0.029871187117758765,0.06870373037084515,0,0,8.561061946902655,30.056697692378233,MAFB;VDR
MSigDB_Hallmark_2020,Apical Junction,0.03394836807179075,0.07436309196677973,0,0,2.616707616707617,8.852098124979186,CD86;SYK;SIRPA;TGFBI;MMP9;YWHAH
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.054624569223550704,0.1142150083765151,0,0,2.30984555984556,6.71534819248535,LDHA;HSPH1;G0S2;ACSL4;CD1D;YWHAH
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.08428885939248087,0.16857771878496175,0,0,3.060952380952381,7.5712827852410856,BTG2;IFNG;SGK1
MSigDB_Hallmark_2020,Angiogenesis,0.09008095845622871,0.17265517037443837,0,0,4.276106194690265,10.292786340908235,SPP1;TIMP1
MSigDB_Hallmark_2020,E2F Targets,0.13499241682257904,0.24838604695354544,0,0,1.7780055917986952,3.5605214038090196,TOP2A;CDKN1A;PCNA;PTTG1;MTHFD2;KPNA2
MSigDB_Hallmark_2020,Glycolysis,0.17997283839485875,0.31841348331398084,0,0,1.7146188340807176,2.9404844332022253,LDHA;TXN;TGFBI;SLC16A3;IER3
MSigDB_Hallmark_2020,Pperoxisome,0.25446255664798284,0.42519088670778765,0,0,1.755433789954338,2.4024894567102035,TOP2A;ACSL4;YWHAH
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.2673612026179335,0.42519088670778765,0,0,1.5542207792207792,2.05025767065009,MT2A;ALDH2;HMOX1;IRF8
MSigDB_Hallmark_2020,TGF-beta Signaling,0.2772984043746441,0.42519088670778765,0,0,1.984153117925499,2.5449959821661152,PPP1R15A;JUNB
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.2772984043746441,0.42519088670778765,0,0,1.984153117925499,2.5449959821661152,TXN;JUNB
MSigDB_Hallmark_2020,Estrogen Response Early,0.2930627522375479,0.4348673097718453,0,0,1.4858695652173912,1.8237095313095453,BHLHE40;PMAIP1;FOS;KLF4
MSigDB_Hallmark_2020,Myogenesis,0.32994055033271885,0.46727309673876094,0,0,1.5057254901960784,1.6696128554167005,CDKN1A;BHLHE40;HBEGF
MSigDB_Hallmark_2020,Hedgehog Signaling,0.34245556197856536,0.46727309673876094,0,0,2.5050531225706143,2.6844484330999223,RTN1
MSigDB_Hallmark_2020,Myc Targets V2,0.34537576715473634,0.46727309673876094,0,0,1.6715252472670483,1.777035722789607,DUSP2;HSPE1
MSigDB_Hallmark_2020,Apical Surface,0.3868782698759158,0.5014554203759035,0,0,2.1286343612334804,2.02144736869982,PLAUR
MSigDB_Hallmark_2020,heme Metabolism,0.39244337246809846,0.5014554203759035,0,0,1.2726545842217485,1.1903940431219702,BTG2;ACP5;YPEL5;CTSB
MSigDB_Hallmark_2020,Unfolded Protein Response,0.4176878357981059,0.5192875796408885,0,0,1.290909090909091,1.1269906547880415,MTHFD2;EIF4A3;ATF3
MSigDB_Hallmark_2020,Myc Targets V1,0.4626167286259333,0.5600097241261297,0,0,1.126414691437113,0.8683039375149663,LDHA;PCNA;TYMS;KPNA2;HSPE1
MSigDB_Hallmark_2020,DNA Repair,0.5942302420429305,0.7008869521532001,0,0,0.9798974358974359,0.5100252699900826,PCNA;CMPK2;TYMS
MSigDB_Hallmark_2020,UV Response Dn,0.6408538829752449,0.7369819654215316,0,0,0.9226625625240477,0.4105422130573129,ANXA2;BHLHE40
MSigDB_Hallmark_2020,Mitotic Spindle,0.6881147383825227,0.7582929735041415,0,0,0.8474666666666667,0.3167827722417926,TOP2A;MARCKS;NUSAP1
MSigDB_Hallmark_2020,Adipogenesis,0.6923544540689986,0.7582929735041415,0,0,0.841766004415011,0.3094813639225091,PFKFB3;BCL6;ALDH2
MSigDB_Hallmark_2020,Androgen Response,0.8345116355792163,0.8915437279322375,0,0,0.5569209367029909,0.10075178296137616,SGK1
MSigDB_Hallmark_2020,Protein Secretion,0.8721623425424063,0.8915437279322375,0,0,0.48594865562813305,0.0664679112159603,CTSC
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.8721623425424063,0.8915437279322375,0,0,0.48594865562813305,0.0664679112159603,CDKN1A
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.926751286644453,0.926751286644453,0,0,0.464626216203002,0.035344138852912876,LDHA;CYCS
KEGG_2021_Human,Tuberculosis,1.834377055766616e-15,2.5526626557375034e-13,0,0,10.529961517317208,357.30340657332175,IL10;CD74;CIITA;SYK;VDR;RIPK2;STAT1;TNF;CTSS;HLA-DMA;HLA-DMB;IFNG;IL1B;MRC1;ITGAX;HLA-DPB1;CYCS;HLA-DRA;CD14;FCGR1A;FCGR2B;HLA-DQA2;HLA-DPA1;TLR2
KEGG_2021_Human,Rheumatoid arthritis,2.3418923447133057e-15,2.5526626557375034e-13,0,0,17.959006211180125,604.9997165047324,CD86;JUN;CXCL8;FOS;TNF;HLA-DMA;HLA-DMB;IFNG;CTSL;IL1B;CCL3;HLA-DPB1;ACP5;CTLA4;HLA-DRA;HLA-DQA2;HLA-DPA1;TLR2
KEGG_2021_Human,Leishmaniasis,1.702860493288643e-14,1.237411958456414e-12,0,0,17.65187419215855,559.6329333215009,IL10;JUN;NCF2;STAT1;CYBB;FOS;TNF;HLA-DMA;HLA-DMB;IFNG;IL1B;HLA-DPB1;HLA-DRA;FCGR1A;HLA-DQA2;HLA-DPA1;TLR2
KEGG_2021_Human,Osteoclast differentiation,2.249826476033186e-12,9.369337525652911e-11,0,0,10.145877378435518,272.1141360450996,JUN;JUND;SYK;NCF2;STAT1;TREM2;FOS;TNF;LILRB4;LILRA4;TYROBP;IFNG;IL1B;BLNK;SIRPA;ACP5;FCGR1A;FCGR2B;JUNB
