Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,4.258393089434317e-05,0.0005961750325208044,0,0,5.449055634074265,54.839478907329166,EEF1B2;RPL34;RPS5;RPS6;RPL22;RPS3;RACK1;RPL14;RPS2;RPL18
MSigDB_Hallmark_2020,p53 Pathway,0.0731835556479673,0.5122848895357711,0,0,2.646894409937888,6.921058563246474,RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,Apical Surface,0.16178621845905766,0.7550023528089358,0,0,6.068771929824561,11.054143383504977,MAL
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.2411082732442096,0.7935574056543383,0,0,3.789035087719298,5.389937194895345,TCF7
MSigDB_Hallmark_2020,Allograft Rejection,0.47780476851197634,0.7935574056543383,0,0,1.2587174940898345,0.929629661967881,RPS9;RPS19
MSigDB_Hallmark_2020,Myogenesis,0.5127539757477454,0.7935574056543383,0,0,1.4143092105263158,0.9447007473892548,COL1A1
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.5441658721230985,0.7935574056543383,0,0,1.2921804511278197,0.7862933119837472,COL1A1
MSigDB_Hallmark_2020,UV Response Dn,0.5966377381728978,0.7935574056543383,0,0,1.1152696556205328,0.5759756084907481,COL1A1
MSigDB_Hallmark_2020,Estrogen Response Early,0.6098797056316708,0.7935574056543383,0,0,1.075062656641604,0.5316115443352026,BCL11B
MSigDB_Hallmark_2020,Apical Junction,0.6098797056316708,0.7935574056543383,0,0,1.075062656641604,0.5316115443352026,LDLRAP1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.6662044965885687,0.7935574056543383,0,0,0.9199785177228786,0.37365719013505866,RPS14
MSigDB_Hallmark_2020,Inflammatory Response,0.7238765196374296,0.7935574056543383,0,0,0.7824256292906179,0.2528286786175282,CCR7
MSigDB_Hallmark_2020,E2F Targets,0.7792095193838485,0.7935574056543383,0,0,0.6649512670565302,0.16588892339075956,TIPIN
MSigDB_Hallmark_2020,Adipogenesis,0.7935574056543383,0.7935574056543383,0,0,0.636207540126913,0.14710988571926553,CMPK1
KEGG_2021_Human,Ribosome,8.584473225017401e-83,4.893149738259918e-81,0,0,169.41971830985915,32014.33058774761,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPS4X;RPS15;RPS14;RPS17;RPS16;RPS19;RPL36;RPLP2;RPL35;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS8;RPS5;RPS6;RPL22;RPL13A;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL28;RPL10;RPL11;RPS3;RPL14;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS23
KEGG_2021_Human,Coronavirus disease,1.7035323439248608e-76,4.855067180185853e-75,0,0,119.882,20915.06485069483,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPS4X;RPS15;RPS14;RPS17;RPS16;RPS19;RPL36;RPLP2;RPL35;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS8;RPS5;RPS6;RPL22;RPL13A;RPL37A;RPL24;RPL27;RPL29;UBA52;RPL28;RPL10;RPL11;RPS3;RPL14;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS23
KEGG_2021_Human,Mitophagy,0.024374335504569765,0.4631123745868255,0,0,5.142771804062127,19.101409155061727,TOMM7;RPS27A;UBA52
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,0.14390990778145393,0.8168759954323447,0,0,3.102776776054814,6.014943197073749,REST;TCF7
KEGG_2021_Human,Protein digestion and absorption,0.16178621845905766,0.8168759954323447,0,0,6.068771929824561,11.054143383504977,COL1A1
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.17880817599856608,0.8168759954323447,0,0,2.1173697270471465,3.644928521763187,TCF7;RPS27A;UBA52
