Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,2.8547938626994977e-06,3.996711407779297e-05,0,0,5.524354771688444,70.52673551689068,RPL34;RPS5;RPS6;RPL22;RPLP0;RPL6;EEF1B2;FBL;RACK1;RPL14;RPS3;RPS2;RPL18
MSigDB_Hallmark_2020,p53 Pathway,0.06329048373644972,0.443033386155148,0,0,2.4352686811158573,6.721390988651532,LDHB;RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,Apical Surface,0.2682449153605253,0.815448287618496,0,0,3.351951306838525,4.41068139246248,MAL
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.3184532865872297,0.815448287618496,0,0,2.7058993637941007,3.096305121379461,TCF7
MSigDB_Hallmark_2020,Allograft Rejection,0.36173836868043463,0.815448287618496,0,0,1.4192325426507506,1.4431239982339414,RPS9;RPS19;RPS3A
MSigDB_Hallmark_2020,Apical Junction,0.3778084154953756,0.815448287618496,0,0,1.5471195471195471,1.5059167353998688,ACTN1;LDLRAP1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.407724143809248,0.815448287618496,0,0,1.4504842236800999,1.3013228827493606,RPS14;EEF2
MSigDB_Hallmark_2020,Inflammatory Response,0.48840650527655183,0.8547113842339658,0,0,1.2319245082402976,0.8828059937333838,CCR7;CD48
MSigDB_Hallmark_2020,Androgen Response,0.6411397050000067,0.8793840408569098,0,0,0.9861272900561262,0.43834136816396657,ACTN1
MSigDB_Hallmark_2020,Estrogen Response Early,0.7304202016923432,0.8793840408569098,0,0,0.7677435346608279,0.2411753392022515,BCL11B
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.7304520397743435,0.8793840408569098,0,0,0.7746632996632996,0.24331531575358437,LDHB;SLC25A6
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.8684992709399644,0.8793840408569098,0,0,0.49282781421639205,0.06948307042411495,CD48
MSigDB_Hallmark_2020,Mitotic Spindle,0.8758589963621554,0.8793840408569098,0,0,0.47902514907959554,0.06349486209869046,UXT
MSigDB_Hallmark_2020,E2F Targets,0.8793840408569098,0.8793840408569098,0,0,0.4724055035548054,0.06071996593676159,TIPIN
KEGG_2021_Human,Ribosome,7.702171325772738e-108,6.4698239136491e-106,0,0,196.95483870967743,48576.48601326454,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL6;RPL7;RPS4X;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPLP2;RPL35;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL23;RPS6;RPL22;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL15;RPL18;RPS27A;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS23
KEGG_2021_Human,Coronavirus disease,1.598058146172324e-100,6.71184421392376e-99,0,0,130.9072324011572,30081.136288061167,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL6;RPL7;RPS4X;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPLP2;RPL35;RPL38;RPL37;RPS11;IL6R;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL23;RPS6;RPL22;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL15;RPL18;RPS27A;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS23
KEGG_2021_Human,Mitophagy,0.05014352286331136,0.950901323142217,0,0,3.8142039258451472,11.415400972805386,TOMM7;RPS27A;UBA52
KEGG_2021_Human,HIF-1 signaling pathway,0.078235879095639,0.950901323142217,0,0,3.137067804220925,7.993333229727422,LDHB;RPS6;IL6R
KEGG_2021_Human,Adherens junction,0.13667725303533906,0.950901323142217,0,0,3.215909090909091,6.400086645114784,ACTN1;TCF7
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,0.13667725303533906,0.950901323142217,0,0,3.215909090909091,6.400086645114784,CCR7;IL6R
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.2682449153605253,0.950901323142217,0,0,3.351951306838525,4.41068139246248,TCF7
KEGG_2021_Human,Basal cell carcinoma,0.2682449153605253,0.950901323142217,0,0,3.351951306838525,4.41068139246248,TCF7
KEGG_2021_Human,Cholesterol metabolism,0.28875428153076665,0.950901323142217,0,0,3.059823471722785,3.800849039945986,LDLRAP1
KEGG_2021_Human,Propanoate metabolism,0.28875428153076665,0.950901323142217,0,0,3.059823471722785,3.800849039945986,LDHB
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.3076512004421099,0.950901323142217,0,0,1.5687871077184055,1.8492683644136818,TCF7;RPS27A;UBA52
KEGG_2021_Human,RNA transport,0.3269781351841521,0.950901323142217,0,0,1.5119411123227917,1.6901414782083117,EIF3H;EIF3E;EIF4B
KEGG_2021_Human,Thyroid cancer,0.3280767969520928,0.950901323142217,0,0,2.605402394876079,2.903740668418954,TCF7
KEGG_2021_Human,Pyruvate metabolism,0.3280767969520928,0.950901323142217,0,0,2.605402394876079,2.903740668418954,LDHB
KEGG_2021_Human,Cysteine and methionine metabolism,0.3375654219722815,0.950901323142217,0,0,2.5120837808807734,2.728112798466194,LDHB
KEGG_2021_Human,Systemic lupus erythematosus,0.35614549633382564,0.950901323142217,0,0,2.344110275689223,2.420096799808964,ACTN1
KEGG_2021_Human,mTOR signaling pathway,0.4027843261054643,0.950901323142217,0,0,1.4657512626262625,1.3328868194712375,RPS6;EIF4B
KEGG_2021_Human,Glycolysis / Gluconeogenesis,0.4088383840171893,0.950901323142217,0,0,1.9521720969089391,1.7460917330196761,LDHB
KEGG_2021_Human,PI3K-Akt signaling pathway,0.41142719991951343,0.950901323142217,0,0,1.303505795872208,1.15767372358262,RPS6;IL6R;EIF4B
KEGG_2021_Human,Shigellosis,0.42649998143055945,0.950901323142217,0,0,1.2715441920353168,1.0835374259636859,ACTN1;RPS27A;UBA52
KEGG_2021_Human,Measles,0.4272838386543792,0.950901323142217,0,0,1.3924392439243924,1.1840005006881626,RACK1;EIF3H
KEGG_2021_Human,Amoebiasis,0.4335564827001609,0.950901323142217,0,0,1.8014266435319066,1.5055120473650014,ACTN1
KEGG_2021_Human,Parkinson disease,0.43398770457873537,0.950901323142217,0,0,1.25613413304253,1.0485442452299176,RPS27A;UBA52;SLC25A6
KEGG_2021_Human,Cytokine-cytokine receptor interaction,0.43693829809125945,0.950901323142217,0,0,1.3651073845248602,1.1302587987752988,CCR7;IL6R
KEGG_2021_Human,Melanogenesis,0.44946248897247587,0.950901323142217,0,0,1.713185402530717,1.3700392988606502,TCF7
KEGG_2021_Human,Central carbon metabolism in cancer,0.4799565439508277,0.950901323142217,0,0,1.5602339181286549,1.1453048615527204,LDHB
KEGG_2021_Human,Endometrial cancer,0.4799565439508277,0.950901323142217,0,0,1.5602339181286549,1.1453048615527204,TCF7
KEGG_2021_Human,Ubiquitin mediated proteolysis,0.4974498057055048,0.950901323142217,0,0,1.210423197492163,0.845190852982119,RPS27A;UBA52
KEGG_2021_Human,Proteoglycans in cancer,0.4974498057055048,0.950901323142217,0,0,1.210423197492163,0.845190852982119,RPS6;EIF4B
KEGG_2021_Human,Acute myeloid leukemia,0.5087734492610891,0.950901323142217,0,0,1.4322541046493786,0.9678492222070666,TCF7
KEGG_2021_Human,Hematopoietic cell lineage,0.5360047911997208,0.950901323142217,0,0,1.3235919988650873,0.825408090712251,IL6R
KEGG_2021_Human,Non-small cell lung cancer,0.5490531314524708,0.950901323142217,0,0,1.275187969924812,0.764551780290655,FHIT
KEGG_2021_Human,Small cell lung cancer,0.5554400585435306,0.950901323142217,0,0,1.252282491944146,0.7363353193157043,FHIT
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",0.5554400585435306,0.950901323142217,0,0,1.252282491944146,0.7363353193157043,NACA
KEGG_2021_Human,Prostate cancer,0.5919191787525359,0.950901323142217,0,0,1.1303662381760853,0.5927472985194144,TCF7
KEGG_2021_Human,Glucagon signaling pathway,0.5977032554694354,0.950901323142217,0,0,1.1123045709511874,0.5724596454268134,LDHB
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,0.6034059524247961,0.950901323142217,0,0,1.0948073308270676,0.5530584410711619,TCF7
KEGG_2021_Human,Gastric cancer,0.6034059524247961,0.950901323142217,0,0,1.0948073308270676,0.5530584410711619,TCF7
KEGG_2021_Human,Leukocyte transendothelial migration,0.6145717372753409,0.950901323142217,0,0,1.0614035087719298,0.5167226624927709,ACTN1
KEGG_2021_Human,Ribosome biogenesis in eukaryotes,0.620037051037908,0.950901323142217,0,0,1.0454494445067894,0.49969978863142855,FBL
KEGG_2021_Human,Breast cancer,0.6254254373850463,0.950901323142217,0,0,1.0299646174259178,0.48338624996920876,TCF7
KEGG_2021_Human,Neutrophil extracellular trap formation,0.630737971042826,0.950901323142217,0,0,1.0149286259126076,0.4677448401582062,SLC25A6
KEGG_2021_Human,Cushing syndrome,0.630737971042826,0.950901323142217,0,0,1.0149286259126076,0.4677448401582062,TCF7
KEGG_2021_Human,Colorectal cancer,0.6359757118402725,0.950901323142217,0,0,1.0003222341568205,0.45274074683931104,TCF7
KEGG_2021_Human,cGMP-PKG signaling pathway,0.6411397050000067,0.950901323142217,0,0,0.9861272900561262,0.43834136816396657,SLC25A6
KEGG_2021_Human,Oxytocin signaling pathway,0.6462309811500508,0.950901323142217,0,0,0.9723266499582289,0.42451614603042315,EEF2
KEGG_2021_Human,Purine metabolism,0.6462309811500508,0.950901323142217,0,0,0.9723266499582289,0.42451614603042315,FHIT
KEGG_2021_Human,Apelin signaling pathway,0.6512505567133051,0.950901323142217,0,0,0.958904109589041,0.41123641336135075,RPS6
KEGG_2021_Human,Hippo signaling pathway,0.6561994339367664,0.950901323142217,0,0,0.9458443405811827,0.39847525511704834,TCF7
KEGG_2021_Human,Calcium signaling pathway,0.6561994339367664,0.950901323142217,0,0,0.9458443405811827,0.39847525511704834,SLC25A6
KEGG_2021_Human,Wnt signaling pathway,0.6610786011892232,0.950901323142217,0,0,0.9331328320802005,0.38620738078227224,TCF7
KEGG_2021_Human,JAK-STAT signaling pathway,0.665889033113937,0.950901323142217,0,0,0.9207558369608231,0.37440900780424163,IL6R
KEGG_2021_Human,AMPK signaling pathway,0.6844624313023234,0.950901323142217,0,0,0.8743421052631579,0.33148190850340026,EEF2
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,0.7062440995431573,0.950901323142217,0,0,0.822467934542238,0.2860497016650324,CD48
KEGG_2021_Human,Tight junction,0.7185897208141434,0.950901323142217,0,0,0.7941729323308271,0.26244612687218805,ACTN1
KEGG_2021_Human,Th17 cell differentiation,0.7342529337735962,0.950901323142217,0,0,0.7593167701863354,0.2345542512521871,IL6R
KEGG_2021_Human,Insulin signaling pathway,0.7417568823253512,0.950901323142217,0,0,0.7430011198208286,0.22195950435650139,RPS6
KEGG_2021_Human,Necroptosis,0.7454296038192079,0.950901323142217,0,0,0.7351009101701622,0.215968661234516,SLC25A6
KEGG_2021_Human,Hepatocellular carcinoma,0.756139568097021,0.950901323142217,0,0,0.7123676538284487,0.19912763586067028,TCF7
KEGG_2021_Human,Salmonella infection,0.7598063213503313,0.950901323142217,0,0,0.729176582579724,0.20029876856431308,TCF7;RPS3
KEGG_2021_Human,Transcriptional misregulation in cancer,0.763029850943786,0.950901323142217,0,0,0.6979699248120301,0.18877163740748404,BCL11B
KEGG_2021_Human,Focal adhesion,0.763029850943786,0.950901323142217,0,0,0.6979699248120301,0.18877163740748404,ACTN1
KEGG_2021_Human,Spinocerebellar ataxia,0.7664021744822208,0.950901323142217,0,0,0.6909848879624805,0.1838352960768732,SLC25A6
KEGG_2021_Human,MicroRNAs in cancer,0.7762359745720557,0.950901323142217,0,0,0.6708357432041643,0.16992183111374176,FOXP1
KEGG_2021_Human,Hepatitis C,0.7794217134288106,0.950901323142217,0,0,0.66437522377372,0.16556431703165864,EIF3E
KEGG_2021_Human,Pathways of neurodegeneration,0.7977349024168731,0.950901323142217,0,0,0.7030379616257478,0.15887177279178707,RPS27A;UBA52;SLC25A6
KEGG_2021_Human,Chemokine signaling pathway,0.8004960217073408,0.950901323142217,0,0,0.6223818474758325,0.13849472166883706,CCR7
KEGG_2021_Human,Cellular senescence,0.8089042402475141,0.950901323142217,0,0,0.6059496567505721,0.1285066140783415,SLC25A6
KEGG_2021_Human,Regulation of actin cytoskeleton,0.8143133379191793,0.950901323142217,0,0,0.5954630165156481,0.12231408860884448,ACTN1
KEGG_2021_Human,Influenza A,0.824679774951528,0.950901323142217,0,0,0.5755297334244702,0.11093918023195946,SLC25A6
KEGG_2021_Human,Non-alcoholic fatty liver disease,0.8271803273929851,0.950901323142217,0,0,0.5707506471095772,0.10828998007128994,IL6R
KEGG_2021_Human,Pathogenic Escherichia coli infection,0.83683344937957,0.950901323142217,0,0,0.5523928869793532,0.09839786289486081,RPS3
KEGG_2021_Human,Viral carcinogenesis,0.8545629844399476,0.950901323142217,0,0,0.5189653237571541,0.08156322144961518,ACTN1
KEGG_2021_Human,Diabetic cardiomyopathy,0.8607066618052263,0.950901323142217,0,0,0.507436474397673,0.07611624620366149,SLC25A6
KEGG_2021_Human,Protein processing in endoplasmic reticulum,0.8776341169019486,0.950901323142217,0,0,0.47569265629827995,0.06209001969122294,SSR2
KEGG_2021_Human,Human cytomegalovirus infection,0.8828097141318183,0.950901323142217,0,0,0.46596356663470756,0.05808030875414273,IL6R
KEGG_2021_Human,Thermogenesis,0.8925179303141827,0.950901323142217,0,0,0.4476352170749454,0.05090000765966599,RPS6
KEGG_2021_Human,Pathways in cancer,0.9057594989987262,0.950901323142217,0,0,0.5018181818181818,0.049670697205223144,TCF7;IL6R
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,0.9121762023291416,0.950901323142217,0,0,0.40993015082083906,0.03768164165358534,SLC25A6
KEGG_2021_Human,Endocytosis,0.925080684979336,0.950901323142217,0,0,0.3844193817878028,0.029936397286145642,LDLRAP1
KEGG_2021_Human,Prion disease,0.926155976479708,0.950901323142217,0,0,0.38225397748514933,0.029323703123596306,SLC25A6
KEGG_2021_Human,Human papillomavirus infection,0.9282608154483547,0.950901323142217,0,0,0.3779941657422244,0.028138843744367897,TCF7
KEGG_2021_Human,Huntington disease,0.9462945065796159,0.9576956452131051,0,0,0.34001259305900217,0.018769184973324204,SLC25A6
KEGG_2021_Human,Alzheimer disease,0.965755544154613,0.965755544154613,0,0,0.29397210976158344,0.01024332196031648,SLC25A6
