Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,2.415225920590369e-46,1.159308441883377e-44,0,0,29.541666666666668,3102.97162938682,BTG3;BTG2;CDKN1A;CD83;CSF1;TNFAIP3;SLC2A3;TNF;ZFP36;NAMPT;ZC3H12A;OLR1;IER5;JUNB;PHLDA1;IER2;IER3;DUSP4;DUSP5;DUSP2;DUSP1;PLAUR;TAP1;FOS;RHOB;SGK1;ATF3;HBEGF;PPP1R15A;PTGER4;CEBPB;CEBPD;SOCS3;CCL4;EGR1;JUN;GADD45B;GADD45A;TNFRSF9;KLF4;FOSL2;NR4A2;NR4A1;MARCKS;BHLHE40;MAFF;FOSB;TNFSF9;CD69
MSigDB_Hallmark_2020,Interferon Gamma Response,6.625690870756582e-15,1.5901658089815797e-13,0,0,9.251865295422464,302.0532489838544,IFITM3;CDKN1A;TNFAIP3;CSF2RB;HIF1A;OASL;SOCS3;MT2A;NAMPT;EPSTI1;ST8SIA4;HLA-DQA1;CD74;RSAD2;STAT1;GZMA;TAP1;IFI27;IRF4;MTHFD2;IL2RB;IRF8;PSME2;CD69;HLA-DRB1
MSigDB_Hallmark_2020,Inflammatory Response,1.5473341718700567e-14,2.4757346749920907e-13,0,0,11.653894736842105,370.58986397899287,PTGER4;MSR1;BTG2;CDKN1A;CCL22;CXCL8;CSF1;CD82;CD70;TNFRSF9;C5AR1;PLAUR;CYBB;HIF1A;IL2RB;NAMPT;TNFSF9;OLR1;CD69;CD14;HBEGF
MSigDB_Hallmark_2020,Hypoxia,2.2136449889505275e-14,2.656373986740633e-13,0,0,11.411134020618556,358.78375032293593,PPP1R15A;JUN;CDKN1A;ANXA2;DUSP1;PLAUR;TNFAIP3;SLC2A3;FOS;FOSL2;SLC6A6;ZFP36;MT2A;LDHA;BHLHE40;MAFF;HMOX1;TGFBI;ATF3;IER3;MT1E
MSigDB_Hallmark_2020,Allograft Rejection,4.5868067034954924e-14,4.4033344353556723e-13,0,0,9.473316305955102,290.95403217092155,SRGN;CD74;CCL22;CSF1;STAT1;GZMA;NCF4;GZMB;TAP1;CXCL13;TNF;HIF1A;MMP9;HLA-DMB;IFNG;IRF4;CCL4;IL2RB;ST8SIA4;HLA-DRA;IRF8;CCR5;HLA-DQA1
MSigDB_Hallmark_2020,Apoptosis,7.729133921674989e-13,6.183307137339991e-12,0,0,9.974025974025974,278.1617144730346,IFITM3;TOP2A;BTG3;JUN;CDKN1A;BTG2;GADD45B;GADD45A;TAP1;TNF;SMAD7;RHOB;DNAJA1;LGALS3;PMAIP1;HMOX1;CD14;CD69;ATF3;IER3
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,7.61222553160103e-11,5.219811793097849e-10,0,0,8.027284001653577,187.0251247998861,IFITM3;CD83;CSF1;GADD45B;TNFRSF9;TNFRSF18;SLC2A3;CST7;RHOB;IRF4;BHLHE40;MAFF;IL2RB;SPP1;CTLA4;IRF8;ICOS;TNFRSF4;PHLDA1
MSigDB_Hallmark_2020,Complement,1.2891148057324963e-09,7.734688834394977e-09,0,0,7.670244045868862,157.00460354341703,DUSP5;C1QA;CEBPB;APOBEC3G;GZMA;FN1;PLAUR;TNFAIP3;GZMB;GZMK;LGALS3;CTSL;MAFF;APOC1;OLR1;CTSD;CTSC
MSigDB_Hallmark_2020,p53 Pathway,1.2917485737442314e-08,6.8893257266359e-08,0,0,6.462321539416512,117.38602841072048,PPP1R15A;JUN;BTG2;CDKN1A;CD82;VDR;GADD45A;TAP1;FOS;KLF4;HMOX1;TNFSF9;IER5;CTSD;ATF3;HBEGF;IER3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,7.355257144813497e-08,3.530523429510479e-07,0,0,8.874360613810742,145.7637285909978,JUN;CXCL8;TPM4;GADD45B;GADD45A;BASP1;FN1;PLAUR;SPP1;TNFAIP3;TGFBI;RHOB
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,2.46940776762849e-06,1.0775597531469773e-05,0,0,9.10706100622067,117.58611148623605,SOCS3;JUN;CSF1;STAT1;HMOX1;CSF2RB;CD14;CXCL13;TNF
MSigDB_Hallmark_2020,KRAS Signaling Up,3.687046401416644e-06,1.4748185605666577e-05,0,0,6.538416988416988,81.8000743838361,PPP1R15A;LAT2;MAFB;GPNMB;PLAUR;SPP1;TNFAIP3;IRF8;KLF4;MMP9;HBEGF
MSigDB_Hallmark_2020,Interferon Alpha Response,6.436489876910337e-06,2.376550108397663e-05,0,0,6.906362007168458,82.55538622045671,IFITM3;CD74;CSF1;RSAD2;IFI27;OAS1;EPSTI1;TAP1;PSME2;OASL
MSigDB_Hallmark_2020,UV Response Up,7.420204125344996e-06,2.5440699858325698e-05,0,0,6.030888030888031,71.23265186855663,DNAJA1;NR4A1;BTG3;BTG2;TAP1;HMOX1;FOSB;FOS;JUNB;ATF3;RHOB
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.00022837351169186144,0.0007307952374139567,0,0,7.92375533428165,66.43694894272876,NR4A2;BTG2;IFNG;RSAD2;SGK1;SKIL
MSigDB_Hallmark_2020,Coagulation,0.0008850437581780733,0.00265513127453422,0,0,5.975510204081632,42.00708065284794,C1QA;MAFF;APOC1;FN1;OLR1;MMP9
MSigDB_Hallmark_2020,Estrogen Response Late,0.0020538825151777415,0.0057991976899136235,0,0,4.278240740740741,26.473853674104042,TOP2A;BTG3;DUSP2;ZFP36;FOS;SGK1;KLF4
MSigDB_Hallmark_2020,mTORC1 Signaling,0.0022456477537137758,0.005988394009903402,0,0,3.1586021505376345,19.263560455722732,PPP1R15A;SLC6A6;BTG2;CDKN1A;LDHA;MTHFD2;BHLHE40;NAMPT;SLC2A3;CTSC
MSigDB_Hallmark_2020,TGF-beta Signaling,0.011505018049139549,0.029065308755720963,0,0,4.958333333333333,22.138819433993344,PPP1R15A;JUNB;SKIL;SMAD7
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.01780924991033238,0.041204250289167264,0,0,3.066814404432133,12.353242809475079,SLC6A6;MT2A;SERTAD1;HMOX1;IRF8;APOE
MSigDB_Hallmark_2020,Myogenesis,0.01802685950151068,0.041204250289167264,0,0,3.510129751877988,14.096303529680945,CDKN1A;GADD45B;ACSL1;BHLHE40;HBEGF
MSigDB_Hallmark_2020,Pancreas Beta Cells,0.02431569015223404,0.051711072921379504,0,0,9.598969072164948,35.67584955566815,MAFB;VDR
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.024778222441494347,0.051711072921379504,0,0,3.8629166666666666,14.284255157585557,LGALS3;PLAUR;ATF3;CXCL16
MSigDB_Hallmark_2020,UV Response Dn,0.030687619613033998,0.061375239226067996,0,0,3.023887434554974,10.534909264088622,ANXA2;DUSP1;BHLHE40;MT1E;SMAD7
MSigDB_Hallmark_2020,Angiogenesis,0.03715620918937662,0.07133992164360312,0,0,7.381443298969073,24.30432019118896,SPP1;OLR1
MSigDB_Hallmark_2020,Apical Surface,0.07446934542370832,0.13748186847453844,0,0,4.794329896907216,12.452637660983608,IL2RB;PLAUR
MSigDB_Hallmark_2020,Estrogen Response Early,0.12148642853890863,0.21597587295805978,0,0,2.185842803030303,4.607653285874891,BHLHE40;PMAIP1;FOS;KLF4
MSigDB_Hallmark_2020,G2-M Checkpoint,0.16899995902308043,0.28971421546813786,0,0,1.7548821034126953,3.119929092203052,TOP2A;MT2A;MARCKS;MKI67;HIF1A
MSigDB_Hallmark_2020,Pperoxisome,0.1901877982710561,0.3147935971382998,0,0,2.054256106587713,3.4095377745244644,TOP2A;ACSL1;ACSL4
MSigDB_Hallmark_2020,Apical Junction,0.3000203932255723,0.48003262916091566,0,0,1.594300518134715,1.9193860930066993,SIRPA;TGFBI;MMP9
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.3135414421353849,0.4854835233064024,0,0,1.8027621085391947,2.090886283532064,CH25H;ACSL1
MSigDB_Hallmark_2020,Notch Signaling,0.3268336908415053,0.4857727546254674,0,0,2.6504273504273503,2.96398305224224,DLL1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.3339687688050088,0.4857727546254674,0,0,1.4936852331606219,1.6381362413952552,CEBPB;MTHFD2;ATF3
MSigDB_Hallmark_2020,E2F Targets,0.36367303050783933,0.5134207489522438,0,0,1.3276909722222223,1.3429595284223117,TOP2A;CDKN1A;MTHFD2;MKI67
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.4302965234376194,0.5793795141780026,0,0,1.8333333333333333,1.5460146506974188,DLL1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.434534635633502,0.5793795141780026,0,0,1.2553858740114534,1.0463385458475916,LDHA;ACSL1;ACSL4
MSigDB_Hallmark_2020,Glycolysis,0.4508290135637005,0.5848592608393952,0,0,1.2227979274611398,0.974162926102745,LDHA;TGFBI;IER3
MSigDB_Hallmark_2020,heme Metabolism,0.5088056619079798,0.6427018887258692,0,0,1.1163779145077721,0.7543244319130397,BTG2;ACP5;YPEL5
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.5747232436980378,0.69888338902875,0,0,1.189871794871795,0.6590303279933557,JUNB
MSigDB_Hallmark_2020,Adipogenesis,0.5824028241906251,0.69888338902875,0,0,0.9976448422044277,0.5393197512228992,PRDX3;GADD45A;APOE
MSigDB_Hallmark_2020,Myc Targets V2,0.6549694073765263,0.7667934525383723,0,0,0.9508717948717949,0.40237732779958907,DUSP2
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.7284231905236636,0.8324836463127583,0,0,0.7938750108547775,0.251557630949766,PRDX3;LDHA;CYCS
MSigDB_Hallmark_2020,Myc Targets V1,0.7611134433958622,0.8484597162384632,0,0,0.7510486059708857,0.20501588653496017,PRDX3;LDHA;TYMS
MSigDB_Hallmark_2020,Androgen Response,0.777754739885258,0.8484597162384632,0,0,0.6681112314915132,0.16792578201667244,SGK1
MSigDB_Hallmark_2020,Mitotic Spindle,0.8072461897142785,0.8555978169061537,0,0,0.6570017182130584,0.14068153717475523,TOP2A;MARCKS
MSigDB_Hallmark_2020,Protein Secretion,0.8343298529710281,0.8555978169061537,0,0,0.5572247360482655,0.1009281369865996,CTSC
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.8377728623872756,0.8555978169061537,0,0,0.5506857483601669,0.09747592750655988,CDKN1A
MSigDB_Hallmark_2020,DNA Repair,0.9409556216475009,0.9409556216475009,0,0,0.3515882127822426,0.021397412993192682,TYMS
KEGG_2021_Human,Rheumatoid arthritis,2.5964480813065484e-16,5.2707896050522935e-14,0,0,23.830288388947608,855.2027329566147,JUN;CXCL8;CSF1;FOS;TNF;HLA-DMB;IFNG;CTSL;CCL3;HLA-DPB1;ACP5;CTLA4;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Leishmaniasis,2.302809140118306e-13,1.740504200222641e-11,0,0,18.75757984099178,545.8357531416523,JUN;STAT1;NCF4;CYBB;FOS;TNF;HLA-DMB;FCGR2A;IFNG;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Osteoclast differentiation,2.572173694910307e-13,1.740504200222641e-11,0,0,12.810835770355549,371.37145893348224,JUN;JUND;CSF1;STAT1;NCF4;TREM2;FOS;TNF;LILRB4;FOSL2;SOCS3;TYROBP;FCGR2A;IFNG;SIRPA;ACP5;FOSB;JUNB
KEGG_2021_Human,Systemic lupus erythematosus,4.1643841784616507e-13,2.1134249705692876e-11,0,0,31.929061784897026,910.202971238071,C1QB;C1QA;HLA-DMB;FCGR2A;IFNG;HLA-DPB1;HLA-DRA;TNF;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Staphylococcus aureus infection,1.0099932603645103e-12,4.100572637079912e-11,0,0,28.88198757763975,797.7516160230989,C1QB;C1QA;HLA-DMB;FCGR2A;C5AR1;HLA-DPB1;HLA-DRA;FPR3;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Cytokine-cytokine receptor interaction,3.3925622248598154e-12,1.147816886077571e-10,0,0,10.733049205734211,283.45377245034166,IL1RN;CCL22;CXCL8;CSF1;CD70;TNFRSF9;TNFRSF18;CSF2RB;CXCL13;TNF;CXCL16;IFNG;CCL4;IL2RB;CCL3;TNFSF9;CCR5;TNFRSF4
KEGG_2021_Human,Asthma,1.1698288161236133e-11,3.3695466631411843e-10,0,0,56.0274064171123,1410.298264149121,HLA-DMB;HLA-DPB1;FCER1A;HLA-DRA;TNF;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
