Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,2.8977635899556286e-61,1.4488817949778142e-59,0,0,26.16038154392192,3646.5937216988495,BTG3;BTG2;CDKN1A;CD83;CSF1;TNFAIP2;TNFAIP3;SLC2A3;AREG;TNF;SAT1;CXCL2;ICAM1;IFIT2;ZFP36;KYNU;ZC3H12A;NAMPT;PDE4B;OLR1;PMEPA1;MAP3K8;JUNB;IER5;PHLDA1;IER2;IER3;DUSP4;DUSP5;DUSP2;DUSP1;PLAUR;FOS;RHOB;IL1B;SGK1;ATF3;HBEGF;TLR2;BIRC3;PTGER4;PPP1R15A;CEBPB;PFKFB3;CEBPD;SOCS3;NFIL3;DNAJB4;CCL4;CCL2;EGR1;JUN;EGR2;GADD45B;GADD45A;TNFRSF9;KLF4;FOSL2;VEGFA;NR4A2;NR4A1;KLF6;MARCKS;NR4A3;BCL6;MAFF;BHLHE40;BCL3;TNFSF9;FOSB;CD69
MSigDB_Hallmark_2020,Inflammatory Response,4.334412328772168e-21,1.083603082193042e-19,0,0,10.823514376996805,507.4897049700507,PTGER4;CDKN1A;BTG2;CXCL8;CSF1;RGS16;EBI3;C5AR1;FPR1;AHR;HIF1A;ICAM1;NAMPT;PDE4B;OLR1;CCL2;CD14;MSR1;CCL22;TNFRSF9;OSM;PLAUR;CYBB;TNFRSF1B;EREG;MARCO;KLF6;IL1B;IL2RB;IRF7;TNFSF9;CD69;TLR2;HBEGF
MSigDB_Hallmark_2020,Allograft Rejection,2.0885781400221078e-19,3.480963566703513e-18,0,0,8.919615384615385,383.6561452535428,CD86;CSF1;FASLG;CXCL13;HIF1A;TNF;ICAM1;HLA-DMA;HLA-DMB;CCND2;SOCS1;CXCR3;CCL4;CCL2;CCR5;CCR1;SRGN;CD74;CCL22;CDKN2A;GZMA;GZMB;MMP9;EREG;IFNG;IRF4;IL1B;BCL3;IL2RB;IRF7;FAS;HLA-DRA;IRF8;BCAT1;TLR2
MSigDB_Hallmark_2020,Interferon Gamma Response,6.598066151420771e-19,8.247582689275965e-18,0,0,8.205420303169499,343.4980959539262,CD86;CDKN1A;FGL2;FPR1;TNFAIP2;TNFAIP3;IFI35;HIF1A;IFIT2;ICAM1;OASL;SOCS3;MT2A;HLA-DMA;SOCS1;NAMPT;EPSTI1;PDE4B;CCL2;CD74;GZMA;PLSCR1;IFI27;MTHFD2;OAS2;IRF4;IL2RB;IRF7;PSME2;FAS;CMPK2;IRF8;LAP3;CD69;HLA-DRB1;MYD88
MSigDB_Hallmark_2020,Hypoxia,1.78974990496421e-17,1.6040494638639395e-16,0,0,9.429652996845427,363.6250595037097,PPP1R15A;CDKN1A;PFKFB3;SDC2;CXCR4;TNFAIP3;SLC2A3;RBPJ;MT2A;LDHA;ZFP36;NFIL3;HMOX1;IER3;TGM2;JUN;ANXA2;DUSP1;PLAUR;FOS;JMJD6;FOSL2;VEGFA;KLF6;BHLHE40;MAFF;TGFBI;FBP1;ATF3;MT1E
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,1.9248593566367272e-17,1.6040494638639395e-16,0,0,8.158041401273886,313.99561971704935,CD86;CYFIP1;CD83;CSF1;RGS16;CTSZ;FGL2;SLC2A3;AHR;CST7;CCND2;SOCS1;NFIL3;NFKBIZ;SPP1;CTLA4;MAP3K8;ICOS;PHLDA1;TGM2;GADD45B;TNFRSF9;TNFRSF18;TNFRSF1B;RHOB;BATF;PLSCR1;KLF6;IRF4;BHLHE40;MAFF;IL2RB;IRF8
MSigDB_Hallmark_2020,Apoptosis,7.860913551390504e-16,5.614938250993218e-15,0,0,8.835059054494792,307.2785711471575,TOP2A;BTG3;CDKN1A;BTG2;FASLG;TNF;SAT1;CCND2;LMNA;TIMP2;PMAIP1;HMOX1;CD14;IER3;JUN;ANXA1;GSN;GADD45B;GADD45A;EREG;SMAD7;RHOB;DNAJA1;IL1B;FAS;CD69;ATF3;BIRC3
MSigDB_Hallmark_2020,Complement,1.3777519613212645e-15,8.610949758257903e-15,0,0,8.177148846960169,279.8083224069418,C1QA;CPM;DOCK4;CEBPB;LRP1;TNFAIP3;CTSL;KYNU;TIMP2;OLR1;CD36;CTSD;CTSC;CTSB;DUSP5;APOBEC3G;GZMA;ANXA5;FN1;PLAUR;GZMB;GZMK;PLSCR1;MAFF;APOC1;IRF7;ADAM9;LAP3;LGMN
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,8.643523057934962e-14,4.801957254408312e-13,0,0,10.100298507462687,303.8107274325782,JUN;CXCL8;GADD45B;TPM4;ITGB5;LRP1;GADD45A;FN1;PLAUR;TNFAIP3;AREG;SAT1;RHOB;VEGFA;ACTA2;DAB2;BASP1;SPP1;FAS;PMEPA1;TGFBI;TGM2
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,1.987449939762581e-12,9.937249698812904e-12,0,0,11.660479855138071,314.18193676237047,CCR1;JUN;CSF1;EBI3;CXCL13;TNFRSF1B;TNF;SOCS3;SOCS1;IL1B;HMOX1;FAS;CD9;MAP3K8;CD36;CD14;MYD88;TLR2
MSigDB_Hallmark_2020,p53 Pathway,6.151712981764737e-11,2.796233173529426e-10,0,0,5.84180312441182,137.35075433632355,PPP1R15A;CDKN1A;BTG2;PCNA;RGS16;SAT1;CCND2;SOCS1;GM2A;HMOX1;IER5;CTSD;IER3;JUN;GADD45A;CDKN2A;VDR;FOS;KLF4;RAP2B;TNFSF9;FAS;PLXNB2;ATF3;HBEGF
MSigDB_Hallmark_2020,KRAS Signaling Up,4.730000371277268e-10,1.970833488032195e-09,0,0,6.778117567108393,145.53923644074231,PPP1R15A;TMEM176B;RGS16;PLAUR;CXCR4;F13A1;TNFAIP3;TNFRSF1B;KLF4;MMP9;EREG;GADD45G;CCND2;MAFB;GPNMB;IL1B;SPP1;IRF8;HBEGF;BIRC3
MSigDB_Hallmark_2020,Coagulation,1.0959881312905833e-08,4.2153389665022437e-08,0,0,8.772772772772774,160.7963660727037,C1QA;ANXA1;GSN;LRP1;FN1;MMP9;THBD;MAFF;APOC1;ADAM9;OLR1;CD9;LGMN;CTSB
MSigDB_Hallmark_2020,Interferon Alpha Response,4.829794321446621e-06,1.7249265433737934e-05,0,0,5.327003527192191,65.20628763176045,CD74;CSF1;IFI35;IFIT2;OASL;PLSCR1;IFI27;OAS1;EPSTI1;IRF7;CMPK2;PSME2;LAP3
MSigDB_Hallmark_2020,Estrogen Response Late,7.517130230904494e-06,2.505710076968165e-05,0,0,4.7120153861726894,55.593894166435774,TOP2A;BTG3;DUSP2;IDH2;FOS;KLF4;AREG;BATF;ZFP36;RAB31;FABP5;RBBP8;CD9;SGK1
MSigDB_Hallmark_2020,UV Response Up,7.867818956066985e-05,0.00024586934237709327,0,0,3.9581449346205546,37.40504188044335,BTG3;BTG2;ALAS1;FOS;CXCL2;ICAM1;RHOB;DNAJA1;NR4A1;HMOX1;FOSB;JUNB;ATF3
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.00017164267897618943,0.000493327274969822,0,0,5.126763768775603,44.44953245454898,PLSCR1;NFIL3;FABP5;ANXA5;PLAUR;CD9;ATF3;CXCL16;LGMN
MSigDB_Hallmark_2020,Angiogenesis,0.00017759781898913594,0.000493327274969822,0,0,12.246588693957115,105.76140534587618,THBD;CCND2;SPP1;OLR1;VEGFA
MSigDB_Hallmark_2020,G2-M Checkpoint,0.00026840847683814897,0.0007063380969424974,0,0,3.112449799196787,25.59367647448194,TOP2A;UBE2C;MKI67;HIF1A;AURKB;LMNB1;TPX2;MT2A;MARCKS;PTTG1;BCL3;CKS2;NUSAP1;CDK1;KPNA2
MSigDB_Hallmark_2020,mTORC1 Signaling,0.00033384536851558056,0.000816754224228081,0,0,2.9179868837963303,23.35799665256722,PPP1R15A;CDKN1A;BTG2;RRM2;FGL2;CXCR4;SLC2A3;LDHA;NFIL3;MTHFD2;NAMPT;BHLHE40;CD9;BCAT1;CTSC;LGMN
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.000343036774175794,0.000816754224228081,0,0,3.5691940298507463,28.473862498220523,MT2A;ALAS1;SERTAD1;TMEM176B;KYNU;HMOX1;FAS;IRF8;APOE;CD36;BCAT1;FBP1
MSigDB_Hallmark_2020,TGF-beta Signaling,0.0006547482149418824,0.0014880641248679145,0,0,5.432043343653251,39.823721002073235,PPP1R15A;RAB31;ID1;PMEPA1;JUNB;SKIL;SMAD7
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.0008571041298377213,0.001863269847473307,0,0,5.159411764705882,36.43551380219349,NR4A2;BTG2;IFNG;CLSTN3;PDCD1;SGK1;SKIL
MSigDB_Hallmark_2020,UV Response Dn,0.0027819632644192865,0.005795756800873514,0,0,3.3230769230769233,19.55497311240123,DAB2;ANXA2;DUSP1;SDC2;BHLHE40;ID1;MGLL;MT1E;SMAD7
MSigDB_Hallmark_2020,E2F Targets,0.0036598131141524445,0.007319626228304889,0,0,2.521290751829674,14.145306411083938,TOP2A;CDKN1A;PCNA;RRM2;CDKN2A;MKI67;AURKB;LMNB1;PTTG1;MTHFD2;CKS2;CDK1;KPNA2
MSigDB_Hallmark_2020,Myogenesis,0.005857056117692516,0.011263569457100992,0,0,3.185840707964602,16.37556585329389,CDKN1A;GSN;GADD45B;ITGB5;BHLHE40;PLXNB2;CD36;HBEGF
MSigDB_Hallmark_2020,Unfolded Protein Response,0.0073271826677799,0.013568856792184999,0,0,2.8241848168198413,13.884156271827694,CEBPB;MTHFD2;EIF4A3;EIF4EBP1;NABP1;CCL2;ATF3;HERPUD1;VEGFA
MSigDB_Hallmark_2020,Apical Junction,0.008281828907445712,0.014788980191867343,0,0,2.764792899408284,13.253564089644186,CD86;CTNNA1;SIRPA;ADAM9;LAYN;PARD6G;TGFBI;MMP9;ICAM1
MSigDB_Hallmark_2020,Estrogen Response Early,0.03040876145972802,0.052428899068496584,0,0,2.304818092428712,8.050786079143299,RAB31;BHLHE40;RBBP8;PMAIP1;FOS;KLF4;AREG;TGM2
MSigDB_Hallmark_2020,Pancreas Beta Cells,0.05864029946960299,0.09599699609276222,0,0,5.828405797101449,16.531300367062315,MAFB;VDR
MSigDB_Hallmark_2020,Glycolysis,0.05951813757751258,0.09599699609276222,0,0,1.9891005449727515,5.612195828362908,LDHA;SDC2;CDK1;CXCR4;TGFBI;SLC16A3;IER3;VEGFA
MSigDB_Hallmark_2020,Mitotic Spindle,0.09750670379351799,0.15235422467737186,0,0,1.702252338232487,3.962561118872173,TOP2A;TPX2;FGD4;DOCK4;MARCKS;GSN;NUSAP1;CDK1;LMNB1
MSigDB_Hallmark_2020,Androgen Response,0.10462895669733913,0.15852872226869563,0,0,2.0873015873015874,4.711738788705236,MAF;TMEM50A;PMEPA1;SGK1;SAT1
MSigDB_Hallmark_2020,Hedgehog Signaling,0.10847640818358374,0.15952412968174082,0,0,3.883671497584541,8.626498768357132,DPYSL2;VEGFA
MSigDB_Hallmark_2020,Adipogenesis,0.14999648266888993,0.21428068952698562,0,0,1.5811209439528024,2.999613217235087,PFKFB3;BCL6;GADD45A;NABP1;ATP1B3;APOE;CD36;MGLL
MSigDB_Hallmark_2020,Apical Surface,0.17767990924692015,0.24677765173183352,0,0,2.7723947550034507,4.790064949860022,IL2RB;PLAUR
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.18674137047990894,0.2523532033512283,0,0,1.6962464300285598,2.8463535249504366,CDKN1A;CDK1;CXCR4;FASLG;MYD88
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.2641509976226266,0.34756710213503506,0,0,2.0778467908902694,2.7661010816032525,CCND2;RBPJ
MSigDB_Hallmark_2020,Notch Signaling,0.4926699635997178,0.6316281584611767,0,0,1.5279890477639184,1.0816875496387213,DTX2
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.6429766665231876,0.8022253143739061,0,0,0.9202668507016333,0.4064329501198345,IDH2;OPTN
MSigDB_Hallmark_2020,heme Metabolism,0.657824757786603,0.8022253143739061,0,0,0.8911415115496748,0.3732249548353932,BTG2;ACP5;OPTN;CTSB
MSigDB_Hallmark_2020,DNA Repair,0.6858433932062492,0.8164802300074395,0,0,0.8577043515819026,0.3234454289935808,PCNA;PDE4B;CMPK2;TYMS
MSigDB_Hallmark_2020,Pperoxisome,0.7389356670067033,0.8478504142115811,0,0,0.7618611746758199,0.23049684412079577,TOP2A;IDH2
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.7733298060802912,0.8478504142115811,0,0,0.7350709499408751,0.18894974077444313,LDHA;CD36;MGLL
MSigDB_Hallmark_2020,Myc Targets V1,0.7798379402531017,0.8478504142115811,0,0,0.763869550419258,0.189950791654547,LDHA;PCNA;TYMS;KPNA2;SRSF7
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.7831835435112406,0.8478504142115811,0,0,0.6581713084603258,0.16084930126529903,JUNB
MSigDB_Hallmark_2020,Protein Secretion,0.7969793893588862,0.8478504142115811,0,0,0.6725985844287159,0.1526304163060122,CD63;CTSC
MSigDB_Hallmark_2020,Spermatogenesis,0.8291736670971471,0.8575784712517049,0,0,0.5674373795761078,0.10629557932427215,CDK1
MSigDB_Hallmark_2020,Myc Targets V2,0.8404269018266708,0.8575784712517049,0,0,0.5459155851237867,0.0949048585518942,DUSP2
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.8613459973922613,0.8613459973922613,0,0,0.6476889311101648,0.09667340216925069,LDHA;ALAS1;IDH2;CYCS
