,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.04168830579478903,-1.9507771496482007,2.51876600676716,-0.7744971721894984,0.4386368398030823,0.8368071941495537
FO538757.3,0.012795784813593674,-2.623677046448072,3.2655989426215424,-0.803429047028613,0.4217267916845835,0.8368071941495537
FO538757.2,1.3666418229003967,-0.45318465248737766,0.8352041637595999,-0.5426034401545675,0.587402869861076,0.8538435788173203
AP006222.2,0.4247717427275778,-0.5333588445433264,1.2530836161153904,-0.42563707456072264,0.6703723206425591,0.8779566920021267
RP4-669L17.10,0.06110569082806653,-1.2537693310582754,1.7978356679185814,-0.6973770480979549,0.4855668613709443,0.8368071941495537
RP5-857K21.4,0.0,,,,,
RP11-206L10.9,0.6785264286824466,-0.9451531166863298,1.076762886542178,-0.877772746905785,0.380067056989396,0.8368071941495537
LINC00115,0.167693622315907,-2.998231847401623,1.7650426005545778,-1.6986739280171346,0.08938063849801645,0.8368071941495537
FAM41C,0.03115866814463733,-2.588469088099996,2.6955596196543516,-0.9602715032628039,0.33691858822218634,0.8368071941495537
RP11-54O7.3,0.0,,,,,
SAMD11,0.027307162484051687,-2.8548247274353744,4.0874389774002635,-0.6984384949157407,0.48490300941055586,0.8368071941495537
NOC2L,3.719328925149261,0.23939724737189244,0.7790564803300076,0.3072912598974647,0.7586216876734516,0.9172883311900387
KLHL17,0.21124159742901646,-2.222730054782815,1.9009556713373565,-1.1692697985003957,0.24229494723745537,0.8368071941495537
PLEKHN1,0.03871331907185617,-1.8239845295646675,2.117468961233875,-0.8613984728738644,0.38901861685363925,0.8368071941495537
PERM1,0.0,,,,,
RP11-54O7.17,0.0,,,,,
HES4,0.5562031338120532,-1.4539127312585864,1.5075080502414224,-0.964447739450378,0.3348214975697328,0.8368071941495537
ISG15,23.139046743596666,-0.11903871422748942,0.8831425381226783,-0.13478992245185412,0.8927779738400938,0.9671389847651088
AGRN,0.13948271517895566,-2.6112543913464163,1.802997626525282,-1.4482849854765467,0.14753736502081477,0.8368071941495537
RP11-54O7.18,0.0,,,,,
RNF223,0.004413992975438687,-2.6469441329273544,4.052866003262823,-0.6531042799827064,0.5136890532266498,0.8368071941495537
C1orf159,0.24209856635546187,-1.2357561878776642,1.2619969539135734,-0.9792069497834096,0.3274777354146926,0.8368071941495537
RP11-465B22.8,0.006264601543654297,-2.646999622334924,4.055618062719659,-0.6526747788868145,0.5139659654484323,0.8368071941495537
TTLL10,0.013653581242025844,-2.7536714222428658,4.04613226144223,-0.6805688109813121,0.49614436752655067,0.8368071941495537
TNFRSF18,0.7114103152265482,0.08871980978489748,1.3341695788225316,0.06649815075471661,0.9469812299367136,0.9856003166951156
TNFRSF4,0.3897773978407359,-0.009300113118310705,1.478539431579251,-0.006290067697671823,0.9949812851918461,0.9989186243644883
SDF4,5.459283078270363,0.07445646087274936,0.7112561624272139,0.1046830450208842,0.9166273161458176,0.9752259975825932
B3GALT6,0.41145797752401336,-2.5150295772107456,1.4007042922739423,-1.7955464198141184,0.07256668382445029,0.8368071941495537
FAM132A,0.0,,,,,
RP5-902P8.12,0.01597920653661037,-1.959855373950119,3.1023735618412145,-0.6317277190780897,0.5275648119918377,0.8368071941495537
UBE2J2,2.774413076777678,-0.5286368232420661,0.6761817921369354,-0.781796891589489,0.43433394812940684,0.8368071941495537
SCNN1D,0.0,,,,,
ACAP3,0.6795544329815202,-0.21343804439735023,1.0456955946158477,-0.2041110677871412,0.8382667055584327,0.9465322327932539
PUSL1,0.6588475478604916,0.2591344323044165,0.8258801268103367,0.3137676085090333,0.7536975475302293,0.9154704636478473
CPSF3L,3.088188112687957,-1.050835964355083,0.6453784963088754,-1.6282475638174305,0.10347240307385036,0.8368071941495537
CPTP,0.8331718374248729,-0.9090518045405402,0.9927049287884127,-0.9157321356810726,0.35980740564196645,0.8368071941495537
TAS1R3,0.07887085509337272,-1.8266022349867157,2.8050879417277166,-0.6511746772051897,0.5149337348529901,0.8368071941495537
DVL1,0.29769712092040573,-2.217576032246312,1.597630003900772,-1.3880410525790579,0.16512454469873017,0.8368071941495537
MXRA8,0.20690649550804632,-3.480984233340521,1.8960720356631402,-1.8358923964210394,0.06637357246859261,0.8368071941495537
AURKAIP1,11.243099491581951,-0.1463622430481554,0.5765303153433942,-0.25386738416518273,0.7995980131299587,0.9329111224664276
CCNL2,6.606324079272331,0.24258730880486415,0.7804606162609059,0.31082581715278745,0.7559330419134647,0.9161670813126707
MRPL20,9.664754679742336,-0.33305022509841753,0.4269406827918634,-0.7800854744516859,0.43534056572651425,0.8368071941495537
RP4-758J18.13,0.21661879443100987,-2.4273644531003598,2.606180853197997,-0.9313875704833704,0.35165311805638577,0.8368071941495537
ANKRD65,0.12180860013683927,-2.6001217788061983,2.8425891532309557,-0.914701927941587,0.36034813196703885,0.8368071941495537
RP4-758J18.7,0.0,,,,,
RP4-758J18.10,0.0,,,,,
VWA1,0.016184098700445054,-2.624534742629283,3.285768268885305,-0.798758320080696,0.4244305627778169,0.8368071941495537
ATAD3C,0.13380432213946236,-1.8386422096402384,1.6469171649456258,-1.1164145038836502,0.2642447479801774,0.8368071941495537
ATAD3B,0.7977177910851894,0.150255982108107,0.8769365426899514,0.17134190992566645,0.8639549283333536,0.9555036520234552
ATAD3A,0.4632388518530476,-0.8131730583111906,1.2064768815309594,-0.6740063326197466,0.5003072876436114,0.8368071941495537
TMEM240,0.0,,,,,
SSU72,10.70633881310874,0.5927766612516572,0.6006561299942075,0.9868818973967247,0.3237005396872027,0.8368071941495537
RP5-832C2.5,0.6456854168725037,-1.9591416259736645,1.1201081209535342,-1.7490647459156636,0.0802798282726745,0.8368071941495537
C1orf233,0.03481615224909293,-2.796536435335151,3.313876897396557,-0.8438866384964879,0.3987327553150468,0.8368071941495537
RP11-345P4.9,0.6680927542324646,0.40444754393666726,0.9476447461451966,0.4267923666351425,0.6695305668386401,0.8775058117896889
MIB2,1.1948724456371516,-0.7212438510304435,0.8135826935585939,-0.8865034331983364,0.37534630494792,0.8368071941495537
MMP23B,0.010811885382235523,-2.623817528940914,3.268878458928943,-0.8026659791446071,0.4221678217205048,0.8368071941495537
CDK11B,3.1619463871612252,-0.7346645353978226,0.6583177997516351,-1.1159724614388233,0.26443392262034726,0.8368071941495537
RP11-345P4.10,0.0,,,,,
SLC35E2B,1.416438659954198,-0.424728253013191,0.6659633540165021,-0.6377652020214112,0.5236265346699667,0.8368071941495537
RP11-345P4.7,0.0,,,,,
CDK11A,2.9141053723178736,0.12328664281251726,0.6721889772436619,0.1834106880449887,0.8544757902681862,0.9526328880359572
SLC35E2,0.13706986070832872,-0.6026005946542868,1.4777573072208547,-0.4077804871677935,0.6834348404544387,0.8838997114798951
NADK,1.5171025208778839,0.2656061736110283,0.786707025174226,0.3376176455932963,0.7356513429664768,0.9081055808058716
GNB1,4.0146856689865285,-0.3751129054181556,0.7060416074035197,-0.5312900847269325,0.5952177752945578,0.8568117992663709
RP1-140A9.1,0.07863617280868403,-1.8444216815766705,2.694885722211978,-0.6844155454810004,0.4937128023932251,0.8368071941495537
CALML6,0.0,,,,,
TMEM52,0.0,,,,,
GABRD,0.0019838994313581514,-2.6469432921234457,4.052866057425517,-0.6531040637954986,0.5136891925894842,0.8368071941495537
PRKCZ,1.0201868291721772,-0.4263533671907138,0.8887153721841645,-0.4797411865880975,0.6314114376356146,0.8647048522984544
RP11-181G12.2,0.0,,,,,
FAAP20,8.014170294719557,-0.5380698175393039,0.5786492847995247,-0.9298720860351886,0.35243731730407424,0.8368071941495537
SKI,1.759870280584152,-0.19981978114669258,0.7403973846849202,-0.269881803042466,0.7872511869671728,0.9294484645819308
MORN1,0.23622156888275572,-2.981301379840116,1.8347341605289051,-1.62492280569992,0.10417900815618909,0.8368071941495537
RER1,5.975871100292928,-0.30647508632004855,0.511184979938371,-0.5995385200030673,0.5488138310494637,0.8452076739192005
PEX10,0.6899267886913097,-1.761943831865186,1.3029129296851987,-1.3523112647987117,0.17627576227825015,0.8368071941495537
PLCH2,0.5164173250879268,-0.8283054937801931,1.2226679415915052,-0.6774574400814142,0.4981157645700215,0.8368071941495537
PANK4,0.228903390879888,-0.9425218961041963,1.3739202709942497,-0.6860091637065169,0.49270732982286725,0.8368071941495537
HES5,0.0,,,,,
RP3-395M20.12,2.3494614549182167,-0.13572933067892168,0.6953337854989574,-0.1952002527556245,0.8452361811956586,0.9488483689848418
RP3-395M20.8,0.42250998782119165,-0.46929568211569944,1.3811302633243343,-0.33979103534095356,0.7340138994364782,0.9073527254529596
TNFRSF14,9.93847774246091,-0.15909169576735568,0.46241079742624114,-0.34404840166547435,0.7308098861728829,0.9057765818221337
RP3-395M20.9,0.2655304775402489,-2.0636817541725487,1.6360693782793376,-1.2613656740785242,0.20717712957738355,0.8368071941495537
FAM213B,0.40034173707595433,-1.488398703899945,1.1906733173161275,-1.2500479201590864,0.21128204271152984,0.8368071941495537
MMEL1,0.09124800563731313,-3.1209581953305094,2.644027431938821,-1.180380414223601,0.2378489481492373,0.8368071941495537
TTC34,0.06083459700479321,-2.7837670728221497,1.9926622098684759,-1.397009015896322,0.1624108599310199,0.8368071941495537
LINC00982,0.013653581242025844,-2.7536714222428658,4.04613226144223,-0.6805688109813121,0.49614436752655067,0.8368071941495537
PRDM16,0.0,,,,,
ARHGEF16,0.052843503329433564,-2.999960264240144,4.031588734461643,-0.7441136638260656,0.45680771363489003,0.8368071941495537
MEGF6,0.0696757310970092,-1.5961767877319784,1.8764933309403529,-0.8506168188362803,0.3949822435225835,0.8368071941495537
RP11-46F15.2,0.006264601543654297,-2.646999622334924,4.055618062719659,-0.6526747788868145,0.5139659654484323,0.8368071941495537
TPRG1L,0.6697684015372148,-1.1795310919262,0.90719945879321,-1.3001893690448796,0.1935360733467586,0.8368071941495537
