,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
H3F3C,13.916477011579772,-6.250718451399482,1.2909407788347835,-4.8419869864529685,1.2854718471794688e-06,0.007478875206890149
DNAJB4,8.75811289826818,-3.1912302236840726,0.7243250668983817,-4.405798403953045,1.0539495029955436e-05,0.02687966114162613
TNFSF9,7.702018011774485,-4.318788909296232,0.9937243449896955,-4.346063303240312,1.3860258409226262e-05,0.02687966114162613
ELL2,9.081326106960592,-2.3857166593285477,0.5776444609206223,-4.13007796443907,3.626402335650737e-05,0.030584988871021155
HSPA2,2.59640104201249,-3.637793107736678,0.8671173272465229,-4.1952720738360325,2.7254423479171503e-05,0.030584988871021155
EIF2AK3,4.262438767073162,-2.3203913955750686,0.5622857928627041,-4.126711763001362,3.6798714695281556e-05,0.030584988871021155
ARG2,2.097207600443323,-3.536300401468214,0.8523191576370277,-4.149033105476901,3.3388252815213974e-05,0.030584988871021155
HSPA1B,140.37303432826343,-3.5427008963462323,0.875158236652261,-4.04806896396029,5.1641931842311236e-05,0.037556594932320844
NEU1,21.503005352060114,-2.8114369091980485,0.7013644917600836,-4.00852472890766,6.109924169140013e-05,0.039497265351173996
TIPARP,9.253845843626374,-1.8658322435537407,0.4745337320288532,-3.931927527209577,8.426747226518121e-05,0.049026815363882426
