,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.017969528460975916,-3.354146230253588,2.2330055296913995,-1.5020769924905333,0.13307722599528954,
FO538757.3,0.014762832667248763,-2.3882622130577222,2.1842386196191055,-1.093407190773962,0.2742150577516641,
FO538757.2,1.1552428709145397,-0.37980532090874164,0.8355788460599096,-0.45454157043309135,0.6494390786320564,
AP006222.2,0.2956030315071333,-0.36399602140808696,1.0457526198493503,-0.34807086733430675,0.7277869624486542,
RP4-669L17.10,0.023196084876879464,-2.2198499017569335,1.7432085414253615,-1.2734276186725422,0.202866342022877,
RP5-857K21.4,0.0,,,,,
RP11-206L10.9,0.5791331287983221,-0.9954400952754606,0.9599712814313777,-1.036947786387106,0.29976019164246537,
LINC00115,0.1844800631023442,-1.2745935875156587,1.0820908766492623,-1.1778988392014622,0.23883693792080152,
FAM41C,0.0341289014398743,-1.7727409158930585,1.7405825846265308,-1.018475613596598,0.30845198426053533,
RP11-54O7.3,0.0,,,,,
SAMD11,0.03167437123899474,-3.719179620392495,2.9007132488170884,-1.2821603865563678,0.19978638921337588,
NOC2L,3.1002106514327927,0.7180482466869825,0.8100730618642953,0.8863993638233969,0.3754023619097766,0.9968156387488374
KLHL17,0.20506151276208834,-2.0456832149973985,1.4964633004007288,-1.3670119504097409,0.1716215597613101,
PLEKHN1,0.014406189940455446,-2.386621578039494,1.747331305223998,-1.365866662437861,0.17198081815668942,
PERM1,0.0,,,,,
RP11-54O7.17,0.0,,,,,
HES4,0.49308107254142236,-2.054072789296612,1.3530063635261322,-1.5181545665043277,0.12897543795186076,
ISG15,21.07509028813128,1.075168027759636,0.932340868089779,1.1531919972171634,0.24883158754846157,0.9968156387488374
AGRN,0.14711359620799774,-2.2344769419306023,1.3871464883463558,-1.6108442480320628,0.10721367412770998,
RP11-54O7.18,0.0,,,,,
RNF223,0.005249073492145838,-2.9946097944886714,2.777649649792304,-1.078109254964027,0.28098500190070763,
C1orf159,0.17794565969812387,-2.3725983929492642,1.2377427809678503,-1.9168751613271506,0.05525379332847267,
RP11-465B22.8,0.007024773606831065,-2.8798885076835488,2.76954227083148,-1.03984277041525,0.2984129545575297,
TTLL10,0.01583718561949737,-3.6112045178556946,2.8436314962888036,-1.269927036104588,0.20411062165360994,
TNFRSF18,0.4138355356894462,-1.467690686929148,1.3781839929050432,-1.0649453879053083,0.28690064401833815,
TNFRSF4,0.2544900977560906,-0.29854150366432186,1.5380637221444968,-0.19410216843816483,0.8460958837506242,
SDF4,4.58977493788891,0.6184036401443849,0.7458436631947605,0.8291330618745266,0.4070291172341609,0.9968156387488374
B3GALT6,0.4196286528666741,-1.726619704660812,1.1162900330089987,-1.5467482944433792,0.12192395263595818,
FAM132A,0.0,,,,,
RP5-902P8.12,0.0021323428414785437,-3.262816304942669,2.8149945479305525,-1.1590844136239389,0.24642177845815638,
UBE2J2,2.367708705240181,0.0608728541268729,0.6727139160409142,0.09048847165987664,0.9278990546526912,0.9968156387488374
SCNN1D,0.0,,,,,
ACAP3,0.47907607213707193,-0.9709389423243634,0.9563427872089744,-1.0152624721079218,0.3099807282132617,
PUSL1,0.47897032407196755,0.17756016122118068,0.8258643163457697,0.21499919261173223,0.8297679480439077,
CPSF3L,2.9600161232843014,0.18823709981550174,0.6004172258377195,0.3135104918964773,0.7538928508127463,0.9968156387488374
CPTP,0.7484304837389406,0.15190281808586828,0.9043465425463036,0.1679697007058449,0.8666071157120783,
TAS1R3,0.058173271065884824,-2.909250437065924,2.4811218941123667,-1.1725544174066957,0.24097453780207878,
DVL1,0.28986582016390816,-2.5270898481520696,1.423915746790888,-1.7747467529925351,0.0759397118520043,
MXRA8,0.23266995365394322,-2.8205635604937793,1.2626487673881714,-2.2338465243412093,0.02549317314819467,
AURKAIP1,10.32760371326697,0.8695514901803705,0.5216931542955142,1.6667872350263029,0.09555671936475536,0.9255687575004643
CCNL2,5.707474683612797,-0.26367872404619114,0.765561890736461,-0.344425091213116,0.7305266218285753,0.9968156387488374
MRPL20,8.761784389086577,0.681216857644741,0.4105617320202778,1.6592312544392116,0.097069201884805,0.9255687575004643
RP4-758J18.13,0.22677002566332696,-3.714071884088834,2.340375575636944,-1.5869554966954533,0.1125227243190405,
ANKRD65,0.13138039548317554,-1.6528686967792765,1.924981671834743,-0.8586412644666328,0.3905384646545197,
RP4-758J18.7,0.0,,,,,
RP4-758J18.10,0.0,,,,,
VWA1,0.017686487814223783,-2.258372809977579,2.203816976522498,-1.024755156184143,0.30547873059555,
ATAD3C,0.1261606006776707,-1.6288545092175615,1.469031954676366,-1.1087944711021656,0.2675188561643175,
ATAD3B,0.48151626752519505,-0.9191961541110063,0.9795543454552413,-0.9383819880701116,0.3480481390092377,
