,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DNAJB4,5.8066193683865235,-3.1974380833419884,0.7013865028097865,-4.558739112504881,5.146165044627901e-06,0.006598923795224786
NEU1,13.902132786391041,-2.8364964609791548,0.6226914854003661,-4.5552196030999195,5.233087862985556e-06,0.006598923795224786
TNFSF9,5.674963726730377,-4.332466240910724,0.9410400386070198,-4.603912759465457,4.1462620745279115e-06,0.006598923795224786
H3F3C,13.954430894391034,-6.26120487624131,1.3226312504008153,-4.733900604831384,2.202456135077103e-06,0.006598923795224786
HSPA1B,79.98933240715687,-3.5830189779410397,0.8466468059936847,-4.232011451027391,2.316106136957118e-05,0.02075290374996753
DNAJA1,72.46746795810624,-2.114397142620679,0.5013212417001036,-4.217649217197018,2.4686245539215937e-05,0.02075290374996753
GLA,21.39306761978486,-2.8815182404697812,0.69620422176011,-4.138897970461692,3.4897809551046846e-05,0.023867262888328657
ARG2,1.6345737728773213,-3.548707835007014,0.8612952140887522,-4.120199180209699,3.7854501012416586e-05,0.023867262888328657
RP11-138A9.2,5.33738830372451,-2.4775651677501878,0.6155030956016868,-4.0252684112469606,5.6910364581461946e-05,0.03189509766098823
HSPH1,42.78425367830731,-2.431034566637517,0.6082913987971826,-3.996496697873046,6.428677801485006e-05,0.03242625083069037
EIF2AK3,3.6714476999412367,-2.340978468333583,0.592606762046845,-3.9503067097106976,7.805110918363972e-05,0.03578998133838898
ELL2,7.609865600220393,-2.4117924745726156,0.6166840207913942,-3.910904763638189,9.195102628723095e-05,0.038650081382732744
CHORDC1,12.34738159562443,-1.9002875522154312,0.5001718323724748,-3.7992694294713885,0.00014512325612316512,0.048800113592349655
TNF,11.252495602777277,-2.2176522966159395,0.5825826871750456,-3.8065880525378764,0.00014089714306998676,0.048800113592349655
HSPA2,2.0438824176789243,-3.682267892945781,0.9691204331267814,-3.7995978281721587,0.00014493109302940308,0.048800113592349655
HSP90AB1,154.5115493924632,-1.4907480494712002,0.39452271202602146,-3.7786114817462657,0.000157705248721596,0.04971657965948314
