,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.04168830579478903,-1.3860909081691608,2.8123243743354367,-0.4928630995834894,0.6221093219910792,
FO538757.3,0.012795784813593674,0.17436924029888004,3.513868691989734,0.049623152025109724,0.9604226967096713,
FO538757.2,1.3666418229003967,0.06568754262658313,0.8239370428158751,0.07972398279617378,0.9364567846492311,0.9997350427824228
AP006222.2,0.4247717427275778,0.14381535432367348,1.2254298831812434,0.1173591049945066,0.9065754895548708,
RP4-669L17.10,0.06110569082806653,-0.9720354353549322,1.9070322046582822,-0.5097110751357812,0.6102538927730456,
RP5-857K21.4,0.0,,,,,
RP11-206L10.9,0.6785264286824466,-0.043709100667969125,1.0736724640918176,-0.040709901883290954,0.96752716757965,0.9997350427824228
LINC00115,0.167693622315907,1.6018075918660346,1.7818082982488437,0.8989786350418767,0.36866404079461335,
FAM41C,0.03115866814463733,0.8016800448233853,2.8357307735291197,0.28270668439574026,0.7774016917926283,
RP11-54O7.3,0.0,,,,,
SAMD11,0.027307162484051687,-0.8533489784410324,4.537928613666843,-0.1880481274806766,0.8508389238240525,
NOC2L,3.719328925149261,0.5008776567839346,0.7720060596706891,0.6488001622650366,0.5164675525735847,0.9948141216285051
KLHL17,0.21124159742901646,0.08475866922343717,2.003962481442487,0.04229553697154371,0.9662631030851073,
PLEKHN1,0.03871331907185617,-0.5905024301734285,2.268087229915276,-0.2603526100693608,0.7945917943905205,
PERM1,0.0,,,,,
RP11-54O7.17,0.0,,,,,
HES4,0.5562031338120532,-0.6199999250220929,1.6102266539686279,-0.38503891579115074,0.7002085834473759,
ISG15,23.139046743596666,1.2108276735709471,0.9376745795580608,1.2913090532342544,0.1965965326073258,0.9350367124024838
AGRN,0.13948271517895566,0.3582165656489382,1.8945500915746936,0.18907737897349514,0.8500321706543708,
RP11-54O7.18,0.0,,,,,
RNF223,0.004413992975438687,-0.36951694286275927,4.428355292545288,-0.08344338212536957,0.9334989948181104,
C1orf159,0.24209856635546187,-1.0853248459762608,1.3299744941659577,-0.8160493684180616,0.41447190045677473,
RP11-465B22.8,0.006264601543654297,-0.22827752388053235,4.41650833986575,-0.051687329970596496,0.9587778329640821,
TTLL10,0.013653581242025844,-0.853971085655402,4.486364192299198,-0.19034814140172465,0.8490363317983871,
TNFRSF18,0.7114103152265482,-1.5648028837700498,1.400439856682958,-1.1173652879863027,0.26383817064707393,0.9674876300859123
TNFRSF4,0.3897773978407359,-0.26788345295092486,1.4728792254988199,-0.1818774060447494,0.8556789361141603,
SDF4,5.459283078270363,0.5123241873426758,0.7154588325903539,0.716077800713957,0.4739433103839249,0.986439874520048
B3GALT6,0.41145797752401336,0.8010510374843431,1.4372005560185914,0.557369000540507,0.5772753408788001,
FAM132A,0.0,,,,,
RP5-902P8.12,0.01597920653661037,-1.2841903978144347,3.4409282238611185,-0.37321045783786355,0.7089918133504263,
UBE2J2,2.774413076777678,0.6234342400742016,0.65758713265194,0.9480633198523738,0.34309722007994636,0.9678966698264525
SCNN1D,0.0,,,,,
ACAP3,0.6795544329815202,-0.7723197151947045,1.0410705382478116,-0.7418514757843095,0.45817732840048975,0.9829336204246214
PUSL1,0.6588475478604916,-0.07774360611471154,0.7183589063389095,-0.1082239051102311,0.9138180827860339,0.9997350427824228
CPSF3L,3.088188112687957,1.231391429662307,0.6309690297422762,1.9515877509317336,0.05098716867945546,0.8734410211360062
CPTP,0.8331718374248729,1.0493787441069338,0.947709015430057,1.107279478216993,0.2681731141336514,0.9674876300859123
TAS1R3,0.07887085509337272,-1.0561518295609407,3.0764765420834,-0.34329916549459893,0.7313734085483481,
DVL1,0.29769712092040573,-0.2908389924613202,1.7086463660420375,-0.17021602494320043,0.8648402495401494,
MXRA8,0.20690649550804632,0.6151153184976672,2.0168821031270556,0.30498327965921634,0.7603788869449859,
