,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.011719168734805132,-1.445461494419952,2.410728064673396,-0.5995954150124279,0.5487759035662012,
FO538757.3,0.04844768304356755,-1.0550577864408055,1.7905563692612934,-0.589234611405212,0.5557039020546264,
FO538757.2,9.304284083641276,-0.3480552186221599,0.47185430741491236,-0.7376328098582068,0.4607376120155192,0.9159134368706946
AP006222.2,2.6992996594710013,-0.7621679163250298,0.7560008715608413,-1.008157457214905,0.3133788777456553,0.8594403446735879
RP4-669L17.10,0.0232422496779234,-1.3912523491897806,2.0515724302077727,-0.6781395229847584,0.4976832333729606,
RP5-857K21.4,0.030367348961820136,-0.7641484556962392,2.467720256696563,-0.3096576500608597,0.7568213111049757,
RP11-206L10.9,2.2809603431945136,-0.18008434720123667,0.6803217553570043,-0.2647046721396348,0.7912369780034341,0.9760276130681488
LINC00115,1.592688517807719,-0.6149868187324208,0.764783263702454,-0.8041321612546259,0.42132065231621585,0.9086874281285655
FAM41C,0.6479918179921934,-0.3680593901366846,1.222830701952778,-0.30098965420881124,0.7634223836818185,0.9731995367506271
RP11-54O7.3,0.0028822753925071896,-1.415488161923651,2.938023990461884,-0.48178237023215165,0.6299605545039444,
SAMD11,0.16185837251064197,-1.5687680770460142,1.41985449998215,-1.1048794626954637,0.26921182252313813,
NOC2L,14.63001686243864,0.1855387315786603,0.37024764370121216,0.5011206275991564,0.6162862303949315,0.9511632231666066
KLHL17,0.6357199551555803,-1.3188651617130684,0.715450248900043,-1.8434058325379512,0.06526977914504466,0.639368299701279
PLEKHN1,1.8087281197298872,0.003289310616912998,0.6486581596971911,0.00507094617980066,0.9959539876746762,0.9989665333807837
PERM1,0.007114130216031233,-1.5934165834723777,2.9448685245651816,-0.5410824185122663,0.5884507759178488,
RP11-54O7.17,0.3889525976700218,-1.5224300129539847,1.4149380011885129,-1.0759694146847292,0.2819409353365936,
HES4,2.770172424860343,0.4967481009398106,0.8721669625861487,0.5695561999583814,0.5689787429268465,0.9420835896705366
ISG15,163.46863157377703,0.9210775301502476,0.465967426276637,1.9766993961578325,0.048075619114178764,0.600225885330184
AGRN,0.5482849312419361,-0.7462802963744789,0.9273484492975397,-0.8047463679265128,0.4209660564105331,0.908534050089281
RP11-54O7.18,0.06255934065347513,-1.2146455019794642,1.4611491453921808,-0.8312946736545819,0.40580718281604855,
RNF223,0.021985861141251825,-1.3226196998375874,2.1306311411542316,-0.6207642769743249,0.5347547307403138,
C1orf159,1.6804506008235904,-0.9554140192934065,0.7590431414552518,-1.258708454254219,0.20813565663870837,0.7991720251843507
RP11-465B22.8,0.007114130216031233,-1.5934165834723777,2.9448685245651816,-0.5410824185122663,0.5884507759178488,
TTLL10,0.29647138963014563,-1.2993757673579838,1.1879909803955253,-1.0937589500261815,0.2740607122384716,
TNFRSF18,43.50885660713315,1.3685980366464725,0.6320252891950431,2.165416574374009,0.030355797895068072,0.5435033674315565
TNFRSF4,11.329019400417756,0.1526316611694889,0.5954122040678985,0.2563462087721725,0.7976835194931926,0.9770192121644998
SDF4,31.38250139879148,0.6739596115552419,0.398881222113385,1.6896248160903993,0.09109975518349313,0.6808979244918577
B3GALT6,0.8883364018908582,-0.3525791470331515,1.095761530428196,-0.3217663125072227,0.7476297368671707,0.9726088198793722
FAM132A,0.02305218251314703,-1.1135806498268708,2.138531845884523,-0.5207220327206677,0.6025604236052038,
RP5-902P8.12,0.21572919037240113,-1.960002214316119,2.1112309843094494,-0.9283693868092814,0.3532159926620193,
UBE2J2,13.710829221701202,0.23976553320268243,0.3869848351475284,0.6195734598005055,0.5355386444494843,0.9346889937071624
SCNN1D,0.09760323000925139,-1.3804904999358987,1.3653734504820982,-1.01107173238828,0.3119820986026841,
ACAP3,2.158230561130854,0.06622334897637328,0.5777902188545839,0.11461486680694419,0.9087503953618924,0.9878787673409265
PUSL1,3.108712088316316,0.6283473279552765,0.4682794596216915,1.3418212459348502,0.17965396170888592,0.7798071639156762
CPSF3L,14.162440363679961,0.21519597874935387,0.33861627824511514,0.6355157521209873,0.525092096500579,0.9321791848600717
CPTP,2.886120409709232,1.4240201460211266,0.6530982566252194,2.1804072076068963,0.029227290348499073,0.5368577144956462
TAS1R3,0.03854230105515695,-1.2075339337554172,2.429302632677338,-0.4970701951714399,0.6191395516456388,
DVL1,0.7420781749951735,-1.4241210893746332,0.8699624812899911,-1.6369913875629774,0.10163226911985708,0.6885086646818636
MXRA8,0.5128207494416154,-1.94348492670845,1.6583026677793131,-1.1719723814417025,0.24120814478780717,0.8251174941444742
AURKAIP1,50.01499214100796,0.41529957786379945,0.30038277929804996,1.3825678650230648,0.1667974080730733,0.7693882529721049
CCNL2,15.872669567992018,-0.32098020099967145,0.3562715954841807,-0.9009424412952497,0.36761892395464035,0.8868597452794993
MRPL20,41.36476979575721,0.1506613529673065,0.23914221555375267,0.630007347796951,0.5286897768291,0.9321791848600717
RP4-758J18.13,1.6300710386310269,-1.6323451902221149,3.4868864899138545,-0.4681383219510661,0.6396856759602512,0.9579932683180722
ANKRD65,0.1342393240262621,-1.2465785585157132,1.831544069732233,-0.6806161965286261,0.4961143757615968,
RP4-758J18.7,0.0,,,,,
RP4-758J18.10,0.0,,,,,
VWA1,0.2879865479006904,-1.5815394565043863,1.308139407473704,-1.2089991689484196,0.22666316465528247,
ATAD3C,0.3640042236502724,-1.3322380663491225,0.8537637925774683,-1.5604293341219888,0.11865845724434505,
ATAD3B,3.88153130279626,0.04629115014275674,0.6349282303813307,0.07290768929104759,0.9418795750610806,0.991177550267514
ATAD3A,2.2179664630032403,0.746936564549466,0.6825675477532435,1.0943042443317166,0.27382156444559547,0.8446523321198761
TMEM240,0.011719168734805132,-1.445461494419952,2.410728064673396,-0.5995954150124279,0.5487759035662012,
SSU72,35.49492415584525,0.41527123918669234,0.30893172346193576,1.3442168856377061,0.1788782629034572,0.7787444375703998
RP5-832C2.5,4.054812241741785,-0.17296565773725456,0.6508614649997895,-0.26574880683297253,0.7904326720224171,0.9760276130681488
C1orf233,0.2612205503877553,-1.8145666049214646,1.293929218180547,-1.402369294568531,0.16080499759261702,
RP11-345P4.9,1.2434021842207128,0.17586107643109952,0.5827713166170645,0.3017668704972602,0.7628297876901708,0.9731995367506271
MIB2,12.284184945278641,0.4138692024028118,0.40565410324257256,1.0202514878922027,0.3076092044134833,0.8565108964217262
MMP23B,2.1161991208955993,-0.5254418532129667,0.7424788370679709,-0.7076859662262194,0.4791402942957842,0.9173056637121294
CDK11B,10.244907767882003,0.3684978510749362,0.4374370022133779,0.8424021040981491,0.3995629156617938,0.9023991937499907
RP11-345P4.10,0.06481605878652281,-1.20832021800539,1.464938842740277,-0.8248263905304998,0.40947016159642147,
SLC35E2B,5.3017397250871845,-0.1442181721921326,0.45607053053760876,-0.316219011173843,0.7518362787293676,0.9726670354145995
RP11-345P4.7,0.16049772902910803,-1.0498422713684628,1.3994497654065219,-0.7501821768239729,0.45314499172776423,
CDK11A,12.865113322794521,0.1583887140483105,0.42170084411597153,0.37559496562153477,0.7072180340444375,0.966276619844351
SLC35E2,0.6367136530062525,0.4324961587352289,0.7336541171642672,0.5895096185201286,0.5555194617479452,0.9384935920786935
NADK,2.462315326868136,0.6640017431397656,0.5640876793891142,1.1771250594568112,0.23914559433406268,0.8250590253796208
GNB1,19.991265462863158,-0.23671379338911622,0.3919197638978491,-0.6039853439256864,0.5458533862518613,0.9365968240917261
RP1-140A9.1,0.0161091275737683,-1.0368180984919166,2.484913438988193,-0.41724515720518945,0.6764990983370167,
CALML6,0.0028822753925071896,-1.415488161923651,2.938023990461884,-0.48178237023215165,0.6299605545039444,
TMEM52,0.2750418721711577,-0.6335003964205462,1.3379284825370168,-0.47349346746792126,0.6358611604643485,
GABRD,0.026231420255572777,-1.6906725255611197,2.467345290384781,-0.6852192646686514,0.4932055690539382,
PRKCZ,5.0485581197793525,0.17867258702880895,0.4603741920719142,0.38810296082126783,0.6979398409371618,0.9638556332451916
RP11-181G12.2,0.01612811946189217,-1.3311985085306726,2.0092430329108697,-0.6625373271057771,0.5076269208558211,
FAAP20,26.645962215750096,0.5905499680771522,0.38381501268178575,1.5386317589582321,0.12389422063679006,0.7246005837197674
SKI,11.408352065731192,-0.234804546471399,0.5165241993428926,-0.45458576146114865,0.6494072802195473,0.9589207757641799
MORN1,0.4039942708394475,-0.8530495565873648,0.9415813713290262,-0.9059753968829054,0.36494887489219763,
RER1,32.819825744842476,0.37030317169752935,0.30957719787665455,1.19615777336763,0.23163499577030466,0.8197566971986636
PEX10,2.4756619799568553,0.0884986564281358,0.5249578282183403,0.16858241114051445,0.8661251164096149,0.9827499455867393
PLCH2,2.269644423802764,-1.2087856906046723,0.6673900482015496,-1.8112132385882131,0.07010784971624646,0.6527170316287324
PANK4,3.7995872113632947,0.45950718795449375,0.6979600008337141,0.6583574809525069,0.5103084502215156,0.929296002213607
HES5,0.01200315982351031,-1.5334156351317938,2.950304393557688,-0.5197482803741114,0.6032390313848083,
RP3-395M20.12,4.463073061938856,-0.017139651882588244,0.47654551174683674,-0.03596645327696136,0.9713091080450105,0.9959458352314559
RP3-395M20.8,3.54781717121395,-0.6898953795049418,0.5085766115702166,-1.3565220338680308,0.17493312964044128,0.7741707969626604
TNFRSF14,31.339182846769372,0.3710758405116268,0.3259730829963632,1.1383634412408425,0.25496875311743905,0.8331285953018072
RP3-395M20.9,0.20077956943289102,-0.872380527009569,0.9649705313679106,-0.9040488788532339,0.3659694837599139,
FAM213B,4.1092830695981535,0.08183344433616808,0.648177716784557,0.1262515544997794,0.899532803222274,0.9867046921129208
MMEL1,0.013055776904608605,-1.1113928027845166,2.496013626874779,-0.4452671214684332,0.6561267251719328,
TTC34,0.1354680689393491,-1.5228990553942545,1.5234026868744843,-0.9996694035762382,0.3174705236212231,
LINC00982,0.0,,,,,
PRDM16,0.0,,,,,
ARHGEF16,0.0,,,,,
MEGF6,0.48342292920364754,0.1800551002168163,0.8589516145315405,0.20962193582349306,0.8339627576899935,0.9795030851033684
RP11-46F15.2,0.09937839429906019,-1.0279162957507066,1.9209954493373729,-0.5350956433058056,0.5925837224063133,
TPRG1L,1.8141576256858882,-1.109733183536206,0.6691199663820511,-1.6584965914805414,0.09721727493934175,0.6885086646818636
WRAP73,7.888455196677324,-0.0456795752523943,0.3438927870607948,-0.13283086174272934,0.8943271464806374,0.9858634859957046
TP73,0.2711360713978747,0.2908075271311348,1.1144732880553831,0.26093718911698427,0.7941409452589486,
TP73-AS1,1.2865293781103413,-0.44731844868899096,0.7250725409448198,-0.6169292359439016,0.5372814020508823,0.9353189310011709
SMIM1,0.7617589391414432,-0.35883412100367934,0.7539286808178269,-0.47595234155892924,0.6341083313966069,0.9557373333978664
LRRC47,6.943803827440746,0.5978794680490833,0.45637619268111657,1.310058407158936,0.1901760775828799,0.7862937519634668
CEP104,4.74865428340757,0.6934103014055049,0.4835526112027884,1.4339914320402831,0.1515747079022937,0.7574378011314619
DFFB,1.366561422323787,1.0982850462705647,0.8392371058156629,1.30867074234418,0.19064590645843704,0.7871664030492914
C1orf174,10.456005468731927,-0.09182554342413583,0.2874361927957586,-0.31946409577371365,0.7493746134912307,0.9726670354145995
LINC01134,0.1144482808932695,-1.8728921971243835,1.689696975438229,-1.1084189794673938,0.2676809119134387,
AJAP1,0.0,,,,,
NPHP4,0.5260219696201086,-1.0280970466351569,0.8375174755738745,-1.22755294858856,0.21961483375578217,0.8100252492089596
KCNAB2,17.168021542001284,0.14855549286611858,0.2727315444254599,0.544694942343643,0.5859633439140436,0.9453314650420606
RPL22,386.7239535123288,-0.189824565613505,0.18955710127378908,-1.0014109961479607,0.31662815008428935,0.8609455486537727
RP1-120G22.11,0.0,,,,,
RNF207,1.1464565487454066,-0.21079029449821599,1.0417899484055597,-0.2023347363072821,0.8396550458773522,0.9806746431703491
ICMT,4.24143377547086,1.0460774465539278,0.4252752239227806,2.4597657886222626,0.01390277111014823,0.4486025343649772
LINC00337,0.0,,,,,
