,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACP5,25.634796982715944,2.061011413033269,0.3886056416230183,5.303606515915257,1.1353690505995075e-07,0.0013815170607694807
AIM1,41.52448251519797,-1.744989547507014,0.3656920444702207,-4.771745991999871,1.826357424733827e-06,0.011111558572080602
ACRC,4.055764293172631,-2.657714743375343,0.5685785320135264,-4.674314265724187,2.9493741209219037e-06,0.01196266143445924
UBL3,21.510699826179756,-1.2541343640258789,0.2780176313799152,-4.510988593784852,6.452619089303562e-06,0.019628867269661437
ELL2,27.555580677122684,-2.0188870253391444,0.4648143008649368,-4.343427088156183,1.4027704789507574e-05,0.034137822375745634
DYNLL2,10.952082044752792,-1.6891284252758934,0.39429109921311667,-4.283962860553719,1.835935723248288e-05,0.03723277646747528
CA2,1.8000871278101558,-2.98905470178155,0.7092140947505103,-4.214601379056137,2.5021973760257632e-05,0.038452726118844295
IL7R,310.69943878846533,-2.094911629620533,0.500504482929792,-4.185600131606405,2.844136547251797e-05,0.038452726118844295
KRT86,42.80094825146385,3.1257923426798087,0.7434794853807054,4.204275173886228,2.6192013556082525e-05,0.038452726118844295
TADA3,19.454855054607584,1.192187040493199,0.2870889794020498,4.152674348476529,3.286122151149488e-05,0.039985534335186965
BCL6,4.404925611385432,-1.9875048597405627,0.4848498308400968,-4.099217393345943,4.145495173296789e-05,0.043762893013673164
C4orf32,3.967972807753463,-2.2841513317093836,0.5584878816088037,-4.089885218511029,4.315867161111752e-05,0.043762893013673164
PIP,4.127129975276153,-4.8388433854845685,1.2056063345871635,-4.013618083005127,5.979506768382593e-05,0.0485057589051196
RP11-25K19.1,10.40757591644825,1.7045283948932473,0.4239420423553423,4.0206637337104105,5.8034396303403506e-05,0.0485057589051196
FAM104A,13.079053534350228,1.1366232308915114,0.281550769479522,4.037009854360144,5.4136795689026906e-05,0.0485057589051196
