,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.21744158655876109,-0.7930305303980972,1.373235462946438,-0.5774905701142883,0.5636081069880083,0.9982312408759063
FO538757.3,0.050989067815009,-0.5425063612826855,2.5595389944054228,-0.2119547162471377,0.8321423628137913,0.9982312408759063
FO538757.2,30.538911820058072,-0.1964851373045268,0.5276258219226989,-0.37239484714475046,0.7095988898815155,0.9982312408759063
AP006222.2,14.176412903732722,-0.14286741724029375,0.533324093809667,-0.26788104812545815,0.788790882128981,0.9982312408759063
RP4-669L17.10,0.9136351761047803,-1.1393527157133594,1.274861703814158,-0.89370691134938,0.3714787265457341,0.9982312408759063
RP5-857K21.4,0.2737871660869918,-0.3700569093010557,1.1241722278326265,-0.3291816859899799,0.7420183647169617,0.9982312408759063
RP11-206L10.9,3.5888203789846864,-0.03352839744152177,0.47840872574814963,-0.07008316453486312,0.9441274665058064,0.9982312408759063
LINC00115,4.180654331275611,0.030724698154268273,0.48435294878308793,0.06343452276168135,0.9494204974085897,0.9982312408759063
FAM41C,4.0197269539726905,-0.8853909813428091,0.8745037462227371,-1.0124496151870104,0.3113231258317054,0.9982312408759063
RP11-54O7.3,0.0,,,,,
SAMD11,0.9730712507700588,-0.8381560075020663,2.1263869138385845,-0.39416909596617816,0.6934562003816711,0.9982312408759063
NOC2L,26.192336382787946,-0.12184237605916526,0.25188498842868745,-0.4837222607795888,0.628582992627146,0.9982312408759063
KLHL17,1.4259852561022204,-1.070191221717769,0.6855326406614491,-1.5611090679579818,0.11849801889870876,0.9982312408759063
PLEKHN1,1.082909079125248,0.2292817881755633,0.9087145434131735,0.252314425731947,0.8007980386563575,0.9982312408759063
PERM1,0.08778984125464848,-0.630877390271328,2.0181467510137154,-0.31260233675001003,0.754582802576292,0.9982312408759063
RP11-54O7.17,4.04265202481653,0.24215075233286656,0.6705742243969246,0.36110954391460964,0.718017558952581,0.9982312408759063
HES4,36.196679796884126,0.6334955355848747,0.5722158990096097,1.1070918104186336,0.26825423595498943,0.9982312408759063
ISG15,527.3997990467055,0.9295337208944341,0.4809126494280135,1.9328535483522844,0.053254241581032695,0.9982312408759063
AGRN,8.231211777536869,0.4121851469552229,0.6014167006277812,0.6853570021001556,0.4931186699312494,0.9982312408759063
RP11-54O7.18,0.22984209974090228,-1.7042435284668729,1.2942143541336784,-1.3168170504550307,0.18789995615151844,0.9982312408759063
RNF223,0.09570274742927991,-1.4302058587906872,2.3410104826941183,-0.6109352646489457,0.541242437588758,0.9982312408759063
C1orf159,4.146626915008356,-0.011066863325894157,0.4614235574139501,-0.02398417494745702,0.9808652316395062,0.998502274420217
RP11-465B22.8,0.2684011738085315,-0.3615419652912908,3.5733912378631025,-0.10117614927255877,0.9194106296706619,0.9982312408759063
TTLL10,0.04402358824964763,-0.769926379011936,1.930055942603952,-0.39891402213615784,0.6899565568152548,0.9982312408759063
TNFRSF18,5.214211911185078,0.1552239973180093,0.5982487762266839,0.25946396129223837,0.7952772848212039,0.9982312408759063
TNFRSF4,15.327441313139396,-0.5086485027931436,0.5353683188360207,-0.9500907784364784,0.34206612843808004,0.9982312408759063
SDF4,98.56275094230998,0.17493918486073345,0.40810292265791026,0.4286643764307837,0.6681674888643777,0.9982312408759063
B3GALT6,7.054914081845589,0.3342157877842357,0.6316876264054928,0.5290839551283153,0.5967472112805939,0.9982312408759063
FAM132A,0.21891866220246373,-0.8870335337821709,1.3044280432778412,-0.68001722161169,0.49649355649075,0.9982312408759063
RP5-902P8.12,0.017823489584651245,-0.4482750228872067,2.8541910864206113,-0.15705851826808842,0.8751987294004611,0.9982312408759063
UBE2J2,27.96826179469767,0.1899244183157609,0.29912889414428534,0.6349250173878239,0.5254773198300546,0.9982312408759063
SCNN1D,1.018516157795143,-0.9845121660785682,0.9873678666753805,-0.9971077642961707,0.3187122046892945,0.9982312408759063
ACAP3,5.723517025598445,0.14343150993485762,0.3866813273912582,0.3709294961370824,0.7106900451286897,0.9982312408759063
PUSL1,8.97396591477516,0.473407628957406,0.271135007498479,1.7460217820085875,0.08080716695281474,0.9982312408759063
CPSF3L,26.61114204457251,0.2548960580861995,0.2846760749802686,0.8953898149110943,0.37057874331744034,0.9982312408759063
CPTP,7.643813682637372,0.774441904834365,0.37374271927097047,2.072125729552688,0.0382537174115242,0.9982312408759063
TAS1R3,0.11629123213585676,-0.43116477931845243,2.214479640377151,-0.1947025258019623,0.8456258344515435,0.9982312408759063
DVL1,4.435368794145964,0.318115544890444,0.5240672788548923,0.6070127972605712,0.5438424194028832,0.9982312408759063
MXRA8,2.25267044400412,-1.4979203207772294,1.0276510754162786,-1.4576156796901665,0.14494650529262224,0.9982312408759063
AURKAIP1,135.44960183895952,0.3946212450876626,0.247587520263131,1.5938656547319798,0.11096612845454061,0.9982312408759063
CCNL2,23.49865337497205,-0.1296239766663384,0.28319017127013046,-0.45772766789526825,0.6471481076925119,0.9982312408759063
MRPL20,119.37913689189759,0.18785081796079506,0.16123814867651137,1.1650519402680324,0.24399796893046344,0.9982312408759063
RP4-758J18.13,0.2854477558883725,-0.8303894121565977,0.9976186805583126,-0.832371554722566,0.40519925283680613,0.9982312408759063
ANKRD65,1.3295594279900094,-0.1292862684116865,0.8546068838120248,-0.1512815668357332,0.8797536094590053,0.9982312408759063
RP4-758J18.7,0.01094275258878759,-0.585485599973484,3.5914559682960454,-0.1630217953782309,0.8705012739979944,0.9982312408759063
RP4-758J18.10,0.0033412405435457103,-0.7984172447838247,3.6100527205401542,-0.22116498195194265,0.8249639744649779,0.9982312408759063
VWA1,2.0388326569448343,-0.5178391795748971,0.907871697600077,-0.5703880635818745,0.5684145236155641,0.9982312408759063
ATAD3C,0.6308404725154999,-0.1848693050903281,0.9776456005553282,-0.18909644249952898,0.8500172296620921,0.9982312408759063
ATAD3B,6.729161145879971,-0.025256357413953722,0.4079924143546519,-0.06190398773443704,0.9506392918380926,0.9982312408759063
ATAD3A,8.92940387230829,0.13886787550272073,0.41048579383845374,0.33830129467859743,0.7351361481666845,0.9982312408759063
TMEM240,0.05842682007963887,-0.9216391724357522,2.2634920030174484,-0.407175802347488,0.68387887251999,0.9982312408759063
SSU72,88.03965938827449,0.24590297865462074,0.24354010185691033,1.0097022083003755,0.3126379841554302,0.9982312408759063
RP5-832C2.5,5.081117366957504,-0.46809352065251647,0.5621638538855956,-0.8326638531046089,0.40503433606729355,0.9982312408759063
C1orf233,2.4027054206120395,0.25543009106124787,0.6861120235558419,0.3722862773012732,0.7096797146601159,0.9982312408759063
RP11-345P4.9,2.671625900584552,0.08383403547862951,0.48021902603381383,0.17457458145926621,0.8614139228986466,0.9982312408759063
MIB2,6.882984477341976,0.1799528457206999,0.34732862404133086,0.5181054288784622,0.6043847126755826,0.9982312408759063
MMP23B,0.09110554274770416,-0.5655769528580153,1.5109066207435995,-0.37432952182025925,0.7081591707619098,0.9982312408759063
CDK11B,23.432688342684482,0.35249315714515705,0.3188234618520187,1.1056060777257544,0.2688970580461588,0.9982312408759063
RP11-345P4.10,0.4639862530936065,-0.557292253585348,1.3973689850745712,-0.3988153877306843,0.6900292379794308,0.9982312408759063
SLC35E2B,9.410419587756401,-0.047145845686447786,0.3267239887323291,-0.14429869649109955,0.885264607585491,0.9982312408759063
RP11-345P4.7,0.02636193262227798,-0.27994908153200165,2.9054153972381456,-0.09635423623008196,0.9232392371416075,0.9982312408759063
CDK11A,20.462345247096128,0.3871610425410734,0.3502786650393198,1.105294387534603,0.26903204906609635,0.9982312408759063
SLC35E2,0.9681431114923945,-0.7121289229745612,0.8327751995467405,-0.8551274381875875,0.39248060117556083,0.9982312408759063
NADK,38.035651120100006,0.3678476868513952,0.2847095487932671,1.2920103607712021,0.19635355658514964,0.9982312408759063
GNB1,83.20818693534073,0.09078706161795316,0.30808708789030304,0.29467986548750996,0.7682384455599259,0.9982312408759063
RP1-140A9.1,0.08238050752692785,-0.8023824457126577,1.8450355392974283,-0.43488725752036034,0.6636442642317664,0.9982312408759063
CALML6,0.05315346149716183,-0.9213801434894675,3.6214571317617863,-0.2544224907174945,0.7991691774169606,0.9982312408759063
TMEM52,0.3254855988071761,-0.7138454329856009,0.9336607667079905,-0.7645661662560375,0.44452992257692403,0.9982312408759063
GABRD,0.0432168791691087,-0.9194119832608946,1.6819058944236955,-0.5466488858319453,0.5846199767798549,0.9982312408759063
PRKCZ,1.9738198634569686,1.3534023317162343,0.6641689801533004,2.03773794344302,0.04157614740687488,0.9982312408759063
RP11-181G12.2,0.038092696476178606,-0.8864367899606285,1.9619816652120796,-0.4518068673515404,0.6514081220120183,0.9982312408759063
FAAP20,80.04007367407084,0.46680541965360695,0.31754143038988425,1.4700614627844095,0.1415451083931125,0.9982312408759063
SKI,24.35337252537778,-0.1342547443739669,0.40662370055763286,-0.33016950116250854,0.7412718903934732,0.9982312408759063
MORN1,0.8611779920357802,-1.0586774314541987,0.8410527978873148,-1.2587526420618858,0.20811969072179326,0.9982312408759063
RER1,130.0468320773721,0.24192983182506853,0.24735288878246467,0.9780756271572576,0.3280369213013893,0.9982312408759063
PEX10,11.516849518906174,0.3734169527027058,0.32769551427465293,1.1395241510377594,0.25448460099033965,0.9982312408759063
