,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.0,,,,,
FO538757.3,0.0447478585825262,-2.7530274115463746,4.287937741827847,-0.6420399682325667,0.5208472322950191,0.9654116883983744
FO538757.2,2.54392581365339,-0.1085758853602856,0.6330519751757241,-0.1715118025342972,0.8638213508664245,0.9825626020005223
AP006222.2,2.2392161209781967,0.04961447936180747,2.0198112767956267,0.024563918387721567,0.9804027995651109,0.9972607350454155
RP4-669L17.10,0.05695742501613643,-2.834580369071739,3.491491751256429,-0.8118536634238652,0.4168756053349244,0.9654116883983744
RP5-857K21.4,0.0447478585825262,-2.7530274115463746,4.287937741827847,-0.6420399682325667,0.5208472322950191,0.9654116883983744
RP11-206L10.9,0.7832801042413001,0.023706894348947585,1.0590725941985797,0.022384579186365446,0.9821411812974683,0.9974638939704468
LINC00115,0.48980034278870815,-1.054416908947257,1.008432315781132,-1.045600078901186,0.2957457128451343,0.9654116883983744
FAM41C,0.09360242463143265,-1.612444084768115,2.481154769314503,-0.649876462649528,0.5157720231146632,0.9654116883983744
RP11-54O7.3,0.0,,,,,
SAMD11,0.015151958467258225,-1.8186347604188,4.228164104486209,-0.43012397709189537,0.6671054592860589,0.9654116883983744
NOC2L,6.712800447264438,0.13659228949921365,0.5763869528265482,0.23698018983493246,0.8126721587841502,0.9762461194652555
KLHL17,0.23399124922546333,-1.6422115451312502,1.6697975383368402,-0.9834794383317477,0.3253715302193255,0.9654116883983744
PLEKHN1,0.4492588953560923,0.10103184649461408,1.4347984468931239,0.07041535813854961,0.9438630675639248,0.9930407898976202
PERM1,0.0,,,,,
RP11-54O7.17,0.01903011412737915,-2.6051806758283926,4.2995308537878305,-0.6059220795062472,0.544566496944135,0.9654116883983744
HES4,1.9141351599082685,0.9186228434376906,0.9890788879745014,0.9287660009798661,0.3530103677669958,0.9654116883983744
ISG15,55.24040591585979,0.10433621592347737,0.6776545228823563,0.1539666783004569,0.8776360091168415,0.9846421587957364
AGRN,0.06117443474107231,-2.59974014988142,2.9966842462109997,-0.8675388984236577,0.3856468083658915,0.9654116883983744
RP11-54O7.18,0.010320885124517143,-1.8186347604188005,4.228164104486209,-0.4301239770918954,0.6671054592860588,0.9654116883983744
RNF223,0.0,,,,,
C1orf159,0.7652378985071767,0.19281857354089552,1.1636455605790406,0.16570215198943158,0.8683913524274256,0.9827602425565701
RP11-465B22.8,0.04039023790941611,-1.8098473692676238,3.432907709044792,-0.5272053671874606,0.5980509819083988,0.9654116883983744
TTLL10,1.2270954869711568,-0.6082077674345667,1.1241369517894642,-0.5410441908046769,0.5884771239734159,0.9654116883983744
TNFRSF18,33.410470736821736,0.5858418138151343,0.6417650954671599,0.9128602006450393,0.36131607173840985,0.9654116883983744
TNFRSF4,4.661663868891277,0.8665877101640562,0.6346442615049241,1.3654700163980487,0.1721053707349368,0.9654116883983744
SDF4,13.635446870208204,-0.012779656167179472,0.5385604354362598,-0.02372928890854624,0.981068543409132,0.9973360806048187
B3GALT6,0.8504084031773275,0.49314995558445623,1.0492656570004406,0.4699953270120697,0.6383583561880443,0.9654116883983744
FAM132A,0.06310061743739745,-2.115328301839014,2.9178228716094656,-0.7249680309319815,0.46847164311031364,0.9654116883983744
RP5-902P8.12,0.06743940573702348,-1.7988923194826558,2.926911580050943,-0.6146042578612321,0.5388161018271492,0.9654116883983744
UBE2J2,4.482616196368554,0.4063829448558105,0.4782004699187835,0.8498171173374833,0.3954267713803338,0.9654116883983744
SCNN1D,0.1470750747137676,-1.6049378121572482,2.333600815496076,-0.6877516503678761,0.49160918806258014,0.9654116883983744
ACAP3,0.6367607825758633,-0.3554685971808909,0.9681833421496174,-0.36715008584186,0.7135070689369252,0.9677332497990003
PUSL1,1.4516259870738928,-0.22202516188871893,0.8184636865721401,-0.27127063244381266,0.7861828918139094,0.9724693681049305
CPSF3L,4.900855536876772,0.44638353772039824,0.46074734703219306,0.9688249766291304,0.33263252253219133,0.9654116883983744
CPTP,0.8677897421463099,0.675203011451506,0.8833231044756258,0.7643896191896081,0.44463509308596905,0.9654116883983744
TAS1R3,0.021330697999802,-1.2934805698247684,4.17110011468888,-0.31010537610201877,0.7564808241226433,0.9685044439439718
DVL1,0.5087514104100682,-1.3695963087739436,1.069126604283411,-1.2810422107977792,0.20017884017302257,0.9654116883983744
MXRA8,0.43882247361556465,-1.190482275065521,1.9911528490918353,-0.5978859310617465,0.5499160479584004,0.9654116883983744
AURKAIP1,15.085387300391824,0.07496729790480727,0.4726361260046233,0.15861525131084445,0.8739720121127895,0.984147268302874
CCNL2,5.452423467844253,0.22682506773133027,0.5116834745932588,0.44329175944490934,0.6575547155000401,0.9654116883983744
MRPL20,13.74020604337857,-0.021178497074496098,0.32303487459605196,-0.06556102371602864,0.9477273208877258,0.9932367448396073
RP4-758J18.13,0.0,,,,,
ANKRD65,0.0,,,,,
RP4-758J18.7,0.0,,,,,
RP4-758J18.10,0.0,,,,,
VWA1,0.17566303624776514,-2.7338746340666673,2.492331074288881,-1.0969147166159314,0.2726786748433745,0.9654116883983744
ATAD3C,0.20819334550247018,-1.3200843477395456,1.4614687154860757,-0.9032587107418809,0.36638860459776135,0.9654116883983744
ATAD3B,0.8011604230728476,0.30078540055496855,0.892298005458592,0.337090746269663,0.736048493030343,0.9685044439439718
ATAD3A,1.0309369614145358,0.3421326954869883,0.9348997437557869,0.36595656140896293,0.7143974894552623,0.9677332497990003
TMEM240,0.0,,,,,
SSU72,12.592892486682196,0.19394042900063452,0.3680785633175466,0.5268995489784047,0.5982633470873702,0.9654116883983744
RP5-832C2.5,1.358047616330288,0.11240781614634825,0.7421213565126924,0.15146824055106645,0.87960636212454,0.9847969228469543
C1orf233,0.10898173416755236,-2.807399500405585,2.5485545220114574,-1.1015654074333217,0.270650654231008,0.9654116883983744
RP11-345P4.9,0.3303681415985308,-1.5241028290357814,1.2885676933783414,-1.1827883291407988,0.23689304710090064,0.9654116883983744
MIB2,5.086792504120084,0.46170593284527095,0.5942306787092836,0.7769809762231278,0.43716999418246616,0.9654116883983744
MMP23B,1.7149951913712524,0.013082178711824764,1.1320731685130696,0.011555948039125116,0.9907798926833541,0.9987863734359923
CDK11B,3.542485611177898,0.39766443300637505,0.5919529527156728,0.6717838490069691,0.5017213122201196,0.9654116883983744
RP11-345P4.10,0.009515057063689575,-2.5075659286461693,4.307716284833172,-0.5821102790531809,0.5604924018544151,0.9654116883983744
SLC35E2B,1.7319066326229333,0.35235455948399924,0.689056435012317,0.5113580565831315,0.6091003591130646,0.9654116883983744
RP11-345P4.7,0.010665348999901,-1.8186347604188005,4.228164104486209,-0.4301239770918954,0.6671054592860588,0.9654116883983744
CDK11A,3.7092297570294526,0.867015670314105,0.6768654344923913,1.2809276794645528,0.20021906948449653,0.9654116883983744
SLC35E2,0.27826807328276904,-0.15545843742061943,1.1751828953315693,-0.13228446230640378,0.8947592966512052,0.986837210647387
NADK,1.4220569880248963,0.24397651186074887,0.8236379274354785,0.2962181605944334,0.7670634807155703,0.9708689877744733
GNB1,5.729186123271212,-0.1837062006120789,0.5944320108406982,-0.3090449324091167,0.7572873475091393,0.9688519134095489
RP1-140A9.1,0.009515057063689575,-2.5075659286461693,4.307716284833172,-0.5821102790531809,0.5604924018544151,0.9654116883983744
CALML6,0.009515057063689575,-2.5075659286461693,4.307716284833172,-0.5821102790531809,0.5604924018544151,0.9654116883983744
TMEM52,0.14825202684265296,-0.09969123867954899,1.7882979426904366,-0.055746437044806266,0.9555438055821918,0.9944871574718729
GABRD,0.007243466177288386,-2.3957085179560234,4.317645655031748,-0.5548645510462594,0.5789873104098656,0.9654116883983744
PRKCZ,1.1071218182345774,0.5663661864805746,0.9423440713196072,0.6010184641873603,0.5478276883126039,0.9654116883983744
RP11-181G12.2,0.02547284359177537,-1.233020923396942,3.3545709391287972,-0.36756442053873073,0.7131980486095288,0.9677332497990003
FAAP20,8.982911581766148,0.23587162448539445,0.5261512005993515,0.4482962772235574,0.653939387017564,0.9654116883983744
SKI,5.025246115107055,0.18973193088424806,0.5923128493262626,0.32032384760867877,0.7487228470187299,0.9685044439439718
MORN1,0.2736142135759319,-0.7942482244488952,1.2646765986570145,-0.6280247656138521,0.5299877164193043,0.9654116883983744
RER1,11.749263309248533,-0.21442939440456202,0.42092411629588844,-0.5094253004354565,0.6104541459628846,0.9654116883983744
PEX10,0.768909640994758,-0.6400591524655568,0.8832083689167384,-0.7246977893230271,0.4686374516386629,0.9654116883983744
PLCH2,2.2378427816302007,-0.34685765263172846,0.8359122580849938,-0.41494504869009907,0.6781821307936857,0.9677332497990003
PANK4,0.5492363854883474,0.2958838934901619,1.1226115808517698,0.2635674694052801,0.7921132280132271,0.9724693681049305
HES5,0.0,,,,,
RP3-395M20.12,3.9278339414027275,0.5824739655872263,0.687789406503105,0.8468783614284945,0.3970629246748827,0.9654116883983744
RP3-395M20.8,1.4130880662911192,-0.3218778110750897,0.7840389258970323,-0.4105380491240583,0.6814112979907718,0.9677332497990003
TNFRSF14,9.668068869910202,0.014623017603360608,0.520577435247283,0.028089995096338416,0.9775903736828336,0.9971218353818251
RP3-395M20.9,0.04230265566566673,-2.387404825113929,3.570670904023781,-0.6686151956551268,0.5037409767120943,0.9654116883983744
FAM213B,1.3692721559563268,-0.9808371017599178,0.8059765508234147,-1.2169548862902515,0.22362138095085526,0.9654116883983744
MMEL1,0.36163704215559794,-2.7530280100162967,4.28793769678569,-0.6420401145473762,0.520847137296484,0.9654116883983744
TTC34,0.1272032949893854,-2.6061046739191744,3.1024128110839873,-0.8400251135530213,0.40089430581110486,0.9654116883983744
LINC00982,0.0,,,,,
