,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.0,,,,,
FO538757.3,0.0447478585825262,-1.1259484882957953,3.626770127778574,-0.31045488096193397,0.7562150652960447,0.9999532385676856
FO538757.2,2.54392581365339,-0.13964468112997744,0.5864759454305848,-0.23810811375639915,0.8117972418323836,0.9999532385676856
AP006222.2,2.2392161209781967,-0.7694666932481252,1.8523575171271836,-0.41539858592821166,0.6778501416727184,0.9999532385676856
RP4-669L17.10,0.05695742501613643,-1.2254783465192594,2.9166647664065164,-0.4201642782653807,0.6743654484005479,0.9999532385676856
RP5-857K21.4,0.0447478585825262,-1.1259484882957953,3.626770127778574,-0.31045488096193397,0.7562150652960447,0.9999532385676856
RP11-206L10.9,0.7832801042413001,-0.30554921828267045,1.0091466553504416,-0.30277979584301734,0.762057681702849,0.9999532385676856
LINC00115,0.48980034278870815,-0.6776740274160912,0.8977814749206322,-0.7548318230513729,0.4503498969920391,0.9999532385676856
FAM41C,0.09360242463143265,-0.7272198364424638,2.1607673040298487,-0.33655629418595556,0.7364514080516287,0.9999532385676856
RP11-54O7.3,0.0,,,,,
SAMD11,0.015151958467258225,-0.7686305118883999,3.6618458558572256,-0.20990247600372194,0.8337437897092597,0.9999532385676856
NOC2L,6.712800447264438,0.40092363715975593,0.5227708537366661,0.766920409380191,0.4431288382652179,0.9999532385676856
KLHL17,0.23399124922546333,-0.8527696839462405,1.4450064863879635,-0.5901493813206898,0.5550905047395915,0.9999532385676856
PLEKHN1,0.4492588953560923,0.14330557656134005,1.3188534868054482,0.10865920892278758,0.9134727967854241,0.9999532385676856
PERM1,0.0,,,,,
RP11-54O7.17,0.01903011412737915,-0.9781016115456177,3.640469368449466,-0.2686745890577859,0.7881801079781879,0.9999532385676856
HES4,1.9141351599082685,-0.47725548903767523,0.9310831241790356,-0.5125809679543768,0.6082444691026576,0.9999532385676856
ISG15,55.24040591585979,0.7716408423529644,0.5791463776790022,1.3323761869070243,0.18273660314195472,0.9999532385676856
AGRN,0.06117443474107231,-0.2219894425654408,2.403922476152806,-0.09234467615640779,0.9264241935471614,0.9999532385676856
RP11-54O7.18,0.010320885124517143,-0.7686305118884009,3.6618458558572256,-0.2099024760037222,0.8337437897092594,0.9999532385676856
RNF223,0.0,,,,,
C1orf159,0.7652378985071767,0.2892613556451802,1.0798298479449036,0.2678767920665398,0.7887941582912092,0.9999532385676856
RP11-465B22.8,0.04039023790941611,-0.26073879903003777,2.9293413834372624,-0.08900935906763084,0.9290744721850197,0.9999532385676856
TTLL10,1.2270954869711568,0.021180727837986888,1.000842611962368,0.021162895728887385,0.9831157125678917,0.9999532385676856
TNFRSF18,33.410470736821736,1.2717588497345682,0.5539601448015918,2.2957587502798877,0.02168967919010306,0.9999532385676856
TNFRSF4,4.661663868891277,0.5990456794553951,0.5822917464908759,1.0287724032935124,0.30358663759599,0.9999532385676856
SDF4,13.635446870208204,0.29150886868620013,0.476777970078231,0.6114142996967091,0.5409253382495994,0.9999532385676856
B3GALT6,0.8504084031773275,-0.37097158236361166,1.027517300369753,-0.36103682364288875,0.7180719196767837,0.9999532385676856
FAM132A,0.06310061743739745,-0.6714392537051715,2.4711986227048204,-0.2717059031743292,0.785848161924351,0.9999532385676856
RP5-902P8.12,0.06743940573702348,0.03079617809820188,2.4596108772087746,0.012520752117160142,0.9900101462137137,0.9999532385676856
UBE2J2,4.482616196368554,0.8030510953030804,0.43958845677167147,1.826824801544315,0.06772611558175788,0.9999532385676856
SCNN1D,0.1470750747137676,-0.97416768553739,2.0525609932147484,-0.47461083434682033,0.6350643824754625,0.9999532385676856
ACAP3,0.6367607825758633,-0.3516743177745556,0.8990622236261532,-0.391156817106786,0.6956813254339413,0.9999532385676856
PUSL1,1.4516259870738928,-0.12043004544565487,0.7567847121336485,-0.15913382434235387,0.8735634397888109,0.9999532385676856
CPSF3L,4.900855536876772,0.7711352766636616,0.42451071567518944,1.8165272352128061,0.06928953400689274,0.9999532385676856
CPTP,0.8677897421463099,0.8106954391255367,0.825961628409571,0.9815170720298108,0.32633781979010623,0.9999532385676856
TAS1R3,0.021330697999802,-0.7686322009286589,3.6618456736705127,-0.20990294770074444,0.8337434215498764,0.9999532385676856
DVL1,0.5087514104100682,-0.5529527328736809,0.9090807685986364,-0.6082547909643573,0.5430185002694925,0.9999532385676856
MXRA8,0.43882247361556465,-2.1868770102753246,1.867836733997171,-1.170807367941312,0.24167621555825336,0.9999532385676856
AURKAIP1,15.085387300391824,0.3833770017968463,0.4204090049543379,0.911914343600909,0.3618138102268251,0.9999532385676856
CCNL2,5.452423467844253,-0.2891826569886307,0.47991601746107326,-0.6025692964333843,0.5467952509626521,0.9999532385676856
MRPL20,13.74020604337857,0.5858246220393992,0.29101713629608483,2.0130244888513134,0.0441120531490034,0.9999532385676856
RP4-758J18.13,0.0,,,,,
ANKRD65,0.0,,,,,
RP4-758J18.7,0.0,,,,,
RP4-758J18.10,0.0,,,,,
VWA1,0.17566303624776514,-1.4160625812295355,2.0808064683005063,-0.6805354571903562,0.4961654787429356,0.9999532385676856
ATAD3C,0.20819334550247018,-0.5018760254828553,1.2589104501722381,-0.3986590352111153,0.690144455999852,0.9999532385676856
ATAD3B,0.8011604230728476,-0.05418356479522163,0.8482493845708737,-0.06387692791858952,0.949068223606403,0.9999532385676856
ATAD3A,1.0309369614145358,0.07035151003545363,0.8840342387805163,0.07958007388096217,0.936571243684669,0.9999532385676856
TMEM240,0.0,,,,,
SSU72,12.592892486682196,0.6675635825431088,0.3323332540555255,2.008717377501963,0.04456711474374137,0.9999532385676856
RP5-832C2.5,1.358047616330288,-0.07844380174204171,0.7030442979553232,-0.11157732445904373,0.9111585521933527,0.9999532385676856
C1orf233,0.10898173416755236,-0.550378380490533,1.9765807013871257,-0.2784497390388807,0.78066714230638,0.9999532385676856
RP11-345P4.9,0.3303681415985308,-0.3608232633862862,1.0751671291007694,-0.33559737237136855,0.7371745057469326,0.9999532385676856
MIB2,5.086792504120084,0.3885922719612141,0.5439008326748046,0.7144542692648373,0.47494632444396756,0.9999532385676856
MMP23B,1.7149951913712524,-0.2043556251207786,1.0266428154696032,-0.1990523111266336,0.8422218248756559,0.9999532385676856
CDK11B,3.542485611177898,0.564413213119165,0.5456403830215266,1.0344051332741948,0.30094680563954024,0.9999532385676856
RP11-345P4.10,0.009515057063689575,-0.8804867712491095,3.650133068202033,-0.24122045821272367,0.8093842556299607,0.9999532385676856
SLC35E2B,1.7319066326229333,0.0054345468725026,0.6522370131352508,0.008332165705192305,0.9933519705490895,0.9999532385676856
RP11-345P4.7,0.010665348999901,-0.7686305118884009,3.6618458558572256,-0.2099024760037222,0.8337437897092594,0.9999532385676856
CDK11A,3.7092297570294526,0.508197764632929,0.6267862428318598,0.8107991686876524,0.417481011974024,0.9999532385676856
SLC35E2,0.27826807328276904,-0.758681043620238,1.1447192287660823,-0.6627660517575448,0.5074803991029129,0.9999532385676856
NADK,1.4220569880248963,0.3329804319185887,0.7653609962147603,0.43506323625767107,0.6635165276625001,0.9999532385676856
GNB1,5.729186123271212,-0.006424571860513357,0.5358213801941171,-0.011990137194947069,0.9904334838699242,0.9999532385676856
RP1-140A9.1,0.009515057063689575,-0.8804867712491095,3.650133068202033,-0.24122045821272367,0.8093842556299607,0.9999532385676856
CALML6,0.009515057063689575,-0.8804867712491095,3.650133068202033,-0.24122045821272367,0.8093842556299607,0.9999532385676856
TMEM52,0.14825202684265296,-0.06530135469471757,1.645629288892064,-0.039681692064852794,0.9683468977954944,0.9999532385676856
