,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.0,,,,,
FO538757.3,0.0447478585825262,1.6270789232505791,4.4107804005164155,0.36888685799458076,0.712212059416711,0.9869844109248163
FO538757.2,2.54392581365339,-0.03106879576969182,0.6048696032049565,-0.051364452115085606,0.9590351104668572,0.995713581126311
AP006222.2,2.2392161209781967,-0.8190811726099326,2.051989625125342,-0.3991643829875117,0.6897720851667304,0.9869844109248163
RP4-669L17.10,0.05695742501613643,1.6091020225524795,3.5881464855285783,0.44844936767274673,0.6538289198367637,0.9869844109248163
RP5-857K21.4,0.0447478585825262,1.6270789232505791,4.4107804005164155,0.36888685799458076,0.712212059416711,0.9869844109248163
RP11-206L10.9,0.7832801042413001,-0.329256112631618,0.9961531271533778,-0.3305276103208202,0.7410013337687655,0.9869844109248163
LINC00115,0.48980034278870815,0.37674288153116575,0.9780375743890045,0.3852028709290877,0.7000871164697942,0.9869844109248163
FAM41C,0.09360242463143265,0.8852242483256512,2.5033265167550365,0.35361917129097986,0.7236243049318648,0.9869844109248163
RP11-54O7.3,0.0,,,,,
SAMD11,0.015151958467258225,1.0500042485304002,4.323226471383784,0.24287514324788856,0.8081021219204166,0.9869844109248163
NOC2L,6.712800447264438,0.2643313476605423,0.5509895067904598,0.4797393496661761,0.6314127439694135,0.9869844109248163
KLHL17,0.23399124922546333,0.7894418611850098,1.6707623962406162,0.47250396762659586,0.636567110403294,0.9869844109248163
PLEKHN1,0.4492588953560923,0.042273730066725974,1.3668164876765383,0.03092860705725566,0.9753264756993515,0.9967356821144794
PERM1,0.0,,,,,
RP11-54O7.17,0.01903011412737915,1.6270790642827748,4.410780585853999,0.36888687446867097,0.7122120471368728,0.9869844109248163
HES4,1.9141351599082685,-1.3958783324753656,0.9845419823969543,-1.4177946267735346,0.15625073337790132,0.9869844109248163
ISG15,55.24040591585979,0.667304626429487,0.6893356665397286,0.9680401853848196,0.3330243006154632,0.9869844109248163
AGRN,0.06117443474107231,2.377750707315979,2.9947699358859836,0.7939677364941011,0.42721421412324423,0.9869844109248163
RP11-54O7.18,0.010320885124517143,1.0500042485303995,4.323226471383784,0.2428751432478884,0.8081021219204167,0.9869844109248163
RNF223,0.0,,,,,
C1orf159,0.7652378985071767,0.09644278210428471,1.0649513287746186,0.09056074160239432,0.9278416273638991,0.9919894827626123
RP11-465B22.8,0.04039023790941611,1.5491085702375862,3.454354356069959,0.4484509724705883,0.6538277618850699,0.9869844109248163
TTLL10,1.2270954869711568,0.6293884952725536,1.0999260713837438,0.5722098163204384,0.5671798379749842,0.9869844109248163
TNFRSF18,33.410470736821736,0.6859170359194338,0.6456606360728012,1.0623491623889139,0.2880772036188496,0.9869844109248163
TNFRSF4,4.661663868891277,-0.2675420307086611,0.6031940033424493,-0.4435422587528119,0.6573735600539387,0.9869844109248163
SDF4,13.635446870208204,0.3042885248533796,0.5371977985681148,0.5664366564130603,0.5710969819478158,0.9869844109248163
B3GALT6,0.8504084031773275,-0.8641215379480679,0.9924885513962636,-0.8706614668072443,0.3839390239839947,0.9869844109248163
FAM132A,0.06310061743739745,1.4438890481338424,2.95090017143012,0.48930460681564775,0.6246260600624871,0.9869844109248163
RP5-902P8.12,0.06743940573702348,1.8296884975808576,2.9013457074655973,0.6306344303861463,0.5282795809994212,0.9869844109248163
UBE2J2,4.482616196368554,0.3966681504472699,0.42301948101484516,0.9377065791287978,0.3483952218384928,0.9869844109248163
SCNN1D,0.1470750747137676,0.6307701266198582,2.3650339580964648,0.2667065834130955,0.7896950846480711,0.9869844109248163
ACAP3,0.6367607825758633,0.003794279406335321,0.9238624835065669,0.004106974224057612,0.9967231178870031,0.9998654916715233
PUSL1,1.4516259870738928,0.10159511644306406,0.7686722366315597,0.132169618728874,0.8948501310139879,0.9898844443516862
CPSF3L,4.900855536876772,0.32475173894326326,0.4100668762766678,0.7919482351072821,0.42839086015266326,0.9869844109248163
CPTP,0.8677897421463099,0.13549242767403066,0.7605615859398546,0.1781478714923494,0.858606847269474,0.9898844443516862
TAS1R3,0.021330697999802,0.5248483688961095,4.267433318513446,0.12298923725864794,0.9021156206834218,0.9898844443516862
DVL1,0.5087514104100682,0.8166435759002626,1.0333712479764179,0.7902712384338556,0.42936938000373903,0.9869844109248163
MXRA8,0.43882247361556465,-0.9963947352098033,2.122148652557565,-0.46952164920632256,0.6386968140084955,0.9869844109248163
AURKAIP1,15.085387300391824,0.30840970389203903,0.4674366314935765,0.6597893342389388,0.5093890287753156,0.9869844109248163
CCNL2,5.452423467844253,-0.5160077247199609,0.4979851574347463,-1.0361909727953613,0.30011305736207217,0.9869844109248163
