,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.05804789492697624,2.5853225440480423,2.2763058901022197,1.135753571297022,0.25605971317713205,0.956141150477909
FO538757.3,0.03165551072654307,2.311914955935914,3.7320235405631395,0.6194802714419803,0.535600014668421,0.956141150477909
FO538757.2,8.53487164895145,0.08876750166701564,0.5072628784418768,0.17499309616283465,0.8610850583471511,0.97348656150286
AP006222.2,1.7875467335222108,-0.1499606360661698,0.9167046123314523,-0.16358664944946152,0.8700565553116866,0.975510567498849
RP4-669L17.10,0.1295467490555871,1.0192279236101607,1.6613509922667604,0.6134934329677788,0.539550123671314,0.956141150477909
RP5-857K21.4,0.10088038775546432,1.2842944977862918,2.1510489917359688,0.5970549730482071,0.5504706786250176,0.956141150477909
RP11-206L10.9,1.3289408329266632,-0.7366935312926547,0.7659470247284502,-0.9618074194541498,0.3361463503972326,0.956141150477909
LINC00115,2.020663807346364,0.25839147464760587,0.6159741819981084,0.41948426119002397,0.674862254760032,0.956141150477909
FAM41C,1.0499758456360124,-0.4855076815757709,1.6010737307869076,-0.3032388029607793,0.76170787978731,0.9609021486392626
RP11-54O7.3,0.014609595926547612,1.498719870101024,4.3945834338674805,0.34103798292937776,0.7330749876922109,0.956141150477909
SAMD11,0.23381488217510346,1.7184627709768285,2.282687394430959,0.7528244012602594,0.4515554415392409,0.956141150477909
NOC2L,15.42551361703289,0.38411926684919545,0.36941093581247675,1.0398156351391423,0.29842556368362005,0.956141150477909
KLHL17,0.5979175854442721,-0.4576731911656407,1.2354404274670747,-0.37045346824530556,0.7110446410886737,0.956141150477909
PLEKHN1,1.553107243677646,-0.12161464818160125,0.6888457169398451,-0.1765484566295438,0.8598630835981022,0.9732236632768436
PERM1,0.026075618262720944,2.1618145149771824,4.493329566392869,0.4811163933191378,0.6304337775740683,0.956141150477909
RP11-54O7.17,0.3391105699867839,0.9103792734162611,1.8772601253686616,0.4849510523947651,0.6277110669919566,0.956141150477909
HES4,4.847098086447437,0.07565412657981194,0.8391709039288944,0.09015341955447773,0.9281652993403429,0.9863248494276223
ISG15,228.73634376774677,1.2155679544448974,0.6349355732421862,1.9144744847698714,0.05555955628507125,0.956141150477909
AGRN,1.0815210985854542,0.8440399666834434,1.031507023332936,0.8182590594063416,0.41320927814694675,0.956141150477909
RP11-54O7.18,0.0,,,,,
RNF223,0.013062549835645334,2.5164439079979353,4.464706590178527,0.5636302984687985,0.5730057624279998,0.956141150477909
C1orf159,1.908967820573113,0.6305327401459057,0.6648203290124154,0.948425781568016,0.34291273960343327,0.956141150477909
RP11-465B22.8,0.008687769214154541,2.161814536993054,4.493329770095496,0.48111637640767,0.6304337895927725,0.956141150477909
TTLL10,0.10909018911832236,1.5921342871978699,3.002798341191911,0.5302168531789913,0.5959615874358911,0.956141150477909
TNFRSF18,16.957965486013123,-0.4180296630472792,0.5458585892992817,-0.7658204363586247,0.44378315251915934,0.956141150477909
TNFRSF4,29.54328127725094,-0.4917301888902288,0.3655224814311196,-1.3452802874531051,0.17853473696771083,0.956141150477909
SDF4,35.27563409407922,0.030705796520863728,0.5535266625388624,0.05547302162469529,0.9557616224703476,0.9922205394656229
B3GALT6,2.5948369176177626,-0.6549353642881777,1.0529511689952769,-0.6219997503902438,0.533942032141874,0.956141150477909
