,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.23917210592855903,-2.6476111148332016,4.347230684220764,-0.6090339591232855,0.5425019298952256,0.8981632665848683
FO538757.3,0.0,,,,,
FO538757.2,5.933307316800691,-0.42633634991057784,0.5967314804427519,-0.7144525869395268,0.47494736438472407,0.8981632665848683
AP006222.2,0.6988422495520353,0.7682275130038791,0.841542669898378,0.9128800481342768,0.3613056319926703,0.8981632665848683
RP4-669L17.10,0.017363465546354907,-3.044462898126786,3.4087759316067077,-0.8931249689655593,0.37179025294061363,0.8981632665848683
RP5-857K21.4,0.062488016797953,-1.2458742717246698,2.0514771184405856,-0.6073059555603095,0.5436478867313124,0.8981632665848683
RP11-206L10.9,0.804973774648717,-0.04430522456112845,0.9590412260658988,-0.046197413997387526,0.9631529036071017,0.992354638496797
LINC00115,0.46250349170299104,0.456794053123746,1.0877629121314607,0.4199389848920869,0.674530027350372,0.9198395728181248
FAM41C,1.994422066912909,-0.11389923818657272,1.76013793349856,-0.06471040480343462,0.9484045783529054,0.9904887730186713
RP11-54O7.3,0.006232687914620188,-3.1455454325228653,4.0878349830273075,-0.7694893374079851,0.4416028719282187,0.8981632665848683
SAMD11,0.04009466893635,-2.2189848350309083,2.424576802510239,-0.9152050092756495,0.36008401539254276,0.8981632665848683
NOC2L,8.949763137563037,0.28848896389199224,0.4253959013502114,0.6781658285289657,0.4976665561674952,0.8981632665848683
KLHL17,0.3811600403932443,-0.9558380168063703,1.2899440278545447,-0.7409918540389192,0.45869837946656156,0.8981632665848683
PLEKHN1,1.3977405763454922,0.46354059307086026,0.7992259461386535,0.5799869177300746,0.5619234399886757,0.8981632665848683
PERM1,0.035778289557761404,-3.4528533342372674,3.3316427283175205,-1.036381633867734,0.300024135204072,0.8981632665848683
RP11-54O7.17,0.07458091453418852,-2.1738581315390886,2.3596403219480653,-0.9212667334589371,0.35691118477799677,0.8981632665848683
HES4,5.8709006229803204,-0.4693407045270591,1.2543546303794988,-0.37416906922491483,0.7082785345558531,0.9292584147443466
ISG15,92.82702734780976,-0.27936191239758273,0.5891565755772724,-0.47417261213431416,0.6353768220233893,0.9117859531041229
AGRN,0.6309074799738912,-1.129018749427278,1.1693615050721937,-0.9655001849556993,0.3342943433946407,0.8981632665848683
RP11-54O7.18,0.00986884863070978,-3.063966957382293,4.194913433568532,-0.7304005209890198,0.46514540001010896,0.8981632665848683
