,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.23917210592855903,0.6327971078012776,3.581126907679457,0.17670334621325257,0.8597414123412495,0.9998921736065598
FO538757.3,0.0,,,,,
FO538757.2,5.933307316800691,-0.5431316069082959,0.5485394529938672,-0.9901413725921518,0.32210502366244964,0.9998921736065598
AP006222.2,0.6988422495520353,-0.14933985675426656,0.8367772291642769,-0.1784702684888047,0.8583536686424359,0.9998921736065598
RP4-669L17.10,0.017363465546354907,0.37551184671464466,2.7333671922119387,0.1373806811556727,0.8907299004596412,0.9998921736065598
RP5-857K21.4,0.062488016797953,0.16718002686984665,1.8047499062587191,0.09263334841580019,0.9261948494394959,0.9998921736065598
RP11-206L10.9,0.804973774648717,-0.752957781005534,0.932425691360394,-0.8075257771018522,0.41936362961203366,0.9998921736065598
LINC00115,0.46250349170299104,0.3414562239440017,1.0301658225654686,0.33145753476237233,0.7402989120863155,0.9998921736065598
FAM41C,1.994422066912909,0.8999371899766551,1.5860251495986166,0.5674167211058455,0.5704310920971212,0.9998921736065598
RP11-54O7.3,0.006232687914620188,0.05527232335924741,3.33277524077859,0.01658447370916465,0.9867681110415021,0.9998921736065598
SAMD11,0.04009466893635,-0.24906223939370145,2.0592416109504654,-0.12094852690877009,0.9037318053545963,0.9998921736065598
NOC2L,8.949763137563037,0.4579174395875641,0.39253797374862587,1.1665557734824554,0.2433898126017353,0.9998921736065598
KLHL17,0.3811600403932443,-0.8788394464024845,1.2065846102666071,-0.7283695141845843,0.46638741983798737,0.9998921736065598
PLEKHN1,1.3977405763454922,0.904979637211953,0.7467081682677749,1.211958936128071,0.22552809994975764,0.9998921736065598
PERM1,0.035778289557761404,-0.3102820231415056,2.672795734832159,-0.1160889397935941,0.9075820543128685,0.9998921736065598
RP11-54O7.17,0.07458091453418852,-0.3650425937325891,2.0201924439618213,-0.18069694044429754,0.8566054604278527,0.9998921736065598
HES4,5.8709006229803204,1.5933913307524206,1.0713297963059867,1.4873023566100145,0.13693497239561947,0.9998921736065598
ISG15,92.82702734780976,0.30517324667760204,0.492050568688187,0.6202070805266983,0.5351214605146433,0.9998921736065598
AGRN,0.6309074799738912,0.6692328216973834,1.0102147804872699,0.6624658781715546,0.5076726958264235,0.9998921736065598
RP11-54O7.18,0.00986884863070978,0.3003222673547433,3.414339720650663,0.08795910539842577,0.9299091792774242,0.9998921736065598
RNF223,0.03357532607982238,0.4815986390806271,2.2422568212966003,0.21478299653566865,0.8299365103262613,0.9998921736065598
C1orf159,0.9307859109920703,-0.011076818827585419,0.7898662413303505,-0.014023664068651711,0.9888111016956105,0.9998921736065598
RP11-465B22.8,0.0036097311906423436,0.13858739679740406,3.3418968987193827,0.04146968054296075,0.9669214634745217,0.9998921736065598
