,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.23917210592855903,3.280408222634479,4.328974107692524,0.7577795895811068,0.4485829430864783,0.8212709840352675
FO538757.3,0.0,,,,,
FO538757.2,5.933307316800691,-0.11679525699771803,0.5989149337017654,-0.19501142887827405,0.8453840004415923,0.9441900809238
AP006222.2,0.6988422495520353,-0.9175673697581458,0.7814323707339529,-1.1742121316222534,0.2403100679618808,0.8212709840352675
RP4-669L17.10,0.017363465546354907,3.4199747448414306,3.3766867131708556,1.0128196766083537,0.31114630036541124,0.8212709840352675
RP5-857K21.4,0.062488016797953,1.4130542985945165,1.9804978692712414,0.7134843821440082,0.47554607403724325,0.8212709840352675
RP11-206L10.9,0.804973774648717,-0.7086525564444056,0.9506481526213387,-0.7454414701068435,0.4560048818176259,0.8212709840352675
LINC00115,0.46250349170299104,-0.11533782917974429,1.0115472626005324,-0.11402119648194044,0.9092209906593355,0.9675191928665052
FAM41C,1.994422066912909,1.0138364281632277,1.6509093874966922,0.6141078582759341,0.5391440557685061,0.8212709840352675
RP11-54O7.3,0.006232687914620188,3.2008177558821127,4.096829639513887,0.7812913978678178,0.43463112831385153,0.8212709840352675
SAMD11,0.04009466893635,1.9699225956372068,2.411171696650715,0.8169980588166187,0.4139295373840095,0.8212709840352675
NOC2L,8.949763137563037,0.16942847569557185,0.40501167866194754,0.41832985225344393,0.6757059664099765,0.8737240912522735
KLHL17,0.3811600403932443,0.07699857040388575,1.2941501236990611,0.05949740218994162,0.9525559345657327,0.9830333240892719
PLEKHN1,1.3977405763454922,0.44143904414109275,0.7113635339023615,0.6205533782698546,0.5348935229472725,0.8212709840352675
PERM1,0.035778289557761404,3.142571311095762,3.3502359667538526,0.9380149166450197,0.3482367443950475,0.8212709840352675
RP11-54O7.17,0.07458091453418852,1.8088155378064994,2.3591860450517084,0.7667116977062544,0.4432529471105593,0.8212709840352675
HES4,5.8709006229803204,2.06273203527948,1.2217352512518571,1.6883625426751754,0.09134165619952199,0.8212709840352675
ISG15,92.82702734780976,0.5845351590751848,0.5916406911729417,0.9879901227150721,0.32315748560621194,0.8212709840352675
AGRN,0.6309074799738912,1.7982515711246614,1.0815873691395477,1.6626040784437532,0.0963917141902448,0.8212709840352675
RP11-54O7.18,0.00986884863070978,3.364289224737037,4.188735198595066,0.8031754372693326,0.4218733404298155,0.8212709840352675
RNF223,0.03357532607982238,2.989753297314472,2.69295513744986,1.1102128125853854,0.26690733289973534,0.8212709840352675
C1orf159,0.9307859109920703,0.303588217457479,0.8057316973659518,0.37678574449776614,0.7063328355610654,0.8843655661787797
RP11-465B22.8,0.0036097311906423436,2.6979335983315553,4.010236698078897,0.672761685020737,0.5010989170145017,0.8212709840352675
TTLL10,0.06900313976260486,2.468448569991084,2.85504085932782,0.8645930799646232,0.3872621720156263,0.8212709840352675
TNFRSF18,131.4721516151787,-0.2824683190769183,0.4872391565456745,-0.5797323866158514,0.562095099533084,0.8243983366108977
TNFRSF4,148.6095583531868,-0.1565279884314627,0.44865549485010864,-0.3488823612508237,0.7271776278510231,0.8936881327668165
SDF4,28.494711106231264,0.09057716657346032,0.5273438565876846,0.17176111078559522,0.8636253401769141,0.9505765416641865
B3GALT6,0.8258265590081476,-1.3195628367334082,1.2695473342616288,-1.0393963274326188,,
FAM132A,0.14271110701637324,-0.5365726693674793,2.374361325747148,-0.2259861056314309,0.8212122269147597,0.9358004114698355
RP5-902P8.12,0.08740777237323107,1.7011769108287715,1.9538452183398798,0.8706815129778845,0.3839280753754931,0.8212709840352675
UBE2J2,9.729154602778868,0.43042042958521215,0.44124791127096374,0.9754616817231739,0.3293313000802699,0.8212709840352675
