Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
tissue[T.LYMPHNODE],T cells,0.0,0.0,0.0,0.0,0.0,689.2847284182202,0.0
tissue[T.LYMPHNODE],CD8/Effector T cells,0.0,-6.442,11.827,3.776,0.5404,760.2554037889216,0.0
tissue[T.LYMPHNODE],NK/Cytotoxic T cells,0.0,-11.461,10.265,4.053,0.5071333333333333,289.9343257615341,0.0
tissue[T.LYMPHNODE],B cells,0.0,-9.999,11.239,3.988,0.5798,171.16952410271733,0.0
tissue[T.LYMPHNODE],Macrophages,0.0,-9.472,8.223,4.389,0.5294666666666666,667.5767963997183,0.0
tissue[T.LYMPHNODE],pDC,0.0,-15.244,5.574,4.09,0.5544,69.45328959398421,0.0
tissue[T.LYMPHNODE],Monocytes/DC,0.0,-9.162,6.671,3.39,0.5302,79.97022952213575,0.0
tissue[T.LYMPHNODE],Mast cells,0.0,-7.905,12.371,3.797,0.5083333333333333,97.4807024127688,0.0
tissue[T.NORMAL],T cells,0.0,0.0,0.0,0.0,0.0,689.2847284182202,0.0
tissue[T.NORMAL],CD8/Effector T cells,0.0,-0.693,0.385,0.214,0.4952,760.2554037889216,0.0
tissue[T.NORMAL],NK/Cytotoxic T cells,0.0,-0.789,0.43,0.225,0.5026,289.9343257615341,0.0
tissue[T.NORMAL],B cells,0.0,-0.595,0.547,0.209,0.4902666666666667,171.16952410271733,0.0
tissue[T.NORMAL],Macrophages,0.0,-0.956,0.238,0.265,0.5204666666666666,667.5767963997183,0.0
tissue[T.NORMAL],pDC,0.0,-0.672,0.631,0.231,0.5011333333333333,69.45328959398421,0.0
tissue[T.NORMAL],Monocytes/DC,0.0,-0.617,0.647,0.224,0.5166666666666667,79.97022952213575,0.0
tissue[T.NORMAL],Mast cells,0.0,-0.709,0.52,0.228,0.5032666666666666,97.4807024127688,0.0
tissue[T.TUMOR],T cells,0.0,0.0,0.0,0.0,0.0,689.2847284182202,0.0
tissue[T.TUMOR],CD8/Effector T cells,0.0,-0.434,0.774,0.236,0.51,760.2554037889216,0.0
tissue[T.TUMOR],NK/Cytotoxic T cells,0.0,-0.561,0.66,0.216,0.47686666666666666,289.9343257615341,0.0
tissue[T.TUMOR],B cells,0.0,-0.52,0.801,0.228,0.48386666666666667,171.16952410271733,0.0
tissue[T.TUMOR],Macrophages,0.0,-0.31,0.906,0.283,0.6038,667.5767963997183,0.0
tissue[T.TUMOR],pDC,0.0,-0.52,0.734,0.23,0.5263333333333333,69.45328959398421,0.0
tissue[T.TUMOR],Monocytes/DC,0.0,-0.613,0.631,0.221,0.4942666666666667,79.97022952213575,0.0
tissue[T.TUMOR],Mast cells,0.0,-0.583,0.68,0.228,0.4728,97.4807024127688,0.0
