Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
subtype[T.HER2+],B cells,0.0,-0.322,1.317,0.408,0.5715333333333333,105.54578713816585,-0.2363176515482424
subtype[T.HER2+],Basal epithelial,0.0,-0.648,0.903,0.268,0.41213333333333335,57.46320673230504,-0.23631765154824202
subtype[T.HER2+],CAFs,0.0,-0.442,1.068,0.306,0.467,197.97581169479778,-0.23631765154824222
subtype[T.HER2+],CD8 T cells,0.0,0.219,1.855,0.497,0.9116,253.69807023047187,-0.23631765154824222
subtype[T.HER2+],Cycling T cells,0.0,-0.46,1.105,0.324,0.46353333333333335,69.626473407793,-0.23631765154824222
subtype[T.HER2+],Cycling epithelial,0.0,-0.703,0.828,0.265,0.4362,101.71195625168149,-0.23631765154824222
subtype[T.HER2+],Endothelial cells,0.0,-0.958,0.401,0.288,0.4563333333333333,308.9393131617461,-0.23631765154824202
subtype[T.HER2+],Epithelial (ambiguous),0.0,-0.502,1.146,0.333,0.4815333333333333,93.42368128767306,-0.23631765154824222
subtype[T.HER2+],Luminal epithelial,0.0,-1.344,0.192,0.449,0.6545333333333333,418.2774047245539,-0.2363176515482424
subtype[T.HER2+],Macrophages,0.0,-0.337,1.133,0.344,0.5132,245.95408202496859,-0.23631765154824202
subtype[T.HER2+],Memory T cells,1.148445161366468,0.263,1.968,0.495,0.9606,718.0864900267946,1.4205384874880862
subtype[T.HER2+],NK cells,0.0,-0.123,1.542,0.49,0.6982,147.84210705746116,-0.23631765154824222
subtype[T.HER2+],PVL,0.0,0.0,0.0,0.0,0.0,204.82272728394227,-0.23631765154824222
subtype[T.HER2+],Plasma cells,0.0,-0.915,0.609,0.257,0.4026,80.41050767129263,-0.23631765154824222
subtype[T.HER2+],T cells,0.0,0.094,1.871,0.529,0.8918,177.35349007923747,-0.23631765154824222
subtype[T.HER2+],pDC,0.0,-0.555,0.984,0.275,0.4296,64.33764122711489,-0.23631765154824222
