Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
subtype[T.TNBC],B cells,0.0,-0.41,0.442,0.151,0.49333333333333335,122.04722151353072,0.0
subtype[T.TNBC],Basal epithelial,0.0,-0.355,0.512,0.161,0.5014,80.110588105974,0.0
subtype[T.TNBC],CAFs,0.0,-0.297,0.539,0.165,0.4996,269.4567867363757,0.0
subtype[T.TNBC],CD8 T cells,0.0,-0.367,0.391,0.132,0.46546666666666664,309.9490817071126,0.0
subtype[T.TNBC],Cycling T cells,0.0,-0.273,0.687,0.188,0.5054,101.73872744769537,0.0
subtype[T.TNBC],Cycling epithelial,0.0,-0.242,0.628,0.175,0.5256,152.68974183733206,0.0
subtype[T.TNBC],Endothelial cells,0.0,-0.845,0.128,0.255,0.6230666666666667,332.4229259031099,0.0
subtype[T.TNBC],Epithelial (ambiguous),0.0,-0.202,0.825,0.243,0.5825333333333333,147.29067737782628,0.0
subtype[T.TNBC],Luminal epithelial,0.0,-0.72,0.163,0.222,0.5795333333333333,493.4433359102507,0.0
subtype[T.TNBC],Macrophages,0.0,-0.142,0.778,0.226,0.5704666666666667,363.72861683722545,0.0
subtype[T.TNBC],Memory T cells,0.0,-0.444,0.329,0.139,0.5106666666666667,262.01664477809624,0.0
subtype[T.TNBC],NK cells,0.0,-0.359,0.418,0.135,0.4606,181.34622173935318,0.0
subtype[T.TNBC],PVL,0.0,0.0,0.0,0.0,0.0,249.98677874169454,0.0
subtype[T.TNBC],Plasma cells,0.0,-0.452,0.41,0.151,0.4901333333333333,105.36263129302652,0.0
subtype[T.TNBC],T cells,0.0,-0.322,0.501,0.147,0.46313333333333334,225.74544873025914,0.0
subtype[T.TNBC],pDC,0.0,-0.403,0.444,0.148,0.47613333333333335,81.4026665792325,0.0
