Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
subtype[T.TNBC],B cells,0.0,-1.33,0.286,0.404,0.5905333333333334,146.56920944495306,0.16579441344180665
subtype[T.TNBC],Basal epithelial,0.0,-0.736,0.776,0.255,0.4336,72.78411539868874,0.16579441344180665
subtype[T.TNBC],CAFs,0.0,-0.774,0.493,0.206,0.39493333333333336,293.682054925237,0.16579441344180665
subtype[T.TNBC],CD8 T cells,0.0,-1.542,0.052,0.49,0.8675333333333334,680.9560293668463,0.16579441344180665
subtype[T.TNBC],Cycling T cells,0.0,-0.68,0.699,0.233,0.425,110.55329764714675,0.16579441344180665
subtype[T.TNBC],Cycling epithelial,0.0,-0.539,0.877,0.251,0.43846666666666667,142.5221941955278,0.16579441344180665
subtype[T.TNBC],Endothelial cells,0.0,-0.916,0.536,0.282,0.4642,221.0740550964915,0.16579441344180634
subtype[T.TNBC],Epithelial (ambiguous),0.0,-0.441,1.112,0.287,0.436,165.75283555188702,0.16579441344180693
subtype[T.TNBC],Luminal epithelial,0.0,-0.473,0.869,0.229,0.3852,274.9248359041008,0.16579441344180665
subtype[T.TNBC],Macrophages,0.0,-0.493,0.64,0.186,0.3566,438.9992639058324,0.16579441344180693
subtype[T.TNBC],Memory T cells,-1.0525303327223121,-1.766,0.004,0.488,0.9648666666666667,251.8836825071845,-1.3526858779618838
subtype[T.TNBC],NK cells,0.0,-1.388,0.19,0.441,0.6556666666666666,264.4091558927175,0.16579441344180665
subtype[T.TNBC],PVL,0.0,0.0,0.0,0.0,0.0,188.01048570885408,0.16579441344180665
subtype[T.TNBC],Plasma cells,0.0,-0.71,0.856,0.274,0.45,78.29609553669317,0.16579441344180665
subtype[T.TNBC],T cells,0.0,-1.477,0.064,0.48,0.8115333333333333,449.6626955798538,0.16579441344180665
subtype[T.TNBC],pDC,0.0,-0.884,0.748,0.299,0.4789333333333333,77.05332667131843,0.16579441344180693
