source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
NK/Cytotoxic T cells,NK/Cytotoxic T cells,B2M,KLRD1,3.8393435,0.0,12.579116,0.9722041628635842,1.4969205642718222,0.13887134,0.9766343,0.05680114323094084,8.799412660111001e-06
CD8/Effector T cells,NK/Cytotoxic T cells,B2M,KLRD1,3.6974254,0.0,11.906663,0.7618637727408887,1.3369735852196107,0.13144758,0.9759992,0.07253556653385725,3.517442553384853e-05
T cells,NK/Cytotoxic T cells,B2M,KLRD1,3.6246934,0.0,11.5620365,0.6540670891387652,1.191065988737942,0.12764296,0.97565275,0.08067802751436695,7.909020716089712e-05
Monocytes/DC,NK/Cytotoxic T cells,HLA-B,KLRD1,3.5110145,0.0,11.023389,1.0257285671637861,1.661694612861184,0.14678043,0.97507966,0.05385478109184943,0.00014051190128263027
Monocytes/DC,NK/Cytotoxic T cells,B2M,KLRD1,3.4946518,0.0,10.945858,0.4613248618732178,1.0579572664018586,0.12084045,0.97499377,0.11688546154157423,0.00021940471977427366
NK/Cytotoxic T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,3.3625746,0.0,10.320034,0.8992670232773204,1.5191085188758857,0.13741499,0.97426593,0.05877951832466456,0.0003157337506917061
Macrophages,NK/Cytotoxic T cells,B2M,KLRD1,3.3337536,0.0,10.183471,0.22285195026928628,0.7802189754997177,0.11242382,0.9740984,0.599318868273325,0.00042946418941894923
CD8/Effector T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,3.201818,0.0,9.558317,0.7623112119374843,1.3662689723042123,0.12727246,0.97328705,0.08152838146388629,0.0005605611983084105
Monocytes/DC,NK/Cytotoxic T cells,S100A9,ITGB2,3.198297,0.0,8.061613,3.5008559794119076,4.214885865994737,0.27446893,0.9709817,0.0011399546734658108,0.0008747157401576223
Monocytes/DC,Macrophages,S100A9,CD68,3.1665168,0.0,7.764752,4.295542612586257,5.2717105757052645,0.8967982,0.97044843,2.044024450130719e-05,0.0012579183791517653
Monocytes/DC,Macrophages,S100A9,ITGB2,3.1312907,0.0,7.435702,3.452796660970609,3.813970876381042,0.25315896,0.96982116,0.0018812772696398204,0.0014753256903098136
Monocytes/DC,CD8/Effector T cells,HLA-B,CD8A,3.0185032,0.0,6.4402056,0.7243012035796059,1.7288265766642967,0.1489677,0.9676452,0.05385478109184943,0.0017098905457117236
T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,3.0176215,0.0,8.685536,0.605386940212733,1.0933344302834949,0.11565108,0.97201365,0.12142417819017039,0.001961578352740838
NK/Cytotoxic T cells,CD8/Effector T cells,B2M,KLRD1,3.1961095,0.0,5.7485795,0.47534120834511473,0.7445341347290082,0.06346337,0.9658188,0.6834532224608223,0.0031388589778394895
NK/Cytotoxic T cells,CD8/Effector T cells,HLA-B,CD8A,2.8700633,0.0,6.0292835,0.5978396596931401,1.5862404826789984,0.1394627,0.9665971,0.05551026084795968,0.003475637849114712
Macrophages,Macrophages,HLA-DRA,CD4,2.9487898,0.0,5.7348533,1.7020988733998696,3.7844862718384906,0.49571577,0.9657793,0.0026061728631035317,0.003475637849114712
Macrophages,NK/Cytotoxic T cells,HLA-B,KLRD1,2.8346543,0.0,7.8185797,0.4495114657749346,0.8579401469615491,0.10410723,0.9705473,0.17443083958891434,0.004587315896146214
CD8/Effector T cells,CD8/Effector T cells,B2M,KLRD1,3.0541916,0.0,5.441273,0.26500081822241917,0.5845871556767968,0.06007075,0.96490026,0.7532727998450756,0.004991540527686587
T cells,CD8/Effector T cells,B2M,KLRD1,2.9814596,0.0,5.2837806,0.15720413462029573,0.438679559195128,0.05833206,0.96439946,0.8042851380882509,0.0054125395208700355
Monocytes/DC,Monocytes/DC,S100A9,ITGB2,2.8971882,0.0,5.248934,3.2848909098332517,3.84233392095612,0.17870735,0.96428573,0.0028001022423672474,0.005850277197891337
Monocytes/DC,CD8/Effector T cells,HLA-A,CD8A,2.723857,0.0,5.6245446,0.7164907345379817,1.789395547592605,0.15817872,0.9654569,0.05385478109184943,0.007263580486843809
CD8/Effector T cells,CD8/Effector T cells,HLA-B,CD8A,2.7093065,0.0,5.5842648,0.4608838483533039,1.433400936107325,0.12916902,0.96533686,0.11800800294205102,0.00828884117112492
