source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank
NK/Cytotoxic T cells,NK/Cytotoxic T cells,B2M,KLRD1,8.799412660111001e-06,0.05680114323094084
CD8/Effector T cells,NK/Cytotoxic T cells,B2M,KLRD1,3.517442553384853e-05,0.07253556653385725
T cells,NK/Cytotoxic T cells,B2M,KLRD1,7.909020716089712e-05,0.08067802751436695
Monocytes/DC,NK/Cytotoxic T cells,HLA-B,KLRD1,0.00014051190128263027,0.05385478109184943
Monocytes/DC,NK/Cytotoxic T cells,B2M,KLRD1,0.00021940471977427366,0.11688546154157423
NK/Cytotoxic T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,0.0003157337506917061,0.05877951832466456
Macrophages,NK/Cytotoxic T cells,B2M,KLRD1,0.00042946418941894923,0.599318868273325
CD8/Effector T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,0.0005605611983084105,0.08152838146388629
Monocytes/DC,NK/Cytotoxic T cells,S100A9,ITGB2,0.0008747157401576223,0.0011399546734658108
Monocytes/DC,Macrophages,S100A9,CD68,0.0012579183791517653,2.044024450130719e-05
