source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
NK/Cytotoxic T cells,NK/Cytotoxic T cells,B2M,KLRD1,3.815263,0.0,12.165504,1.0377787586413638,1.4408685686895735,0.05908171,0.9686524,0.04289166088500917,2.1444501512936937e-07
CD8/Effector T cells,NK/Cytotoxic T cells,B2M,KLRD1,3.7009578,0.0,11.646772,0.8554930443288463,1.3081857198055145,0.056562487,0.967984,0.04289166088500917,8.57691775205623e-07
T cells,NK/Cytotoxic T cells,B2M,KLRD1,3.6657426,0.0,11.486961,0.7993340469399318,1.2466821320819415,0.05578637,0.9677692,0.04289166088500917,1.929607609766532e-06
Mixed/stromal-contaminated (CD8+fibroblast signal),NK/Cytotoxic T cells,B2M,KLRD1,3.6113517,0.0,11.2401285,0.7125971435389591,1.1282770469776693,0.05458763,0.96742874,0.04289166088500917,3.4300608183276556e-06
NK/Cytotoxic T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,3.5412986,0.0,10.922218,1.0145144701612483,1.509400898304872,0.061198886,0.96697366,0.04289166088500917,5.358918245437872e-06
pDC,NK/Cytotoxic T cells,B2M,KLRD1,3.524234,0.0,10.844777,0.5736666483338708,0.9908426370407282,0.052667603,0.9668598,0.04289166088500917,1.0501315639976116e-05
Macrophages,NK/Cytotoxic T cells,B2M,KLRD1,3.4650013,0.0,10.575972,0.47920213712407334,0.8930412740206364,0.05136215,0.96645534,0.04289166088500917,1.371459301335193e-05
Monocytes/DC,NK/Cytotoxic T cells,HLA-B,KLRD1,3.4037259,0.0,10.297895,0.8615100275602936,1.3356767854199243,0.057700705,0.96602076,0.04289166088500917,2.5921138747722172e-05
B cells,NK/Cytotoxic T cells,B2M,KLRD1,3.395222,0.0,10.259303,0.3679275860932172,0.8973580177435581,0.049824253,0.9659591,0.04289166088500917,3.084511732061657e-05
CD8/Effector T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,3.3664172,0.0,10.128584,0.8200172007379332,1.3370497425601415,0.056752026,0.96574765,0.04289166088500917,3.619644480538034e-05
Monocytes/DC,NK/Cytotoxic T cells,B2M,KLRD1,3.3494904,0.0,10.051767,0.2949970271358992,0.878258315586639,0.048816357,0.9656215,0.09001167882579612,4.197498070283194e-05
pDC,B cells,APP,CD74,3.5350614,0.0,9.574002,1.8789473804633032,2.058818115718471,0.10852782,0.964804,0.009415278666277926,4.197498070283194e-05
T cells,NK/Cytotoxic T cells,HLA-B,KLRD1,3.248564,0.0,9.593751,0.6889456566595074,1.1348771673130973,0.053755272,0.9648389,0.04289166088500917,4.81805964596716e-05
Mixed/stromal-contaminated (CD8+fibroblast signal),NK/Cytotoxic T cells,HLA-B,KLRD1,3.2363114,0.0,9.538147,0.6753219374449138,1.032112403587256,0.053443715,0.9647402,0.04289166088500917,5.4813169973738194e-05
pDC,NK/Cytotoxic T cells,HLA-B,KLRD1,3.234389,0.0,9.529423,0.6731816738923712,1.0294640665493044,0.053394835,0.96472466,0.04289166088500917,6.187254880955564e-05
pDC,pDC,APP,CD74,3.450503,0.0,9.265283,1.838423258064442,1.924462851166764,0.10502828,0.9642432,0.011714966726314698,6.187254880955564e-05
pDC,Macrophages,APP,CD74,3.4281867,0.0,9.183806,1.8277316930896796,2.6409609993551335,0.10410469,0.96409065,0.0060541874855016215,6.93586102211075e-05
Macrophages,NK/Cytotoxic T cells,HLA-B,KLRD1,3.1543114,0.0,9.16602,0.5841251627997646,0.9217161080189016,0.051358633,0.964057,0.04289166088500917,8.561026395922412e-05
Mast cells,Mast cells,VIM,CD44,3.1430144,0.0,9.625078,0.9042115174346653,1.0904440484515563,0.04475301,0.9648942,0.04289166088500917,9.43755791739279e-05
Mast cells,NK/Cytotoxic T cells,B2M,KLRD1,3.1280782,0.0,9.04697,-0.0580941629527566,0.5180182571961545,0.043936566,0.9638299,0.49869681272293126,0.00011318453576830576
Macrophages,pDC,HLA-DRA,CD4,3.1327744,0.0,8.505809,1.3360151082300677,2.6735582713235058,0.10643551,0.96273917,0.010712548049482573,0.00012322791229234386
B cells,NK/Cytotoxic T cells,HLA-B,KLRD1,3.113107,0.0,8.979029,0.5382994244929885,1.0219788655666833,0.05031089,0.9636982,0.04289166088500917,0.00013369706050855908
Monocytes/DC,Macrophages,S100A9,ITGB2,3.1020675,0.0,8.975865,2.1162228725413215,3.3042480561010983,0.16282117,0.96369207,0.0010977734390648897,0.00014459181640825476
B cells,pDC,HLA-DRA,CD4,3.0772893,0.0,8.285101,1.308350632533352,1.575320585135525,0.103673734,0.9622648,0.013143475304547542,0.00015591206303292357
NK/Cytotoxic T cells,CD8/Effector T cells,HLA-B,CD8A,3.2007034,0.0,7.643287,0.6765140222134407,1.5559432853706436,0.049327113,0.9607732,0.04289166088500917,0.00019242442297858885
Monocytes/DC,CD8/Effector T cells,HLA-B,CD8A,3.0631306,0.0,7.2063904,0.5235095796124861,1.382219172485696,0.046507534,0.95964897,0.04289166088500917,0.00021889106325759656
Monocytes/DC,Macrophages,S100A9,CD68,3.0102162,0.0,8.258249,2.4198364092302818,4.47427038560507,0.30834508,0.96220577,1.6791815849261493e-05,0.00023276147452884602
CD8/Effector T cells,CD8/Effector T cells,HLA-B,CD8A,3.025822,0.0,7.0879073,0.4820167527901256,1.3835921296259133,0.045742888,0.95932674,0.04289166088500917,0.00024705644952994327
Monocytes/DC,NK/Cytotoxic T cells,S100A9,ITGB2,2.9902213,0.0,8.102032,2.0400207570784823,3.135473450277548,0.14696994,0.961857,0.0018060758420292617,0.00024705644952994327
Macrophages,Mast cells,VIM,CD44,2.947516,0.0,8.593016,0.7847948186699243,1.2517516050625388,0.03995431,0.96292174,0.061058810448309415,0.00029248743263414213
T cells,CD8/Effector T cells,HLA-B,CD8A,2.9079688,0.0,6.713635,0.3509452087116998,1.181419554378869,0.043327462,0.95825505,0.050738120510051624,0.0003589979877509122
Mixed/stromal-contaminated (CD8+fibroblast signal),CD8/Effector T cells,HLA-B,CD8A,2.8957162,0.0,6.674724,0.33732148949710633,1.0786547906530277,0.043076344,0.95813864,0.05698185003357602,0.000394794797061512
pDC,CD8/Effector T cells,HLA-B,CD8A,2.8937938,0.0,6.668619,0.3351812259445637,1.0760064536150762,0.043036945,0.9581203,0.058007138771012504,0.000432284564177186
Mixed/stromal-contaminated (CD8+fibroblast signal),Mast cells,COL1A1,CD44,2.8598151,0.0,8.130032,1.9098606117573476,2.688974884040345,0.17120431,0.9619202,0.0008410047517847922,0.0005549010835987441
Monocytes/DC,Mast cells,S100A8,CD69,2.8349495,0.0,8.028609,2.198423393414614,2.985577852032689,0.18058805,0.96168965,0.0005547429916976407,0.0007171608049327628
NK/Cytotoxic T cells,CD8/Effector T cells,HLA-A,CD8A,2.82668,0.0,6.455482,0.5767884202303031,1.4677190236460094,0.049594026,0.95746374,0.04289166088500917,0.0008191512847546181
Macrophages,CD8/Effector T cells,HLA-B,CD8A,2.8137162,0.0,6.4143124,0.24612471485195708,0.9682584950846733,0.04139574,0.95733327,0.14943631736913401,0.0009278731889720244
