source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank
Monocytes/DC,Monocytes/DC,CXCL8,CXCR2,0.037556483068347225,1.2704252341285465e-08
Monocytes/DC,Monocytes/DC,CXCL8,CXCR1,0.11883325195618222,5.878872609862975e-08
Monocytes/DC,B cells,CXCL8,CD79A,0.00823664117158727,7.823872468287886e-08
Mast cells,Monocytes/DC,CSF1,CSF3R,0.03403822696948555,2.4063115532007095e-07
Macrophages,B cells,FN1,CD79A,0.02242814301191777,1.5836159146746028e-06
Monocytes/DC,Mixed/stromal-contaminated (CD8+fibroblast signal),CXCL8,ACKR1,0.2297366401161762,3.4755662390330697e-06
Macrophages,Monocytes/DC,CXCL2,CXCR2,0.8123654131005562,7.3145195587324176e-06
Monocytes/DC,Macrophages,S100A8,CD68,0.010236551122323028,1.3265041976785465e-05
Monocytes/DC,Macrophages,S100A9,CD36,0.017261519537543714,1.5314650949167273e-05
Macrophages,Monocytes/DC,CXCL3,CXCR2,0.4854254663254465,1.604192905767222e-05
