source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
T cells,NK cells,B2M,KLRD1,3.8238487,0.0,11.917799,2.7135537485270835,2.5566302243515078,0.04610043,0.97326994,0.001070861605347475,2.6564885738182447e-08
CD8 T cells,NK cells,B2M,KLRD1,3.735756,0.0,11.53381,2.6482176444788386,2.4116494070116805,0.044615082,0.9728406,0.001704596618647352,1.6602151952614341e-07
NK cells,NK cells,B2M,KLRD1,3.7310865,0.0,11.513456,2.6447518721797083,2.367146063924099,0.04453635,0.97281724,0.0020459277157805437,2.390666410667935e-07
Cycling T cells,NK cells,B2M,KLRD1,3.7294784,0.0,11.506446,2.6435591131428504,2.3848342234885167,0.044509236,0.9728092,0.0018714179366850024,3.2539035127390857e-07
Memory T cells,NK cells,B2M,KLRD1,3.6933346,0.0,11.348899,2.616751715590302,2.3489879703533965,0.043899808,0.97262627,0.0022157289067370523,4.2499198539654165e-07
Cycling T cells,pDC,HMGB1,CXCR4,3.533657,0.0,12.48607,1.8845153412941298,2.1562435024919764,0.015271489,0.9738692,0.004825352778586681,4.2499198539654165e-07
Plasma cells,NK cells,B2M,KLRD1,3.678255,0.0,11.283168,2.6055678369700264,2.3729941593696404,0.04364555,0.97254884,0.0019986407380420145,5.378707790854179e-07
pDC,NK cells,B2M,KLRD1,3.572276,0.0,10.821215,2.526963528573889,2.109075853577498,0.04185862,0.9719852,0.006238091036326936,6.640259395417702e-07
Macrophages,NK cells,B2M,KLRD1,3.5245905,0.0,10.613358,2.4915955406351182,2.1371571469517288,0.041054588,0.97172,0.005308179411312638,9.561626448417833e-07
Endothelial cells,NK cells,B2M,KLRD1,3.4665654,0.0,10.360431,2.4485584113909127,2.0029561503818947,0.04007622,0.9713867,0.010210035237346244,1.1221427463608645e-06
Cycling T cells,CD8 T cells,HMGB1,CXCR4,3.4338236,0.0,11.785653,1.8154740245964056,2.436005426364127,0.01441482,0.9731245,0.005499882578774271,1.1221427463608645e-06
