source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank
Macrophages,CAFs,C1QB,LRP1,0.004891463047139146,5.932963379315867e-08
Macrophages,Endothelial cells,C1QA,CD93,0.015155197379526612,1.9663271176470303e-07
CAFs,Macrophages,DCN,TLR2,0.043555889677391005,3.60023267196772e-07
pDC,Endothelial cells,SCT,RAMP2,0.013745397570503012,4.031497064008755e-07
CAFs,CAFs,C3,LRP1,0.01899254338918261,6.399515099841909e-07
CAFs,Endothelial cells,MMP2,PECAM1,0.0033886704436236073,1.1677480111568293e-06
CAFs,Macrophages,FN1,C5AR1,0.027807872713131933,1.3341432550481474e-06
Macrophages,B cells,CXCL8,CD79A,0.01881888689074846,1.3591300133842514e-06
Endothelial cells,CAFs,VWF,LRP1,0.011110244388367205,1.4887472865520813e-06
CAFs,Endothelial cells,COL1A2,CD93,0.0009079955538981738,1.7721585531761363e-06
