source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
T cells,NK cells,B2M,KLRD1,3.5354788,0.0,9.205492,1.4268094310665895,1.6672767179164059,0.04910766,0.9726138,0.030584947817871543,1.9467568180377043e-08
NK cells,NK cells,B2M,KLRD1,3.4901369,0.0,9.049469,1.3835080246920488,1.5802126216293508,0.048275337,0.9723852,0.032748333462248994,7.786785817690035e-08
CD8 T cells,NK cells,B2M,KLRD1,3.4825292,0.0,9.023292,1.376244324729559,1.5948069811781058,0.04813569,0.9723463,0.03298335269305135,1.2166664203843195e-07
Memory T cells,NK cells,B2M,KLRD1,3.408923,0.0,8.770011,1.3059493726274032,1.4663805311200353,0.04678454,0.97196096,0.03638748062089714,2.384592238524652e-07
Macrophages,NK cells,B2M,KLRD1,3.347455,0.0,8.558498,1.2472456730999615,1.363901013713294,0.045656204,0.97162634,0.039590563670053494,3.1145211635073887e-07
Cycling T cells,NK cells,B2M,KLRD1,3.3333054,0.0,8.5098095,1.2337334642467617,1.382411992313451,0.045396466,0.9715476,0.04027489393486515,3.941754729403653e-07
pDC,NK cells,B2M,KLRD1,3.291139,0.0,8.364714,1.1934639921790275,1.2633351638299481,0.04462244,0.97130895,0.042412437040336315,4.866288408942307e-07
B cells,NK cells,B2M,KLRD1,3.25661,0.0,8.245899,1.160488778870995,1.2319688887295033,0.04398861,0.9711089,0.044661625499380145,5.888118344714585e-07
Endothelial cells,Macrophages,APP,CD74,3.3021698,0.0,8.032216,1.6475842022185427,2.654518788604091,0.021440478,0.9707383,0.027176815257308175,1.4062048092021374e-06
Plasma cells,NK cells,B2M,KLRD1,3.1938226,0.0,8.029847,1.1005268036559697,1.3606307867532343,0.04283606,0.9707341,0.049362358806410225,1.576481866384074e-06
Endothelial cells,NK cells,B2M,KLRD1,3.1860762,0.0,8.003192,1.0931297972013565,1.1721847107237402,0.042693857,0.97068685,0.049820489365007256,1.7564850795779295e-06
Endothelial cells,pDC,APP,CD74,3.2921314,0.0,7.9999437,1.6419485884333904,2.0877958476722673,0.021354334,0.9706811,0.028079851573147095,1.946213545500946e-06
CAFs,B cells,LGALS1,CD69,3.0964432,0.0,9.3337,1.2451070927031394,1.9766090366512186,0.02820708,0.9727974,0.05493406895433825,2.1456670306188504e-06
Endothelial cells,B cells,APP,CD74,3.2876315,0.0,7.985477,1.6394229027115022,2.2029209802412986,0.021315716,0.9706553,0.028335213957683656,2.35484561795815e-06
CAFs,CD8 T cells,LGALS1,CD69,3.0687494,0.0,9.134267,1.2270555787904684,2.120862902191144,0.027604379,0.97251016,0.05493406895433825,2.573747807626393e-06
PVL,NK cells,B2M,KLRD1,3.1745806,0.0,7.963635,1.0821515955714482,1.1401171340148608,0.04248284,0.9706163,0.050811253657588956,2.573747807626393e-06
CAFs,NK cells,LGALS1,CD69,3.034164,0.0,8.885204,1.2045107559811123,1.9860613490322403,0.026851695,0.9721382,0.05493406895433825,3.8141052984387207e-06
CAFs,NK cells,B2M,KLRD1,3.0485952,0.0,7.5301175,0.9618332883324578,0.9511849627721303,0.040170196,0.9698075,0.05493406895433825,4.674980602037304e-06
Basal epithelial,NK cells,B2M,KLRD1,2.976236,0.0,7.2811284,0.8927316657339113,0.9649205054319807,0.03884194,0.9693113,0.05493406895433825,7.02387014792405e-06
CAFs,Memory T cells,LGALS1,CD69,2.8913238,0.0,7.856559,1.1114017884125744,1.7073446053839272,0.023743058,0.9704226,0.05493406895433825,9.848885915256578e-06
Cycling T cells,pDC,HMGB1,CXCR4,2.8786144,0.0,8.231309,1.183982996834787,1.2570886697116126,0.01599365,0.97108406,0.07533008806028696,1.0291319009675428e-05
Epithelial (ambiguous),Macrophages,APP,CD74,3.1837127,0.0,6.84838,1.489595599119255,2.33289117135675,0.018280452,0.9683867,0.05493406895433825,1.0291319009675428e-05
