source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank
pDC,Endothelial cells,SCT,RAMP2,0.005510353268228277,2.666724017527224e-08
Epithelial (ambiguous),CAFs,LTF,LRP1,0.017479299114954206,1.416280837751199e-07
Macrophages,Endothelial cells,C1QA,CD93,0.010139764001738591,1.7772149211720616e-07
CAFs,Endothelial cells,COL1A1,CD93,0.00031770061027866807,1.948987587116166e-07
CAFs,Endothelial cells,COL1A2,CD93,0.00037721681853767274,2.392037414783065e-07
Macrophages,CAFs,C1QB,LRP1,0.008381685274323489,5.86918253647804e-07
pDC,Endothelial cells,SCT,RAMP3,0.030654178265990373,7.329057523238018e-07
Macrophages,Endothelial cells,CXCL8,ACKR1,0.015312385580047046,7.765369750099961e-07
Endothelial cells,CAFs,VWF,LRP1,0.03335802233620199,8.21864730803163e-07
CAFs,Basal epithelial,COL6A3,ITGA2_ITGB1,0.02078432311600694,1.0386756469537132e-06
