source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank
pDC,Endothelial cells,SCT,RAMP2,0.015149324749411261,8.342248371611435e-09
pDC,Endothelial cells,SCT,RAMP3,0.061485147413334516,1.1426011466971411e-07
Endothelial cells,CAFs,VWF,LRP1,0.028237636869094272,3.9792381877166193e-07
CAFs,Endothelial cells,COL1A2,CD93,0.002321171999118324,8.25412322939544e-07
CAFs,Endothelial cells,COL1A2,FLT4,0.15731808101700517,8.720777344897921e-07
Endothelial cells,Endothelial cells,CCL14,ACKR1,0.34940335311525944,8.880146214647417e-07
CAFs,Endothelial cells,COL1A1,CD93,0.002898766904378099,9.204679489852624e-07
CAFs,Endothelial cells,EFEMP2,AQP1,0.042899007393231554,1.113159152378922e-06
CAFs,Endothelial cells,COL1A1,FLT4,0.16598166234961062,1.5060900201336043e-06
Endothelial cells,Epithelial (ambiguous),VWF,TNFRSF11B,0.08884510690529354,1.5521379290638347e-06
