,Activated CD8 T cells,CD4 Activated T cells,CD4 Naive/Resting T cells,Cycling CD8 T cells,Effector CD8 T cells,NK-like CD8 T cells,NKT cells,Naive/Memory CD8 T cells,"Regulatory T cells (Tregs, CD4+)",True NK cells
Activated CD8 T cells,0.0,0.27284038503853203,0.010199771600049345,0.5365310665857114,1.0,1.0,0.08069484624450873,1.0,0.055410461087896,0.03148326114944668
CD4 Activated T cells,0.27284038503853203,0.0,0.3988883676294143,0.16359489764025628,0.1571725214764897,0.10528163929073739,0.012305964052287581,0.39925048813142416,0.7785079980040539,0.0018604484598129497
CD4 Naive/Resting T cells,0.010199771600049345,0.3988883676294143,0.0,0.12228105007721156,0.021378625094629792,0.005169412404273424,0.0033424008253202008,0.8735817348350151,0.8707393939541402,0.0001200593458192235
Cycling CD8 T cells,0.5365310665857114,0.16359489764025628,0.12228105007721156,0.0,1.0,0.9683035714285714,0.3758912655971479,1.0,0.7517825311942958,0.3710652372262774
Effector CD8 T cells,1.0,0.1571725214764897,0.021378625094629792,1.0,0.0,0.7783452702124015,1.0,1.0,0.10497695593525179,1.0
NK-like CD8 T cells,1.0,0.10528163929073739,0.005169412404273424,0.9683035714285714,0.7783452702124015,0.0,0.3987132352941176,0.5184979646355425,0.03164390756302521,0.556107028806048
NKT cells,0.08069484624450873,0.012305964052287581,0.0033424008253202008,0.3758912655971479,1.0,0.3987132352941176,0.0,0.07633423471792992,0.005774590083359546,1.0
Naive/Memory CD8 T cells,1.0,0.39925048813142416,0.8735817348350151,1.0,1.0,0.5184979646355425,0.07633423471792992,0.0,0.27560209162694466,0.020596378557825427
"Regulatory T cells (Tregs, CD4+)",0.055410461087896,0.7785079980040539,0.8707393939541402,0.7517825311942958,0.10497695593525179,0.03164390756302521,0.005774590083359546,0.27560209162694466,0.0,0.0007578946838772005
True NK cells,0.03148326114944668,0.0018604484598129497,0.0001200593458192235,0.3710652372262774,1.0,0.556107028806048,1.0,0.020596378557825427,0.0007578946838772005,0.0
