Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,4.4550568499479615e-12,1.6929216029802255e-10,0,0,13.27039627039627,346.8480990853864,KLF10;EGR1;CDKN1A;BCL2A1;GADD45B;TIPARP;GADD45A;TNFAIP3;TNF;TUBB2A;DNAJB4;NAMPT;TNFSF9;SGK1;IER5;IER3
MSigDB_Hallmark_2020,Apoptosis,3.954230640588007e-05,0.0007513038217117213,0,0,7.264864864864865,73.65221280185793,DNAJA1;CDKN1A;GADD45B;GADD45A;SLC20A1;HSPB1;TNF;IER3
MSigDB_Hallmark_2020,Androgen Response,0.0006632728706362398,0.00840145636139237,0,0,8.11829474872953,59.41231197140637,HMGCS1;INSIG1;SGK1;ELL2;SLC38A2
MSigDB_Hallmark_2020,Inflammatory Response,0.002291648375491694,0.01655355767068818,0,0,6.0064935064935066,36.51037410911109,CDKN1A;NAMPT;TNFSF9;CCR7;CD55
MSigDB_Hallmark_2020,p53 Pathway,0.0024434089079013142,0.01655355767068818,0,0,4.842105263157895,29.122169639987693,CDKN1A;GADD45A;TNFSF9;TOB1;IER5;IER3
MSigDB_Hallmark_2020,mTORC1 Signaling,0.002613719632213923,0.01655355767068818,0,0,4.1336458333333335,24.58271292469219,CDKN1A;HMGCS1;TFRC;INSIG1;NAMPT;HSPE1;GLA
MSigDB_Hallmark_2020,UV Response Up,0.0039764733835570285,0.021586569796452442,0,0,5.236875800256082,28.946097493506787,DNAJA1;DNAJB1;TFRC;AMD1;HSPA2
MSigDB_Hallmark_2020,Hypoxia,0.005793590299964229,0.02751955392483009,0,0,4.761072261072261,24.524297943835375,CDKN1A;TIPARP;TNFAIP3;PLIN2;IER3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.011465698303197797,0.047488764043256276,0,0,7.063291139240507,31.561578039036245,GADD45B;GADD45A;TNFAIP3
MSigDB_Hallmark_2020,Estrogen Response Early,0.012497043169277968,0.047488764043256276,0,0,4.82219419924338,21.13212422654321,KLF10;TIPARP;GLA;TOB1
