Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,5.717605671385851e-14,2.4013943819820577e-12,0,0,9.62875816993464,293.6062678181437,PPP1R15A;KLF10;BTG3;JUN;CDKN1A;CD83;GADD45B;BCL2A1;TIPARP;DUSP1;FOS;RHOB;PER1;ZFP36;NR4A3;DNAJB4;ZC3H12A;NAMPT;BHLHE40;CD69;SGK1;IER5;ATF3;MCL1
MSigDB_Hallmark_2020,Hypoxia,1.2658568559014177e-07,2.658299397392977e-06,0,0,7.294581280788178,115.85506675637738,PPP1R15A;JUN;CDKN1A;TIPARP;DUSP1;RORA;ENO1;FOS;JMJD6;MT2A;ZFP36;P4HA1;BHLHE40;ATF3
MSigDB_Hallmark_2020,mTORC1 Signaling,1.0811295210249055e-06,1.5135813294348676e-05,0,0,4.815044110818759,66.14668874635825,PPP1R15A;CDKN1A;GOT1;HMGCS1;HSPA4;INSIG1;IFRD1;PDAP1;CACYBP;ENO1;HSPE1;HSPD1;P4HA1;NAMPT;BHLHE40;ETF1;GLA
MSigDB_Hallmark_2020,Apoptosis,3.2255487554732972e-06,3.386826193246962e-05,0,0,5.770487863494353,72.9643998204892,BTG3;JUN;CDKN1A;GADD45B;SLC20A1;HSPB1;RHOB;DNAJA1;RARA;ETF1;CD69;ATF3;MCL1
MSigDB_Hallmark_2020,UV Response Up,5.95113536212676e-06,4.998953704186479e-05,0,0,5.922368947579032,71.25751996150406,LYN;DNAJA1;BTG3;DNAJB1;PDAP1;FOS;FKBP4;SLC25A4;ATF3;NUP58;GLS;RHOB
MSigDB_Hallmark_2020,Estrogen Response Early,0.00226156879611306,0.01583098157279142,0,0,4.383265856950067,26.701525493876808,KLF10;TIPARP;BHLHE40;RARA;FOS;FKBP4;GLA
MSigDB_Hallmark_2020,Myogenesis,0.003431224840924267,0.02023119513491841,0,0,5.766852195423624,32.72595189286671,PRNP;CDKN1A;GADD45B;IFRD1;BHLHE40
MSigDB_Hallmark_2020,Androgen Response,0.003853560978079697,0.02023119513491841,0,0,4.557598039215686,25.334582869469923,HMGCS1;INSIG1;PA2G4;SGK1;SLC38A2;ELL2
MSigDB_Hallmark_2020,Inflammatory Response,0.004608184243455519,0.021504859802792424,0,0,3.7926900584795322,20.404374306775154,LYN;CDKN1A;CD70;NAMPT;NMI;CD69;CD55
MSigDB_Hallmark_2020,Estrogen Response Late,0.008061757616867466,0.03385938199084336,0,0,3.8317853457172344,18.4715951728153,BTG3;ZFP36;FOS;FKBP4;SGK1;GLA
MSigDB_Hallmark_2020,Apical Surface,0.009341501884643066,0.03566755265045534,0,0,23.878980891719745,111.5933605442199,LYN;HSPB1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.011074974968628273,0.03876241239019895,0,0,3.152899610136452,14.197718892516445,PRNP;CD83;GADD45B;P4HA1;BHLHE40;RORA;RHOB
MSigDB_Hallmark_2020,p53 Pathway,0.016698804175743466,0.05394998272163274,0,0,2.8818019625334523,11.793538709105224,PPP1R15A;JUN;CDKN1A;FOS;IER5;ATF3;CDKN2AIP
MSigDB_Hallmark_2020,Glycolysis,0.01943620815101705,0.057589993455691615,0,0,3.0905298289528575,12.178596091841976,PKM;P4HA1;GOT1;SDHC;ENO1;FKBP4
MSigDB_Hallmark_2020,Interferon Gamma Response,0.02056785480560415,0.057589993455691615,0,0,2.386304347826087,9.268467816547739,MT2A;CDKN1A;MX1;NAMPT;NMI;CD69;XAF1;VAMP5;IFIT3
MSigDB_Hallmark_2020,Myc Targets V2,0.0512754475681924,0.13459804986650503,0,0,3.9882478632478633,11.847262754668877,PA2G4;HSPE1;HSPD1
MSigDB_Hallmark_2020,Myc Targets V1,0.06402774014629581,0.1581861815379073,0,0,1.825705202603825,5.017839107016974,FBL;HSP90AB1;PCBP1;IFRD1;NDUFAB1;MRPS18B;ETF1;PA2G4;HSPE1;HSPD1
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.07889756530294431,0.17327319888265463,0,0,3.2596153846153846,8.278135234233222,JUN;GADD45B;RHOB
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.08302905998406052,0.17327319888265463,0,0,4.765605095541401,11.859516196357848,MX1;SGK1
MSigDB_Hallmark_2020,TGF-beta Signaling,0.08663659944132732,0.17327319888265463,0,0,3.117056856187291,7.624423703544851,KLF10;PPP1R15A;SLC20A1
MSigDB_Hallmark_2020,UV Response Dn,0.08663659944132732,0.17327319888265463,0,0,3.117056856187291,7.624423703544851,DUSP1;INSIG1;BHLHE40
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.2002390326973597,0.3822745169676867,0,0,1.8006086427267194,2.895817078342228,HSP90AA1;ECHS1;HMGCS1;SDHC
MSigDB_Hallmark_2020,Adipogenesis,0.21710193303910114,0.3964470081583586,0,0,1.6132853632853632,2.46411318558203,ECHS1;NDUFB7;NDUFAB1;NABP1;SDHC
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.2704019620829779,0.47320343364521134,0,0,2.064801993907505,2.7004423649288536,HMGCS1;ATF3
MSigDB_Hallmark_2020,Protein Secretion,0.3098432449651804,0.5205366515415031,0,0,1.5837606837606837,1.8556746087896858,ATP1A1;RAB5A;GLA
MSigDB_Hallmark_2020,E2F Targets,0.3641556464564249,0.5791495161478408,0,0,1.3375738300772375,1.3511821759250586,CDKN1A;CKS2;SMC6;PA2G4
MSigDB_Hallmark_2020,G2-M Checkpoint,0.3829181926762851,0.5791495161478408,0,0,1.3002209456473708,1.2481261746093308,MT2A;CKS2;NUP98;HMGN2
MSigDB_Hallmark_2020,Interferon Alpha Response,0.38874223278990877,0.5791495161478408,0,0,1.367973372781065,1.2925143140196544,MX1;NMI;IFIT3
MSigDB_Hallmark_2020,Unfolded Protein Response,0.39988895162589005,0.5791495161478408,0,0,1.341799709724238,1.22985120146021,EIF4A3;NABP1;ATF3
MSigDB_Hallmark_2020,Complement,0.4329710576363261,0.6005507541576133,0,0,1.2688873626373627,1.0621658098960092,LYN;CD55;HSPA1A
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.4432636518782384,0.6005507541576133,0,0,1.1375686274509804,0.925515068209815,ECHS1;NDUFB7;NDUFAB1;MRPS12;SDHC;SLC25A4
MSigDB_Hallmark_2020,Spermatogenesis,0.4641299363400556,0.609170541446323,0,0,1.6894213381555154,1.2967841594872493,SIRT1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.514903155018112,0.6553312882048699,0,0,1.1818471337579617,0.7844822884005003,MT2A;SERTAD1
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.5878934925666404,0.7262213731705558,0,0,1.02603157020216,0.5450376995190652,CDKN1A;PIKFYVE
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.6613960201516398,0.7737787287150681,0,0,0.9432911392405063,0.3899589111920475,PRNP
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.6752574576611363,0.7737787287150681,0,0,0.9067672833495618,0.356052367752116,JUN
MSigDB_Hallmark_2020,heme Metabolism,0.6816622133918457,0.7737787287150681,0,0,0.8560509554140128,0.3280567306778016,ELL2;NUDT4
MSigDB_Hallmark_2020,Pperoxisome,0.736546949154083,0.8048369553926507,0,0,0.759493670886076,0.23223972061180995,SLC25A4
MSigDB_Hallmark_2020,Apical Junction,0.7473486014360328,0.8048369553926507,0,0,0.7355617088607594,0.21421288041496264,INSIG1
MSigDB_Hallmark_2020,KRAS Signaling Up,0.7771829496696746,0.8116887170227718,0,0,0.6719710669077757,0.16939013047301,PPP1R15A
MSigDB_Hallmark_2020,DNA Repair,0.7923627951888963,0.8116887170227718,0,0,0.6797747623003785,0.15820800287391557,GTF2B;REV3L
MSigDB_Hallmark_2020,Allograft Rejection,0.8541297124926395,0.8541297124926395,0,0,0.5845541401273885,0.09216794229836903,SRGN;LYN
