Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Inflammatory Response,0.0009398865018361741,0.01789397317368895,0,0,10.253846153846155,71.466758921636,CSF1;CD70;IL7R;LY6E
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.0012781409409777821,0.01789397317368895,0,0,15.684878048780488,104.49812604119793,CCR1;CSF1;A2M
MSigDB_Hallmark_2020,Allograft Rejection,0.002848292388690665,0.026584062294446206,0,0,7.483098591549296,43.85870743894135,CCR1;CSF1;SIT1;TRAT1
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.00413610550046336,0.028952738503243522,0,0,6.715189873417722,36.85296628444144,EGR1;BCL6;CSF1;IL7R
MSigDB_Hallmark_2020,UV Response Up,0.011577925646255097,0.06411901016225457,0,0,6.899417224260739,30.76212079584735,CDKN1C;CA2;HSPA2
MSigDB_Hallmark_2020,TGF-beta Signaling,0.013739787891911694,0.06411901016225457,0,0,12.160997732426305,52.13978440095545,CDKN1C;ID1
MSigDB_Hallmark_2020,heme Metabolism,0.016693924080955682,0.06677569632382273,0,0,5.987617260787992,24.505583753277502,CA2;ACP5;ELL2
MSigDB_Hallmark_2020,Spermatogenesis,0.02025827912032548,0.06878255731094635,0,0,9.813186813186814,38.26349680349009,POMC;HSPA2
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.022108679135661325,0.06878255731094635,0,0,5.360639192598822,20.433604206723523,CDKN1C;CSF1;CA2
MSigDB_Hallmark_2020,Interferon Alpha Response,0.05071125950140252,0.14199152660392705,0,0,5.846195949644225,17.43106059169637,CSF1;LY6E
MSigDB_Hallmark_2020,Apical Junction,0.06344124312436585,0.16148680068020396,0,0,5.131794131794131,14.151646448293487,ARPC2;LAYN
MSigDB_Hallmark_2020,KRAS Signaling Up,0.07246666093485708,0.16908887551466653,0,0,4.744548286604362,12.452677468989968,CA2;IL7R
MSigDB_Hallmark_2020,Mitotic Spindle,0.1392460678119114,0.2999146075948861,0,0,3.177298592392932,6.26408433248733,EZR;DYNLL2
MSigDB_Hallmark_2020,Coagulation,0.2046264360822395,0.409252872164479,0,0,4.529809725158563,7.1868567059402215,A2M
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.2302943221500666,0.42988273468012433,0,0,3.951642672572905,5.802580745779281,ABCA5
MSigDB_Hallmark_2020,Androgen Response,0.28217984594851936,0.4605963277747549,0,0,3.1069767441860465,3.9309800962794226,ELL2
MSigDB_Hallmark_2020,Protein Secretion,0.2938822694129297,0.4605963277747549,0,0,2.9579180509413066,3.6221955616828923,RAB9A
MSigDB_Hallmark_2020,UV Response Dn,0.3025365270035376,0.4605963277747549,0,0,2.855118952151831,3.413446766296389,ID1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.3469707541330418,0.4605963277747549,0,0,2.4079927748927523,2.548895953493079,EIF4A3
MSigDB_Hallmark_2020,Estrogen Response Late,0.3655293244416001,0.4605963277747549,0,0,2.253276955602537,2.2677176938193937,CA2
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.3733242837430065,0.4605963277747549,0,0,2.192838032516979,2.16062051324694,CA2
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.3936561372904594,0.4605963277747549,0,0,2.046319431097444,1.9077375608552285,CA2
MSigDB_Hallmark_2020,Hypoxia,0.406034655815879,0.4605963277747549,0,0,1.9641934293097083,1.770360465321869,CDKN1C
MSigDB_Hallmark_2020,Complement,0.41334285816688504,0.4605963277747549,0,0,1.9179736794663782,1.6944872921603105,CA2
MSigDB_Hallmark_2020,Glycolysis,0.41575934061120884,0.4605963277747549,0,0,1.90304114490161,1.6702015759600526,CHST12
MSigDB_Hallmark_2020,Apoptosis,0.42769659007655814,0.4605963277747549,0,0,1.831696813092162,1.555735636088616,LMNA
MSigDB_Hallmark_2020,Adipogenesis,0.4687293003473601,0.4860896448046697,0,0,1.613467092263262,1.2225721970517092,BCL6
MSigDB_Hallmark_2020,Interferon Gamma Response,0.5089214066268118,0.5089214066268118,0,0,1.4326663061114115,0.9677111925363702,LY6E
