Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Interferon Alpha Response,0.00018199775733388396,0.004731941690680983,0,0,16.302611367127497,140.39020178117167,IFI27;OAS1;MX1;USP18
MSigDB_Hallmark_2020,heme Metabolism,0.0008519451468506144,0.011075286909057987,0,0,10.654233870967742,75.3040015689776,CA2;ENDOD1;ACP5;ELL2
MSigDB_Hallmark_2020,Interferon Gamma Response,0.00221625005917298,0.01920750051283249,0,0,8.135986092331466,49.72664804784008,IFI27;MX1;CD38;USP18
MSigDB_Hallmark_2020,UV Response Up,0.005540289499950161,0.036011881749676046,0,0,9.191840277777779,47.7581228758744,CA2;SLC25A4;GLS
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.013296443178059157,0.06914150452590762,0,0,12.406759906759907,53.600412546849675,CCR1;CD38
MSigDB_Hallmark_2020,Androgen Response,0.02657796122184143,0.11517116529464619,0,0,8.469696969696969,30.72529044011087,ZBTB10;ELL2
MSigDB_Hallmark_2020,Unfolded Protein Response,0.04498134900197339,0.1367610627790724,0,0,6.295306001188354,19.524937781246386,TUBB2A;EIF4A3
MSigDB_Hallmark_2020,Estrogen Response Late,0.04734036788506353,0.1367610627790724,0,0,6.113708513708514,18.649206952417938,CA2;SLC2A8
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.04734036788506353,0.1367610627790724,0,0,6.113708513708514,18.649206952417938,CA2;SHMT2
MSigDB_Hallmark_2020,Apoptosis,0.07138517386240374,0.18560145204224973,0,0,4.813852813852814,12.706959173875536,LMNA;CD38
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.08172510278476405,0.19316842476398777,0,0,4.441498316498317,11.123262039899723,CA2;LRRC8C
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.09551018321266132,0.2069387302940995,0,0,4.042577675489068,9.494084251634504,TUBB2A;ZBTB10
MSigDB_Hallmark_2020,TGF-beta Signaling,0.1284309178171113,0.2438140849449433,0,0,7.644189383070302,15.688660044918983,ID1
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.1312845072780464,0.2438140849449433,0,0,7.461484593837535,15.14971250830945,MX1
MSigDB_Hallmark_2020,Pperoxisome,0.2281809067926445,0.36214188628449745,0,0,4.004147812971342,5.916594932136506,SLC25A4
MSigDB_Hallmark_2020,Protein Secretion,0.2432746588948055,0.36214188628449745,0,0,3.7160364145658265,5.252856005902328,ATP1A1
MSigDB_Hallmark_2020,UV Response Dn,0.2432746588948055,0.36214188628449745,0,0,3.7160364145658265,5.252856005902328,ID1
MSigDB_Hallmark_2020,Myogenesis,0.2507136135815752,0.36214188628449745,0,0,3.5868830290736984,4.962251708472067,MYL6B
MSigDB_Hallmark_2020,KRAS Signaling Up,0.2915446690157277,0.3820413498778234,0,0,2.995757918552036,3.6924575107757556,CA2
MSigDB_Hallmark_2020,Estrogen Response Early,0.29387796144447953,0.3820413498778234,0,0,2.9669467787114847,3.633295417615248,ENDOD1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.3279943072013814,0.40608818986837697,0,0,2.5924019607843136,2.889903486987114,CA2
MSigDB_Hallmark_2020,Complement,0.3455293166456265,0.4083528287630132,0,0,2.4285386029411766,2.5807540271608707,CA2
MSigDB_Hallmark_2020,Allograft Rejection,0.38132793687024524,0.43106636341853805,0,0,2.140365111561866,2.0635164738129053,CCR1
MSigDB_Hallmark_2020,Mitotic Spindle,0.41522137478510623,0.44914141918204287,0,0,1.9126724763979666,1.6811309790928777,EZR
MSigDB_Hallmark_2020,mTORC1 Signaling,0.44546904624055766,0.44914141918204287,0,0,1.7381031064111037,1.4054779964926305,SHMT2
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.44914141918204287,0.44914141918204287,0,0,1.7184640522875816,1.3754886594321696,SLC25A4
