Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Pperoxisome,0.00011089508908366003,0.002772377227091501,0,0,19.596491228070175,178.46379443452216,TOP2A;ACSL1;IDH2;PABPC1
MSigDB_Hallmark_2020,Estrogen Response Late,0.004465021567893441,0.055812769598668016,0,0,10.278461538461539,55.62170173214025,TOP2A;IDH2;IL6ST
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.010107155333314143,0.06817408998053551,0,0,14.993311036789297,68.88694233740476,ACSL1;IDH2
MSigDB_Hallmark_2020,Myogenesis,0.010907854396885682,0.06817408998053551,0,0,14.365384615384615,64.90671740950037,NQO1;ACSL1
MSigDB_Hallmark_2020,Angiogenesis,0.024482223370720615,0.12241111685360308,0,0,55.592592592592595,206.23784482384687,TIMP1
MSigDB_Hallmark_2020,G2-M Checkpoint,0.046498696420061984,0.19374456841692494,0,0,4.071627906976744,12.49310213053201,TOP2A;SQLE;HMGA1
MSigDB_Hallmark_2020,Apoptosis,0.07037845566416903,0.21993267395052823,0,0,4.946488294314381,13.127327442589895,TOP2A;TIMP1
MSigDB_Hallmark_2020,UV Response Up,0.07037845566416903,0.21993267395052823,0,0,4.946488294314381,13.127327442589895,STARD3;IL6ST
MSigDB_Hallmark_2020,Coagulation,0.10012243285164962,0.2642514720475669,0,0,10.393518518518519,23.919243506876803,TIMP1
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.10570058881902676,0.2642514720475669,0,0,9.77995642701525,21.97697838038182,IL6ST
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.14914122965756466,0.3129475037551718,0,0,6.638518518518518,12.632181783315824,SQLE
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.1544260590813134,0.3129475037551718,0,0,6.381766381766382,11.921394100872542,NQO1
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.17009131923198925,0.3129475037551718,0,0,5.717752234993615,10.12853960177806,TIMP1
MSigDB_Hallmark_2020,Inflammatory Response,0.17525060210289617,0.3129475037551718,0,0,5.525925925925926,9.62361173907802,TIMP1
MSigDB_Hallmark_2020,Estrogen Response Early,0.2299998195934789,0.35390062455585025,0,0,4.033423667570009,5.9278290050173315,IL6ST
MSigDB_Hallmark_2020,Allograft Rejection,0.23957024030467997,0.35390062455585025,0,0,3.844099913867356,5.4928675268808345,TIMP1
MSigDB_Hallmark_2020,Complement,0.2583681433633634,0.35390062455585025,0,0,3.5137903861308115,4.755457788153841,TIMP1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.2629971361742284,0.35390062455585025,0,0,3.439814814814815,4.594258412035788,NQO1
MSigDB_Hallmark_2020,E2F Targets,0.26896447466244616,0.35390062455585025,0,0,2.0626780626780628,2.708659271021928,TOP2A;HMGA1
MSigDB_Hallmark_2020,Myc Targets V1,0.2991364712149517,0.37392058901868963,0,0,1.9037362637362638,2.2975343600893314,PSMD3;PABPC1
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.3499345649736863,0.416588767825817,0,0,2.417211328976035,2.5380938901030325,IL6ST
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.3700721888645836,0.4205365782552087,0,0,2.2491121258244546,2.235746073798021,ACSL1
MSigDB_Hallmark_2020,Mitotic Spindle,0.430550578782599,0.46798975954630323,0,0,1.8381190178942988,1.5489653856384353,TOP2A
MSigDB_Hallmark_2020,mTORC1 Signaling,0.5201313905959322,0.5418035318707627,0,0,1.4016602809706258,0.9162286373534724,SQLE
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.6062567015780413,0.6062567015780413,0,0,1.0982615268329554,0.5496269389108907,IDH2
