Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Early,1.7585261801204712e-06,8.440925664578261e-05,0,0,3.7165781574694066,49.24850537685958,CA12;XBP1;SLC22A5;EGR3;TIPARP;ELOVL5;AMFR;SEMA3B;ABAT;SLC1A4;CELSR2;THSD4;TTC39A;SLC9A3R1;FAM102A;STC2;RARA;SLC39A6;TFF1;ANXA9;IL6ST
MSigDB_Hallmark_2020,Estrogen Response Late,1.7967933469732023e-05,0.0004312304032735685,0,0,3.3709930731207325,36.83457790963802,TOP2A;CA12;XBP1;SLC22A5;EGR3;ST6GALNAC2;ELOVL5;CAV1;AMFR;SEMA3B;SLC1A4;COX6C;CELSR2;SLC9A3R1;FAM102A;IMPA2;TFF1;ANXA9;IL6ST
MSigDB_Hallmark_2020,Hypoxia,0.00026778007081901554,0.004284481133104249,0,0,2.990810359231412,24.60044567531157,CA12;MAP3K1;ANXA2;TIPARP;CAV1;PLAUR;CSRP2;STC2;DDIT4;MAFF;S100A4;FBP1;PGM1;PFKP;CHST3;TMEM45A
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.0007819099810481282,0.009382919772577538,0,0,2.683933933933934,19.200248575536385,DUSP4;IL15RA;BTG2;EGR3;TIPARP;SPHK1;PLAUR;TAP1;CXCL3;SOD2;FOSL1;MAFF;SLC16A6;IL6ST;IL7R;PHLDA1
MSigDB_Hallmark_2020,Apical Junction,0.0022625773342442234,0.021720742408744543,0,0,2.822542595019659,17.192814563600674,GAMT;ITGB1;VCAN;CDH3;ARPC2;ZYX;FSCN1;MSN;EVL;MVD;GNAI1;MPZL1
MSigDB_Hallmark_2020,p53 Pathway,0.0071921475730707665,0.045737165334498314,0,0,2.2305931321540062,11.007453950479507,BTG2;STEAP3;SPHK1;WWP1;TAP1;ABAT;PIDD1;DDIT4;KIF13B;TXNIP;TAX1BP3;S100A4;UPP1;ANKRA2
MSigDB_Hallmark_2020,mTORC1 Signaling,0.00736301068926019,0.045737165334498314,0,0,2.1552580697137333,10.585089579124418,XBP1;BTG2;TOMM40;PNO1;ELOVL5;SLC1A4;SYTL2;DHFR;CCT6A;SLC9A3R1;PPA1;DDIT4;HMBS;ME1;PGM1
MSigDB_Hallmark_2020,Myc Targets V2,0.007625462166855534,0.045737165334498314,0,0,3.3681917211328978,16.42418646480857,NOP16;NIP7;NDUFAF4;WDR74;WDR43;SRM;BYSL
MSigDB_Hallmark_2020,Myogenesis,0.008575718500218434,0.045737165334498314,0,0,2.5902427301129536,12.326500202295273,CFD;ITGB1;WWTR1;PRNP;MRAS;KLF5;BIN1;STC2;SPHK1;COL6A2
MSigDB_Hallmark_2020,Apoptosis,0.013265163039581855,0.0636727825899929,0,0,2.29424426947989,9.917132399839387,TOP2A;BTG2;EGR3;CAV1;RARA;TAP1;TXNIP;TSPO;BRCA1;BID;SOD2
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.020969466512603226,0.09150312660045043,0,0,2.1298762139858374,8.231306779223134,PRNP;XBP1;UCK2;TNFRSF18;ODC1;APLP1;MAFF;ST3GAL4;RHOH;PHLDA1;CKAP4
MSigDB_Hallmark_2020,UV Response Dn,0.024438705068367053,0.09775482027346821,0,0,2.277528591221849,8.453245807822915,INPP4B;EFEMP1;COL1A2;ANXA2;NFIB;CAV1;TFPI;MET;TGFBR2
MSigDB_Hallmark_2020,Pperoxisome,0.04330137331312519,0.1435266970046365,0,0,2.2852910052910054,7.174833202775857,TOP2A;ELOVL5;TSPO;CTPS1;ITGB1BP1;PABPC1;SOD2
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.0442472496474262,0.1435266970046365,0,0,2.024534492487095,6.312421745482749,ITGB1;VCAN;COL1A2;SERPINE2;COL6A2;APLP1;PLAUR;CD59;PFN2
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.046273852075345574,0.1435266970046365,0,0,2.005943259474011,6.1646211504430575,SLC22A5;ELOVL5;MDH2;CCDC58;ODC1;ME1;SERINC1;XIST;LTC4S
MSigDB_Hallmark_2020,Inflammatory Response,0.04889433384248709,0.1435266970046365,0,0,2.0849129593810445,6.29246279609687,IL15RA;BTG2;CSF3R;SPHK1;PLAUR;NMI;IL7R;MET
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.0538500143140648,0.1435266970046365,0,0,2.5997790692089717,7.595391323942875,IL15RA;CSF3R;LTBR;CXCL3;IL6ST
MSigDB_Hallmark_2020,Apical Surface,0.05426315206156439,0.1435266970046365,0,0,3.8512123004139562,11.222085578429178,PLAUR;BRCA1;GATA3
MSigDB_Hallmark_2020,Glycolysis,0.05681265089766862,0.1435266970046365,0,0,1.7873520541924925,5.126118990611534,FUT8;VCAN;MDH2;STC2;DDIT4;ME1;ME2;CENPA;MET;DSC2;PFKP
MSigDB_Hallmark_2020,Interferon Gamma Response,0.08489875767805971,0.19517297967618524,0,0,1.7010717909690511,4.195346245101882,IFNAR2;IL15RA;EIF4E3;C1S;TXNIP;TAP1;NMI;UPP1;SOD2;PFKP
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,0.08908391048983656,0.19517297967618524,0,0,2.5026565026565026,6.0518652397192465,PRNP;SOD2;PFKP;FTL
MSigDB_Hallmark_2020,Allograft Rejection,0.08945428235158491,0.19517297967618524,0,0,1.9017636684303352,4.590909976516891,IFNAR2;MRPL3;TRAT1;TAP1;BRCA1;IL27RA;NCK1
