Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,UV Response Dn,0.00831459396207029,0.1555728786080296,0,0,16.788732394366196,80.41371345658729,ERBB2;RND3
MSigDB_Hallmark_2020,Apoptosis,0.016376092485055747,0.1555728786080296,0,0,11.639517345399698,47.86091295133097,ERBB2;TXNIP
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.0968951480580295,0.24720596689562852,0,0,10.668956043956044,24.902685913121697,ACSL1
MSigDB_Hallmark_2020,Interferon Alpha Response,0.11073554555313435,0.24720596689562852,0,0,9.236904761904762,20.326828616051493,TXNIP
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.11928499270988967,0.24720596689562852,0,0,8.52087912087912,18.117431911727266,PLOD2
MSigDB_Hallmark_2020,Pperoxisome,0.12268324162318069,0.24720596689562852,0,0,8.264392324093816,17.339930760462565,ACSL1
MSigDB_Hallmark_2020,Myogenesis,0.14447530561127603,0.24720596689562852,0,0,6.909821428571429,13.368063096250552,ACSL1
MSigDB_Hallmark_2020,Apical Junction,0.15436183338869613,0.24720596689562852,0,0,6.422757475083056,12.000638873965578,GRB7
MSigDB_Hallmark_2020,UV Response Up,0.16899186902757446,0.24720596689562852,0,0,5.807518796992481,10.325214833722287,STARD3
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.18497023404657453,0.24720596689562852,0,0,5.247619047619048,8.85567390958062,ACSL1
MSigDB_Hallmark_2020,G2-M Checkpoint,0.18813129884570093,0.24720596689562852,0,0,5.148197596795727,8.600656961165896,HMGA1
MSigDB_Hallmark_2020,Interferon Gamma Response,0.19128091793283697,0.24720596689562852,0,0,5.052424639580603,8.356771775927559,TXNIP
MSigDB_Hallmark_2020,Hypoxia,0.19285144738956314,0.24720596689562852,0,0,5.005844155844156,8.238793962230313,CA12
MSigDB_Hallmark_2020,Estrogen Response Late,0.2006614853517285,0.24720596689562852,0,0,4.785093167701864,7.685510128116352,CA12
MSigDB_Hallmark_2020,E2F Targets,0.20376570539240008,0.24720596689562852,0,0,4.702075702075702,7.479988900892198,HMGA1
MSigDB_Hallmark_2020,Estrogen Response Early,0.21454209528953228,0.24720596689562852,0,0,4.432603686635945,6.8228821725063105,CA12
MSigDB_Hallmark_2020,Glycolysis,0.22215600487679982,0.24720596689562852,0,0,4.258028792912514,6.4056738504522786,PLOD2
MSigDB_Hallmark_2020,p53 Pathway,0.2341951265327007,0.24720596689562852,0,0,4.005213764337852,5.813970851765736,TXNIP
MSigDB_Hallmark_2020,mTORC1 Signaling,0.25775342876974366,0.25775342876974366,0,0,3.5788982259570497,4.852097903250865,PLOD2
