Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Early,2.2104546479524985e-08,7.405430178991809e-07,0,0,5.434276402796145,95.79261233459816,CA12;LAD1;XBP1;SLC22A5;EGR3;ELOVL5;IGFBP4;SEMA3B;KLF4;TOB1;THSD4;SEC14L2;OLFM1;FAM102A;MLPH;STC2;SLC39A6;ANXA9;IL6ST
MSigDB_Hallmark_2020,Estrogen Response Late,3.3661046268144586e-08,7.405430178991809e-07,0,0,5.594975003204717,96.27231282454743,CA12;XBP1;SLC22A5;EGR3;ELOVL5;IGFBP4;SEMA3B;KLF4;TOB1;KLK11;CDC20;OLFM1;FAM102A;FABP5;ACOX2;IMPA2;ANXA9;IL6ST
MSigDB_Hallmark_2020,E2F Targets,1.1047917665086187e-07,1.620361257545974e-06,0,0,5.129123335372453,82.1605481445048,CDKN2A;RFC2;HMGB3;CTPS1;CKS1B;CDC20;RAD51AP1;CCNB2;WEE1;ORC6;UBE2T;CHEK1;STMN1;MYBL2;TK1;TRIP13;CDKN3;MCM2
MSigDB_Hallmark_2020,mTORC1 Signaling,5.255393540690541e-06,5.352886487966623e-05,0,0,4.22716653202035,51.38651711289047,XBP1;BTG2;TOMM40;ELOVL5;ENO1;UCHL5;SYTL2;MLLT11;PSAT1;PGK1;ME1;TRIB3;CTSC;FADS1;PGM1;MCM2
MSigDB_Hallmark_2020,G2-M Checkpoint,6.082825554507526e-06,5.352886487966623e-05,0,0,4.425642773665758,53.15215222779907,DTYMK;HMGB3;CKS1B;CDC20;TPX2;PURA;CCNB2;CENPF;ORC6;CHEK1;STMN1;NUSAP1;MYBL2;CDKN3;MCM2
MSigDB_Hallmark_2020,p53 Pathway,4.881052550033664e-05,0.0003579438536691353,0,0,3.8566650740563784,38.28729159337513,PLK3;BTG2;CDKN2A;LIF;WWP1;TAP1;KLF4;TOB1;KIF13B;HMOX1;TRIB3;UPP1;BAK1;ADA
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.00018049015290935177,0.0011345095325730682,0,0,3.5681189645010654,30.756594365846663,KDM6B;DUSP5;BTG2;EGR3;LIF;TAP1;KLF4;NR4A1;CCL5;MAFF;SLC16A6;MAP3K8;IL6ST
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.0018465657116622043,0.010156111414142124,0,0,5.115344358383923,32.19816541453886,CSF3R;HMOX1;MAP3K8;BAK1;IL6ST;IL2RG
MSigDB_Hallmark_2020,UV Response Up,0.0022737280517227485,0.011116003808422327,0,0,3.3917452245100472,20.643295910962795,OLFM1;NR4A1;BTG2;AP2S1;TAP1;HMOX1;BAK1;IL6ST;BID
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.0031234415343329336,0.01374314275106491,0,0,3.223345913433188,18.59490182179684,MCCC2;POR;ACOX2;ELOVL5;IGFBP4;HMOX1;UPP1;ESR1;FBP1
