Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Late,0.00949805674587242,0.1299451722580343,0,0,7.502546689303905,34.9368694944674,XBP1;CDH1;HSPB8
MSigDB_Hallmark_2020,Adipogenesis,0.01181319747800312,0.1299451722580343,0,0,6.903812316715543,30.64283291321428,RNF11;HSPB8;PLIN2
MSigDB_Hallmark_2020,Myogenesis,0.0368841813946164,0.2118404607717288,0,0,7.042261904761904,23.239270682255757,ACSL1;HSPB8
MSigDB_Hallmark_2020,KRAS Signaling Up,0.03942960081010034,0.2118404607717288,0,0,6.781536697247707,21.926325234610193,ALDH1A3;TRIB1
MSigDB_Hallmark_2020,Apical Junction,0.048145559266302,0.2118404607717288,0,0,6.052254098360656,18.359672417827294,GRB7;CDH1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.0620096934269852,0.22736887589894572,0,0,5.228280141843972,14.537047647083094,XBP1;PLIN2
MSigDB_Hallmark_2020,Estrogen Response Early,0.07788258081023296,0.2447738254035893,0,0,4.571040372670807,11.667822636897945,XBP1;HSPB8
MSigDB_Hallmark_2020,mTORC1 Signaling,0.09929902342523295,0.2730723144193906,0,0,3.948252688172043,9.118961567603407,XBP1;SYTL2
MSigDB_Hallmark_2020,TGF-beta Signaling,0.13282607108912103,0.3246859515511848,0,0,7.351267779839208,14.840112645178937,CDH1
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.1856886278156854,0.3836878883168627,0,0,5.064020486555698,8.526210532458416,ACSL1
MSigDB_Hallmark_2020,Pperoxisome,0.2131903208040385,0.3836878883168627,0,0,4.327491785323111,6.688441423798948,ACSL1
MSigDB_Hallmark_2020,Androgen Response,0.22215558187431284,0.3836878883168627,0,0,4.127133402995472,6.208765901763636,ALDH1A3
MSigDB_Hallmark_2020,Unfolded Protein Response,0.2612871345760659,0.3836878883168627,0,0,3.4144300144300144,4.582627201592957,XBP1
MSigDB_Hallmark_2020,UV Response Dn,0.2759830863539595,0.3836878883168627,0,0,3.1991341991341993,4.118615583076145,ERBB2
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.28630604843675556,0.3836878883168627,0,0,3.0611240611240613,3.8285293155339124,CTHRC1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.2964860955175757,0.3836878883168627,0,0,2.9344262295081966,3.5675432345680873,ACSL1
MSigDB_Hallmark_2020,UV Response Up,0.2964860955175757,0.3836878883168627,0,0,2.9344262295081966,3.5675432345680873,STARD3
MSigDB_Hallmark_2020,Apoptosis,0.31445614515163456,0.3843352885186645,0,0,2.7307425399028453,3.159225142233404,ERBB2
MSigDB_Hallmark_2020,Hypoxia,0.3583792216526248,0.40988070408813376,0,0,2.318378591105864,2.3790356629317704,PLIN2
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.3837643638427964,0.40988070408813376,0,0,2.1226551226551225,2.032923168674437,TRIB1
MSigDB_Hallmark_2020,E2F Targets,0.40129694359155915,0.40988070408813376,0,0,2.0017024174327545,1.8276616344093344,UBE2T
MSigDB_Hallmark_2020,Mitotic Spindle,0.40988070408813376,0.40988070408813376,0,0,1.9461831429044545,1.7357795848155055,CCDC88A
