Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Estrogen Response Early,1.1796850044463176e-09,5.426551020453061e-08,0,0,4.448649906890131,91.4554265497619,SLC22A5;SEMA3B;ABAT;ADCY1;CELSR1;PAPSS2;THSD4;SEC14L2;GJA1;FAM102A;SLC39A6;CA12;SVIL;KDM4B;SIAH2;ELOVL2;TPBG;GREB1;SNX24;GFRA1;DHRS2;MLPH;ESRP2;BHLHE40;RARA;TFF1;MAPT;SLC27A2
MSigDB_Hallmark_2020,Estrogen Response Late,3.487236788561487e-05,0.000802064461369142,0,0,3.0726628018236055,31.5372449934106,CA12;SLC22A5;ST6GALNAC2;SIAH2;TPBG;IDH2;SEMA3B;SORD;DHRS2;PAPSS2;SERPINA5;CDC20;FAM102A;GAL;DLG5;NMU;TFF1;MAPT;SGK1;SLC27A2
MSigDB_Hallmark_2020,Hedgehog Signaling,0.011529440574022666,0.15045218288402343,0,0,5.175720048785064,23.0984698023764,ADGRG1;CDK6;VLDLR;CELSR1
MSigDB_Hallmark_2020,Spermatogenesis,0.017060906787117875,0.15045218288402343,0,0,2.8277219578118573,11.51155877564489,TLE4;CCNB2;NPHP1;TEKT2;YBX2;PCSK4;CHFR
MSigDB_Hallmark_2020,mTORC1 Signaling,0.018711255888225285,0.15045218288402343,0,0,1.9571605811723933,7.786817836431363,CYB5B;BTG2;RRM2;HMGCS1;SORD;AK4;ENO1;VLDLR;TM7SF2;SQLE;PPA1;BHLHE40;FDXR;PHGDH
MSigDB_Hallmark_2020,Coagulation,0.019624197767481314,0.15045218288402343,0,0,2.5287483312617964,9.940489192761332,CFD;THBD;F8;ANXA1;LRP1;MMP15;ANG;TIMP1
MSigDB_Hallmark_2020,UV Response Dn,0.025489669447282735,0.16750354208214369,0,0,2.145867606737172,7.87422261870982,GJA1;CDKN1B;ANXA2;IRS1;BHLHE40;ERBB2;APBB2;VLDLR;TFPI;RND3
MSigDB_Hallmark_2020,KRAS Signaling Up,0.043740555820116954,0.2515081959656725,0,0,1.9414059729020359,6.075590302966644,ALDH1A3;GYPC;GPNMB;MALL;SEMA3B;G0S2;SPRY2;TFPI;ETV5;MPZL2
MSigDB_Hallmark_2020,Apoptosis,0.05141076033072501,0.2590498844054871,0,0,1.8815762327212708,5.584344746294794,BTG2;CDKN1B;ANXA1;LEF1;ERBB2;FDXR;PSEN2;RARA;TXNIP;TIMP1
MSigDB_Hallmark_2020,Pperoxisome,0.05776178338653928,0.2590498844054871,0,0,2.1264215230762424,6.0633376773435,CADM1;SEMA3C;ACSL1;IDH2;CTPS1;PABPC1;SLC27A2
MSigDB_Hallmark_2020,Myogenesis,0.06529257769402574,0.2590498844054871,0,0,1.8624629707998308,5.082432203965263,CFD;SVIL;ACSL1;TNNT1;GAA;BHLHE40;PSEN2;DMD;CRYAB
MSigDB_Hallmark_2020,Hypoxia,0.06985293412742423,0.2590498844054871,0,0,1.7157496686925924,4.56623300815411,CA12;CDKN1B;ANXA2;SIAH2;GAA;TPBG;BHLHE40;AK4;ENO1;VLDLR;B4GALNT2
MSigDB_Hallmark_2020,Angiogenesis,0.07320974994068113,0.2590498844054871,0,0,3.3457618893561953,8.747249118260243,THBD;TIMP1;SERPINA5
MSigDB_Hallmark_2020,G2-M Checkpoint,0.08989013849009615,0.2765141695468788,0,0,1.632106041494498,3.932016077258555,CDC20;SQLE;CCNB2;CDKN1B;CHMP1A;ODC1;HMGA1;E2F1;DMD;KIF22;E2F4
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.09016766398267786,0.2765141695468788,0,0,2.019947558017007,4.860164325572423,PEX19;ACSL1;IDH2;FDXR;SLC27A2;GNMT
MSigDB_Hallmark_2020,E2F Targets,0.1162164739352462,0.31721269075951775,0,0,1.5471480144404333,3.329927711728034,CDC20;CCNB2;CDKN1B;RRM2;CCNE1;DSCC1;DEPDC1;HMGA1;CTPS1;NAA38;KIF22
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.11723077701982176,0.31721269075951775,0,0,2.0125878220140514,4.314205059152771,SQLE;HMGCS1;SEMA3B;MVD;TM7SF2
MSigDB_Hallmark_2020,Complement,0.13288259433632532,0.33958885219283136,0,0,1.5806654676258993,3.190240184325249,LYN;CDA;F7;F8;LRP1;MMP15;ANG;GATA3;TIMP1
MSigDB_Hallmark_2020,UV Response Up,0.15310630078296372,0.36585249940809383,0,0,1.5725385996409336,2.951061825310345,LYN;CYB5B;STARD3;CCND3;BTG2;GAL;NAT1;CCNE1
MSigDB_Hallmark_2020,Androgen Response,0.1590663040904756,0.36585249940809383,0,0,1.6931713034359386,3.112783957595523,ALDH1A3;CCND3;CDK6;HMGCS1;SORD;SGK1
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.20599658480370625,0.4311532155744923,0,0,1.6352380952380952,2.583505617078002,PNMT;BTG2;GP2;YBX2;SGK1
MSigDB_Hallmark_2020,Apical Junction,0.20620371179649633,0.4311532155744923,0,0,1.4441862921110993,2.2802123152253895,GRB7;CDH3;IRS1;LAMA3;WNK4;EVL;MVD;MPZL2
MSigDB_Hallmark_2020,Notch Signaling,0.3018551904834871,0.6037103809669742,0,0,1.8834540237737396,2.2560160681208052,FZD7;PSEN2
MSigDB_Hallmark_2020,Apical Surface,0.3165204033409274,0.6066641064034443,0,0,1.813564897046247,2.0862662508042993,LYN;GATA3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.3377428036572401,0.6188743222338107,0,0,1.2520995212306727,1.3591172299429604,GJA1;GLIPR1;CADM1;LRP1;LAMA3;PCOLCE;TIMP1
MSigDB_Hallmark_2020,Glycolysis,0.3825395179887139,0.6188743222338107,0,0,1.1734376847740784,1.127583631229969,FUT8;TPBG;AKR1A1;DEPDC1;AK4;ANG;ENO1;VLDLR
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.3884442756504614,0.6188743222338107,0,0,1.5296403197158082,1.44643638206998,LEF1;PSEN2
MSigDB_Hallmark_2020,heme Metabolism,0.39580443948393756,0.6188743222338107,0,0,1.1741419944027103,1.0882359298945683,SLC22A4;BCAM;BTG2;CCND3;GYPC;ACP5;VEZF1
MSigDB_Hallmark_2020,Inflammatory Response,0.3965514438601556,0.6188743222338107,0,0,1.19446747240281,1.1048220930434136,LYN;BTG2;CCL22;TPBG;ABI1;TIMP1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.40361368841335477,0.6188743222338107,0,0,1.1847481101044492,1.0749184952490285,SLC22A5;HMGCS1;ACSL1;ODC1;G0S2;GLUL
MSigDB_Hallmark_2020,Allograft Rejection,0.4177188770146952,0.6198409142798703,0,0,1.16577221228384,1.017656907440337,LYN;CCND3;CCL22;ABI1;TIMP1;HLA-DQA1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.4735781165506304,0.6727184012945769,0,0,1.0955330681120337,0.8188434869592307,CDA;ACSM1;TAT;ESR1;PAPSS2;GNMT
MSigDB_Hallmark_2020,Interferon Alpha Response,0.4826023313635008,0.6727184012945769,0,0,1.1247566947364107,0.819455318791744,LGALS3BP;EPSTI1;TXNIP;NCOA7
MSigDB_Hallmark_2020,Protein Secretion,0.4996173625715633,0.6759529023027033,0,0,1.0993210358709367,0.7628328813631553,GALC;CAV2;AP2B1;STAM
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.565460549950974,0.7431767227927086,0,0,0.9889365404935049,0.5638073057993869,BTG2;SPSB1;BHLHE40;SLC16A6;G0S2;SIK1;SGK1
MSigDB_Hallmark_2020,Myc Targets V2,0.6709584864093324,0.8573358437452581,0,0,0.8725577264653641,0.34819242624678554,NIP7;SORD
MSigDB_Hallmark_2020,p53 Pathway,0.7054407851984088,0.8770344897061298,0,0,0.851125348421184,0.2969852482398236,BTG2;CCND3;FDXR;TXNIP;WWP1;ABAT
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.7339351042375786,0.8884477577612793,0,0,0.8131547619047619,0.25153695840532175,CCND3;GLIPR2;CCNE1;ODC1;BHLHE40
MSigDB_Hallmark_2020,Myc Targets V1,0.7750919105308939,0.9142109713954133,0,0,0.7819922895162293,0.19923103958981753,CDC20;SF3B3;ODC1;CTPS1;PABPC1;SRPK1
MSigDB_Hallmark_2020,DNA Repair,0.8347004844231343,0.9599055570866043,0,0,0.6815003178639543,0.12313505835540435,NT5C;CDA;BCAM;NME3
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.8889720410273284,0.9840502170759804,0,0,0.5297320256390455,0.06234389398726569,CDKN1B;E2F1
MSigDB_Hallmark_2020,Interferon Gamma Response,0.8984806329824168,0.9840502170759804,0,0,0.5970057850245508,0.06390954559853358,LGALS3BP;EPSTI1;TXNIP;HLA-DQA1
MSigDB_Hallmark_2020,Mitotic Spindle,0.9789958362712352,0.9992370590958937,0,0,0.3975263986931918,0.008438646466116397,CCNB2;ABI1;KIF22
MSigDB_Hallmark_2020,Unfolded Protein Response,0.9865152795177782,0.9992370590958937,0,0,0.2292419376421785,0.003112295148741646,WIPI1
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.9948571962575579,0.9992370590958937,0,0,0.26601994808033885,0.0013716183975610629,CYB5R3;IDH2
MSigDB_Hallmark_2020,Adipogenesis,0.9992370590958937,0.9992370590958937,0,0,0.13657490884321033,0.00010423835334102403,TKT
