Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Apical Surface,0.024942567853890964,0.19560308840478025,0,0,45.338235294117645,167.35155936871902,AFAP1L2
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.04663040576428483,0.19560308840478025,0,0,23.315656565656564,71.47420270807473,SGK1
MSigDB_Hallmark_2020,Spermatogenesis,0.06787220790731015,0.19560308840478025,0,0,15.67517006802721,42.16822389577108,SIRT1
MSigDB_Hallmark_2020,Myogenesis,0.08996230958878856,0.19560308840478025,0,0,11.616161616161616,27.975951015347015,EIF4A2
MSigDB_Hallmark_2020,Androgen Response,0.09764272626975054,0.19560308840478025,0,0,10.641203703703704,24.756123138374434,SGK1
MSigDB_Hallmark_2020,Interferon Alpha Response,0.1103105823731309,0.19560308840478025,0,0,9.333333333333334,20.574917212191686,IFI27
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.11783228905639068,0.19560308840478025,0,0,8.691287878787879,18.586257808926295,MKNK2
MSigDB_Hallmark_2020,Estrogen Response Late,0.12032645108460877,0.19560308840478025,0,0,8.496296296296297,17.991305069381767,SGK1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.12900484846404903,0.19560308840478025,0,0,7.8771477663230245,16.131652583396637,EIF4A2
MSigDB_Hallmark_2020,Inflammatory Response,0.12900484846404903,0.19560308840478025,0,0,7.8771477663230245,16.131652583396637,CD55
MSigDB_Hallmark_2020,Hypoxia,0.14491254182404803,0.19560308840478025,0,0,6.9363636363636365,13.398452565419499,KLHL24
MSigDB_Hallmark_2020,Complement,0.14854525628615325,0.19560308840478025,0,0,6.75,12.871342874468626,CD55
MSigDB_Hallmark_2020,Apoptosis,0.16293412058601953,0.19560308840478025,0,0,6.094,11.057010445181055,LMNA
MSigDB_Hallmark_2020,Adipogenesis,0.18177022419428632,0.19560308840478025,0,0,5.393026004728132,9.195173482510343,CD151
MSigDB_Hallmark_2020,p53 Pathway,0.18293438884199695,0.19560308840478025,0,0,5.354460093896714,9.095234348335694,MKNK2
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.18409702438096964,0.19560308840478025,0,0,5.316433566433567,8.996959874663034,SGK1
MSigDB_Hallmark_2020,Interferon Gamma Response,0.20249273039683266,0.20249273039683266,0,0,4.773060796645702,7.622822913771232,IFI27
